"cat1","name","lost","desc","ticker","date","www"
"Scam","Bee Token",890,"Bee Token Phishing 890 ETH","ETH",02/01/18,"https://www.tokens-economy.com/timeline/bee-token-phishing-890-eth/"
"Exchange","The Bitcoin Savings ",265678,"The Bitcoin Savings and Trust 265,678 BTC","BTC",08/01/12,"https://www.tokens-economy.com/timeline/the-bitcoin-savings-and-trust-265678-btc/"
"Exchange","Bitfloor",24000,"Bitfloor Exchange 24,000 BTC","BTC",09/01/12,"https://www.tokens-economy.com/timeline/bitfloor-exchange-24000-btc/"
"Exchange","Bitcoinica",18547,"Bitcoinica 18,547 BTC","BTC",05/01/12,"https://www.tokens-economy.com/timeline/bitcoinica-18547-btc/"
"Exchange","Bancor",29984,"Bancor Trading platform 29,984 ETH","ETH",07/09/18,"https://www.tokens-economy.com/timeline/bancor-trading-platform-29984-eth/"
"Exchange","KICKICO",70000000,"KICKICO ICO 70M KICK or $7.7 million","$",07/26/18,"https://www.tokens-economy.com/timeline/kickico-ico-70m-kick-or-7-7-m/"
"Scam","Bitcoin Gold ",3000000,"Bitcoin Gold Scam $3 million","$",11/22/17,"https://www.tokens-economy.com/timeline/bitcoin-gold-scam-3-m/"
"Hacks","Tether",30000000,"Tether Token Hack $30 million","$",11/20/17,"https://www.tokens-economy.com/timeline/tether-token-hack-30-m/"
"Scam","CoinDash",10000000,"CoinDash ICO $10 million","$",07/17/17,"https://www.tokens-economy.com/timeline/coindash-ico-10-m/"
"Hacks","MyEtherWallet",216,"MyEtherWallet Hack 216.06 ETH","ETH",04/24/18,"https://www.tokens-economy.com/timeline/myetherwallet-hack-215-eth/"
"Hacks","Ethereum wallets",38642,"Ethereum wallets JSON-RPC 38,642 ETH","ETH",06/01/18,"https://www.tokens-economy.com/timeline/ethereum-wallets-json-rpc-38642-eth/"
"Hacks","James Levy",41234,"James Levy hack 41,234 ETH","ETH",12/16/15,"https://www.tokens-economy.com/timeline/james-levy-hack-41234-eth/"
"Hacks","Sim-Swap",5000000,"Alleged SIM-swap scammer $5 million in BTC","$",07/12/18,"https://www.tokens-economy.com/timeline/alleged-sim-swap-scammer-5m-in-btc/"
"Hacks","DEOS",4728,"DEOS Games 4728 EOS / $24’000","EOS",09/09/18,"https://www.tokens-economy.com/timeline/deos-games-4728-eos-24000/"
"Exchange","Bitcurex",2300,"Bitcurex $1.5M","BTC",03/15/17,"https://www.tokens-economy.com/timeline/bitcurex-1-5m/"
"Exchange","Gatecoin",250,"Gatecoin 250 BTC, 185,000 ETH $2 million","BTC",05/01/16,"https://www.tokens-economy.com/timeline/gatecoin-2m/"
"Exchange","Gatecoin",185000,"Gatecoin 250 BTC, 185,000 ETH $2 million","ETH",05/01/16,"https://www.tokens-economy.com/timeline/gatecoin-2m/"
"Exchange","Gatecoin",2000000,"Gatecoin 250 BTC, 185,000 ETH $2 million","$",05/01/16,"https://www.tokens-economy.com/timeline/gatecoin-2m/"
