cat1,cat2,name,raised,desc,ticker,start,end,www
Education,,futurepia,,"Futurepia is a blockchain based mainnet designed especially for high traffic DApps. Futurepia has developed a new DDPoS (Dual Delegated Proof of Stake) algorithm (patent approved) which is a considerable improvement over DPoS (EOS) both in terms of scalability and security. The mainnet has already been released and has demonstrated 300,000 transactions per second in the test environment (certified by KOLAS). It is deployable both in Windows and Linux environment with 100 APIs already developed. Apart from providing mainnet core engine API, Futurepia also provides other useful modules like live streaming, smart wallet, communication network, and P2P cloud API. This allows DApp developers develop the apps easily and grow faster.",PIA,20th May 2019,21st May 2019,https://futurepia.io/?utm_source=ico.tokens-economy.com,Singapore,
Big Data,,azultec,,"We want to offer you the easiest way to earn cryptocurrencies. In order to do that, we created the azultec Cube, a state-of-the-art mining computer. With the Cube, you can earn cryptocurrencies through mining, by being part of our decentralized cloud storage solution and by joining our cloud computing network. The best part: the Cube uses renewable energy and recuperates the generated heat – making the Cube environmental-friendly.",AZU,20th May 2019,28th May 2019,https://azultec.de/?utm_source=ico.tokens-economy.com,Germany,
Platform,,ten token,,"TEN – a global online education platform where learners gain access to new skills and achieve their goals from an enormous library with thousands of online courses. TEN brings values of deep humanitarian education; transparency in the community; ensuring data integrity; and saving transaction costs, thereby bringing faith to the community. TEN is changing the way people teach and learn thanks to the power of the community, opening up a new era for worldwide online education.",GDEM,20th May 2019,23rd May 2019,https://tentech.io/?utm_source=ico.tokens-economy.com,null,
Platform,,cryptoads,3.230373,"The CryptoAds platform will be based on existing project CFC.io, which was founded in 2012 and have 7M+ users with 100+ contracts with existing advertisement networks. Our goal to create a full decentralized platform and be a top developer’s community worldwide. Platform will allow to sell/buy exchange advertisement between app publishers/developers using blockchain. CryptoAds model is already implemented inside CFC.io project (launched in 2005) with 7M registered users and profit-generating returns.",CRAD,20th May 2019,27th May 2019,https://cryptoads.exchange/?utm_source=ico.tokens-economy.com,Ukraine,
Cryptocurrency,,allive,,"ALLIVE is an intelligent healthcare ecosystem based on blockchain technology. It is comprised of three modules: Olife builds a self-perfecting profile of individual's health data, Olivia acts as an artificial intelligent general doctor, and Oleaf creates a comprehensive healthcare service system. In ALLIVE, users have complete control over their own health data, which can be analyzed by the AI doctor to create personalized, full-process healthcare management. Meanwhile, the ALV token economy can also incentivize all participants to contribute to the healthcare ecosystem in their own way, thus truly achieving precise equilibrium of supply and demand of medical resources in a decentralized, immutable, and intelligent healthcare ecosystem on the blockchain.",ALV,null,null,https://allive.io/?utm_source=icobazaar,USA,
Platform,,connectome,,"Connectome is a technology platform to realize human-like AI assistant, “Virtual Human Agent” (VHA). By harnessing the Artificial Intelligence (AI), Game AI (human-like intelligent NPC technology), blockchain and human sciences, VHAs can, amongst other things, be personal assistants, the cornerstone of productive organizations and companies, assist in healthcare, and be the future of human-technology interaction. The goal is to create a future where humans can trust in and live alongside AI technologies that will increase the quality of communication between humans, as well as between humans and technology.",CNTM,null,null,https://connectome.to?utm_source=ico.tokens-economy.com,Singapore,
Entertainment,,brave sound token,1.92,"The Brave Sound Platform by Sound Blockchain Technology (SBT) is a software development and management company focused on creating blockchain based technology, smart contract design, and digital tokenized applications. Brave Sound Platform primary mission is to solve creators rights and royalty transparency issues of the entertainment industry. In addition, the establishment of our Brave Sound Token (BRST) products to enable ecosystems the ability to incentivize all the stakeholders in the creation, discovery, and sharing and using of entertainment including creators and curators. We envision a network effect caused from the creation of a fully incentivized ecosystem that rewards all the participants.",BRST,13th May 2019,14th May 2019,https://www.bravesound.io/?utm_source=ico.tokens-economy.com,null,
Platform,,poseidon,2.421832,"Poseidon builds climate change solutions with widespread and immediate impact. Its current ICO and token sales support its 'reduce' platform, which uses blockchain to let anyone rebalance the climate impact of any product or service in real time at the checkout.",OCEAN,13th May 2019,17th May 2019,https://www.poseidon.eco?utm_source=ico.tokens-economy.com,Malta,
Cryptocurrency,,ecomi,10.458555,"ECOMI’s mission is to create the world’s best platform to purchase, protect and collect premium licensed digital collectibles using Distributed Ledger Technology. The ECOMI ecosystem is comprised of 3 key elements: - Secure Wallet (completed) At the size and thickness of a credit card, this true cold storage wallet is never wired to an online device and can store more than 700 cryptocurrencies, as well as non-fungible tokens (digital collectibles). -ECOMI Collect (see https://www.ecomicollect.com/)- The MVP of the ECOMI ecosystem, a platform/smartphone app to bring licensed and recognisable digital collectibles to the mainstream. -ECOMI Collect Digital Wallet Built using the impressive Secure Wallet technology, the ECOMI Collect digital wallet is designed to store only NFT's (digital collectibles) and the OMI token- the native token of the ECOMI ecosystem. It is designed as a retail product, and is expected to be rolled out to tech/gaming stores in late 2019.",OMI,12th May 2019,13th May 2019,https://www.ecomi.com/?utm_source=ico.tokens-economy.com,Singapore,
Casino & Gambling,,gexan,,"A new level of blockchain lotteries, which are developed for participants: 1. Hybrid algorithm (POW + POS) allow to mine Gex lottery tickets by GPU or staking 2. The players be able to install Masternodes for daily ticket collection. 3. Our team developed and integrated lottery Smart Contract (5/36), which enable to use Gex coins immediately after entering the exchanges. 4. 85% of the amounts of tickets sold will be sent to the prize fund of smart contract.",GEX,10th May 2019,27th May 2019,https://gexan.io?utm_source=ico.tokens-economy.com,Russia,
