cat1,cat2,name,raised,desc,ticker,start,end,www
Cryptocurrency,,robin8,,"The KOL Token is to launch a KOL Token Exchange Project and fund the global expansion of the Robin8 PUT empowered influencer platform Robin8.com. The KOL Token Exchange will offer the services to enable KOLs to create their own tokens to build their influence on a whole new level, support projects and charities, and offer loyalty rewards or special incentives for fans who get the tokens. Robin8 believes it will be commonplace for KOLs, celebrities, and companies to create their own branded “tokens,” so they have a powerful way to engage with and reach fans using a peer-to-peer, transparent system on blockchain.",KOL,28th Aug 2019,29th Aug 2019,https://koltoken.io,USA,https://koltoken.io/wp-content/uploads/2019/08/whitepaper-1.pdf
Cryptocurrency,,stib,,"StiB's mission is to bring Cryptos to everyone! We develop innovative applications with smart contracts to provide solutions of trading and lending OTC/P2P plus instant settlements whether is it crypto to fiat or crypto to crypto conversions with ease of use + beautiful UI/UX, fatest speed + highest liquidity and the best security and privacy.",STI,null,null,https://www.stib.co,USA,https://docs.google.com/document/d/1nF7ZwjGV42LTUdq1Tk9GfS5LKpV6kxcRYwdh_Nwsn64/edit#heading=h.5yhqjme25yyn
Cryptocurrency,,the hustle app,,"The Hustle App is designed to reward you for participating in fitness and staying healthy. Earn bonus token rewards for helping others to stay fit & healthy through group fitness and exercise. The App includes a built-in wallet and token transfer to convert HUSL Tokens to BTC, ETH or USD. It‘s a TOTALLY FREE app with no memberships or fees of any kind All you need to do is participate. Multiple smartwatch platforms are available. The App can connect you with like-minded people. This inspires motivation through group fitness and support. You also have the option to be connected with professional trainers, professional athletes, and healthy food providers to assist you with your training & diet in order to attain your goals.",HUSL,null,null,https://www.hustletoken.org,USA,https://www.hustletoken.org/read/HUSL-Whitepaper-2.1.4.pdf
Cryptocurrency,,thundercore,,"ThunderCore is its own blockchain with its own native cryptocurrency. Developed by industry-leading experts, it is EVM-compatible with a throughput of 1,200+ TPS, sub-second confirmation times, and low gas costs making it quick and easy for DApps to deploy and scale.",TT,null,null,https://www.thundercore.com,USA,https://docs.thundercore.com/thunder-whitepaper.pdf
Cryptocurrency,,veriblock,7.0,"We develop Decentralized, Trustless, Transparent and Permissionless Blockchain Solutions. Inventor of the Proof-of-Proof (”PoP”) Consensus Protocol and the Blockchain of Custody® PoP mining enables blockchains to inherit and leverage the Proof of Work from a superior blockchain such as Bitcoin. Blockchain of Custody® provides high-volume data integrity services for law enforcement, healthcare, and beyond.",VBK,2nd Apr 2019,5th Apr 2019,https://www.veriblock.com,USA,https://www.veriblock.org/wp-content/uploads/2018/03/PoP-White-Paper.pdf
Other,,ridenode,,"RideNodes™ are a virtual currency & smart contract apparatus that aims to realign the interests of Drivers, Riders, & Service Coordinators (collectively referred to as our network participants) who already utilize ridehailing services (such as Uber, Lyft, Via and even traditional taxi & limousine companies). By leveraging the blockchain, RideNodes™ provide a superior platform not limited to logistics, payments, credential verification, and incident responses, and a special emphasis on the safety and the security of BOTH the riders and drivers.",RIDE,null,null,https://ridenode.io,USA,https://ridenode.io/wp-content/uploads/2019/11/RideToken-WhitePaper-Version3.0.pdf
Platform,,bittorrent,7.128,"BitTorrent (BTT) allows content creators to connect with their audience, earn and spend digital currency without a middleman. By connecting the BitTorrent peer-to-peer network to the TRON blockchain, we offer a new experience to over 100M+ users.",BTT,28th Jan 2019,28th Jan 2019,https://www.bittorrent.com,USA,https://www.bittorrent.com/btt/btt-docs/BitTorrent_Token_Whitepaper.pdf
Platform,,blackpearl,,"A truly decentralized public blockchain network which enables mobile devices, PC, Cloud/ Data Center servers to run as nodes. Enables worldwide use (7B people) and 10T devices to run simultaneously, with millions TPS and seconds latenc. 1000x speed increase; fully secure, low power consumption (10^-9)x and super low transaction cost ($0.05/T. An infrastructure with expandable throughput which can enable enterprise level decentralized applications",BPLC,25th Jul 2019,7th Aug 2019,https://blackpearlchain.io,USA,https://blackpearlchain.io/wp-content/uploads/2019/05/blackpearl5_Issuer_version_1_0_1.pdf
Platform,,captive,,"Advertising is annoying for consumers and costly for businesses! Like most peer-to-peer ecosystems (Uber & Airbnb), we are minimizing the "middle-man" in the advertising equation and connecting businesses and consumers in a more mutually beneficial way. Continue reading below to find out how Captive App is combining blockchain and augmented reality to recreate a better advertising experience for you!",CAPCT,16th Sep 2019,16th Nov 2019,https://captiveapp.com/,USA,https://captiveapp.com/captivewhitepaper.pdf
Platform,,dos network,1.7,"DOS Network - A Decentralized Oracle Service supporting multiple heterogeneous blockchains. DOS Network brings real word data, event and computation power to smart contract in a secure, reliable, efficient and scalable way.",DOS,11th Apr 2019,11th Apr 2019,https://dos.network,USA,https://docsend.com/view/ak3rdft
Platform,,harmony,23.0,"Harmony is a fast and secure blockchain with key innovations in state sharding and peer-to-peer networking.",ONE,28th May 2019,29th May 2019,https://harmony.one/team,USA,https://harmony.one/whitepaper.pdf
Platform,,turnple,,"TRP is aiming at the blockchain cryptocurrency which is accepted in the global market, starting from Europe, USA, Japan, China and Korea. The TRP will be used in real life as a hybrid TRP optimized for online payment and off-line payment by combining a fixed value blockchain pay and a blockchain with variable value. In the case of coins that introduced the concept of platform for the first time, due to the variability of mileage value and TRP value, uncertain transactions between consumers and merchants were made due to the change of coin price at the moment of purchase. For this reason, it's hinders the development of the platform and destroys the growth structure of the platform. By complementing these disadvantages, we have created a TRP that will be used throughout the financial market. If the TRP which was not suitable for payment due to the variability is exchanged with the TRP PAY, it can be used as a product purchase or service payment method with a fixed value. The TRP global platform will provide services around the world through our network of sports, real estate, entertainment, home shopping, medical services, leisure industry, luxury shop, culture service etc. The TRP is not an existing mileage or point concept, but an anonymity, security, and cost savings through the combination of blocked pay and blocked coins and it will become a financial coin when used as a payment method. Because there is no fee, on/offline merchants and consumers can save on commission costs. TRP will lead to more various forms of affiliate partnership services in on/off line bank payment, QR code, bar code, PG service and card service.",TRP,13th Jun 2019,18th Jun 2019,http://www.turnple.net,null,https://trpcoin.com/img_up/shop_pds/turnple/design/pdf/trpebusdup.pdf
Retail,,nexxus rewards,,"NEXXUS TOKEN is a true utility token that creates most of its buyer demand from merchants that pay for new customers. Nexxus Token is not dependent on speculative trading. Nexxus Token is the internal currency of Nexxus Rewards – a Community Cooperative Blockchain Solution that helps local merchants get new customers, helps charities fund their important social causes, and rewards shoppers with shared free shopping dollars. Every shopping transaction creates buyer demand for the Nexxus Token. If a merchant offers a 10% reward on a $100 purchase, Nexxus Rewards purchases $10 worth of Nexxus Tokens with the merchant’s money from the public exchange for $1. Nexxus Rewards provides local charities with leveraged perpetual funding for their important social causes. Charities don’t have to buy or sell anything; they just support their local community. Nexxus Rewards’ software and systems are production-ready to generate revenue with a management team of highly experienced executives.",NXR,null,null,http://www.nexxusrewards.io,USA,https://www.nexxusuniversity.com/Attachments/38/21/NexxusWhitepaper.pdf
Retail,,oath protocol,,"Traditional decision-makers are being replaced by smart contracts. Code, however, is limited by itself and cannot execute when the parties involved face a conflict. Oath Protocol gives back power to general users who become jurors and then decide what should be done. In fact, any regular user can participate and give his/her opinion while our categorized random algorithm & built-in credit level system prevent collusion and increase accuracy of the verdict. Being a layer two chain-agnostic solution, Oath Protocol connects to public chains or dApps. The current partner network includes world-class chains such as NEM, Qtum, HPB, MOAC and many more. In addition, Oath Protocol can be implemented to replace centralized customer services on traditional internet platforms in e-commerce, rentals or data analysis.",OATH,11th Apr 2019,11th Apr 2019,https://oaths.io,USA,https://www.oathprotocol.com/files/OATH-Whitepaper-EN.pdf
Smart Contract,,pawtocol,,"Pawtocol is the most advanced online pet community, combining blockchain, AI and IoT technologies to improve the lives of the world’s 400 million pets. This one-of-a-kind platform serves pet owners, veterinarians, vendors and researchers, uniquely positioning it to take over this fast-growing, $100B+ industry. Pawtocol’s DLT provides all users much-needed privacy and complete control of their data, including options to be compensated for sharing it. Pawtocol’s AI will drive better product recommendations and, when coupled with point-of-care IoT devices at our local EZ Vet clinics, will dramatically improve medical outcomes.",UPI token,27th Dec 2019,2nd Jan 2020,https://newpaw.web.app,USA,https://newpaw.web.app/whitepaper/
Sports,,usscyber,,"The World Sports Coin Exchange (WSCE) network is a global blockchain for sports tokens. It uses a unique algorithm that is based on blockchain technology to evaluate teams based on their data. Like the stock market, the value of each team’s token will fluctuate according to the team’s matches in their respective leagues and cups throughout the year affecting their token price. Live data is used by the algorithm to achieve the valuation calculation.",WFCE,15th Oct 2019,31st Oct 2019,https://usscyber.com,USA,https://www.dropbox.com/s/74vbh6rq4tq7a3r/WhitepaperV12.1.pdf
