cat1,cat2,name,raised,desc,ticker,start,end,www
,,azuma games,,"Azuma Games has developed a new online game Azuma - "Unification". We have combined incredible graphics, challenging game play, and a robust crypto reward system. The native token in the game is AZUM. Included In our platform is the scoring system SDK which will be available to developers that are interested in creating new games integrating AZUM in their game economy. AZUM can be traded inside the game for weapons, shields and many other unique game objects.Our tokens may also be purchased and traded on participating exchanges. The problem with the existing games on the blockchain, is just that, they are slow and thus players lose interest quickly. Our platform enables the player to enjoy the speed of AAA games with the added bonus of crypto rewards sent right to their wallet. The future of gaming is here, and Azuma Games is positioned to be a leader in this space.",AZUM,20th Sep 2019,21st Dec 2019,https://www.azumacoin.io,null,https://www.azumacoin.io/static/Azuma_WP_Sep17-2b944767e8ac9abe89bd3ae0fdf6cfa1.pdf
Artificial Intelligence,,hiway,,"The Hiway platform is a blockchain tailored marketplace for work. It builds on a few of the most innovative and progressive technologies emerging from the Fourth Industrial Revolution: big data, blockchain and artificial intelligence. Hiway serves both the employee and the employer, empowering those looking for a job or wanting a job done in equal measure. The world is currently filled with employment agencies connecting candidates to employers, mostly operating with a local and somewhat dated approach. But, the sector is ready for a new way of working. Hiway is here to create a platform built to facilitate connections, that is accessible to anyone who has skills to share or a job to offer. No borders, no boundaries.",WAY,null,null,https://hiway.io,Netherlands,https://hiway.io/downloads/HIWAY_white_paper_v1.2.pdf
Artificial Intelligence,,medilives,0.5,"MediLiVes has brought an opportune moment for a major and much-needed disruption of the current healthcare system. With telemedicine infusion with technology, doctors and patients alike can manage care remotely, increasing efficiency and outcomes.",MLIV,1st Oct 2019,30th Nov 2019,https://medilives.io,UK,https://medilives.io/documents/english_mediLiVes_whitepaper_v1.0.pdf
Artificial Intelligence,,migranet,,"The world’s first immigration platform combining artificial intelligence, cryptocurrency, smart contracts, biometrics, and blockchain technology - “A company that celebrates and appreciates the importance of international immigration, believing it is a right to all, not a privilege to some.”",MIG,16th May 2019,15th Aug 2019,https://migranet.io,Costa Rica,https://migranet.io/wp-content/uploads/2019/04/Migranet-Whitepaper-v.1.1.10.pdf
Artificial Intelligence,,mpcx,0.24339,"MPCX is a Digital Crypto Wealth Management blockchain driven financial services platform for innovative crypto investors. The MPCX's unique products are tailored to our clients including Investable Crypto Indices and the Digital Smart Investment Mandate. At MPCX we apply a holistic approach. We will aggregate all crypto services into one place, will create in house blockchain solutions for digital wealth management, cryptocurrency exchange and trading, digital banking and then expand our expertise to traditional asset classless. We have decided to begin with Digital Crypto Wealth Management Platform to manage portfolios of crypto assets of innovative investors.",XDMC,28th Jun 2019,30th Sep 2019,http://mpcx.co,UK,https://bit.ly/2UTZox4
Artificial Intelligence,,nitro platform token,,"Nitro Token Platform is a mapping for traders, fund managers and individual investors on how to build future partners and make earnings through employing Smart Contracts and Algorithmic Approaches. The ecosystem that we are trying to build is a business model for everyone in which cryptocurrencies are used and decentralized applications grow within a strategic plan.",Nitro token,null,null,https://www.nitrotoken.io,Malta,https://www.nitrotoken.io/pdf/white-paper-en.pdf
Artificial Intelligence,,ocean protocol,,"Ocean Protocol is an ecosystem for sharing data and associated services. It provides a tokenized service layer that exposes data, storage, compute and algorithms for consumption with a set of deterministic proofs on availability and integrity that serve as verifiable service agreements. There is staking on services to signal quality, reputation and ward against Sybil Attacks. Ocean helps to unlock data, particularly for AI. It is designed for scale and uses blockchain technology that allows data to be shared and sold in a safe, secure and transparent manner.",OCN,null,null,https://oceanprotocol.com,Singapore,https://oceanprotocol.com/business-whitepaper.pdf
Artificial Intelligence,,stan world,,"Digital revolution has changed entertainment forever. The Stars and Brands that took action and evolved became mega franchises while the others, dinosaurs. Now blockchain revolution is changing things even more: activating real ownership, complete globalization, and equal opportunity. Stan World is a virtual world platform where Stars & Brands launch their virtual resorts in a virtual world powered by blockchain. A virtual resort consists of “fan-fantasy” experiences and activities such as virtual concerts, nightclubs, shopping malls, galleries, rides and generates revenue from ads, goods, and services.",STAN,24th Oct 2019,30th Nov 2019,https://stan.world,USA,https://drive.google.com/file/d/1Pu1t4vRxQs5Ef2DveoKdpu0e6ghHVSFy/view?usp=sharing
Artificial Intelligence,,vectorium plus,,"Vectorium Islands are places where the collectivity can produce renewable energy and cryptocurrecy. Those Islands produce power energy value combining wind, solar and waste by a virtuous ecosystem regulated by blockchain and Artificial Intelligence. Vectorium Islands are based on Waste to Coin process. Imagine a world in which surpluses become healthy, imagine an ecosystem in which the environmental lifecycle produces wealth and produces sustainable and healthy way. Think of a world where nothing is thrown away, think of a planet where the reuse of our own waste enhances the lives of our communities. Think of a future in which all this will be possible thanks to vector islands in which the air we breathe will be pure and sublime as a few centuries ago. Realizing all this is now possible: the combination of hardware, software and intelligence has brought us to a new VECTORIUM level. A technology, the Blockchain, allows us to trace vector flows and exchange energy in a few seconds at minimal costs. Three crypto coins with different functions (power transport and payments, Convertible Bond and Securities) Vector Islands that will be able to transform the leftovers of the community into wealth and exchange it with other collectives without intermediaries. In a virtuous cycle in which the waste is transformed into crypto energy and crypto breath BREATH SYSTEM Breath is an energy production plant that is based on the sublimation process with flameless combustion, simply by introducing air and managing some resistances placed inside the reactor. It’s able to provide different energy outputs according to the needs required: Electricity usable on site by means of recharging stations, (electric cars / trucks / motorcycles), for lighting, or selling it to the market. Thermal energy through which it supplies hot, cold and steam water to be used as needed. Synthetic methane can be conveyed inside ducts for networking, or used as fuel after storage in special tanks. Condensed water, depending on the materials used to feed the machine and their percentage of humidity, can be used for irrigation of crops or in the industries. Carbon and Hydrogen, being it a molecular degradation plant based on chemical, physical and thermodynamic processes, these are the result of chemical reactions that allow separation. We have the possibility to completly customize power island locations. Underground The plant is underground, with a loading system using an external trapdoor, where the material to be disposed can be poured. On ground Machine positioned externally, on the ground in indoor spaces (sheds, factories etc) or outdoor with a roof cover with photovoltaic panels, increasing energy production. On the sea In this case we find ourselves installing the Breath system on a ship able to dispose the countless wastes found in the seas everywhere in the world, with particular attention to those places where sea currents tend to concentrate the greatest quantities. Near the sea The commercial and/or tourist ports are suitable for the positioning of the system, photovoltaic and wind power depending on the geographical characteristics of the location.",VCTP,null,null,https://www.vectorium.co,Estonia,https://www.vectorium.co/wp-content/uploads/2019/07/Vectorium-Whitepaper.pdf
Artificial Intelligence,,xcoynz,,"Our mission is to firstly assist the innovators and early adopters who have helped bring it thus far and secondly enable the waiting majority to easily enter this exciting space for that inevitable critical mass shift with a simple to use, fast and cost-efficient blockchain- based payment and trading ecosystem. Those who have an intimate understanding of the cryptocurrency and Blockchain concepts can relate to examples in history of uncertain infancies that, despite early resistance went on to change our world. We have the vision and conviction to not only be involved with the biggest changers of history, but also to become an active catalyst for this change.",XCZ,null,null,https://www.xcoynz.com,UK,https://www.xcoynz.com/WhitePaper-Full.html
Artificial Intelligence,,yanu,1.1305,"YANU serves beverages, handles payments, identifies and communicates with clients. Yes, you can pay for your beverage with our token. We're doing an ICO to raise funds for building Yanu units and make it possible to place them to all major transportation hubs, entertainment and sports venues. With a ready prototype and a strong team behind it, we're confident that Yanu will be the first of its kind.",YANU,26th Apr 2019,26th May 2019,https://yanu.ai/ico,Estonia,https://yanu.io/wp
Banking,,azbit,9.0,"The main objectives of the project are to meet the needs of cryptocurrency projects and users for traditional financial sector services, and to provide access to investment products and to the crypto trading markets. The team Azbit is developing a project on the capitalization of more than 4k coins on cmc.io",AZ,6th Jun 2019,30th Jul 2019,https://azbit.com,Seychelles,https://cdn.azbit.com/docs/en/whitepaper.pdf
Banking,,btccredit,0.5,"The next gen crypto banking solution, a Blockchain based P2P lending solution.",BTCC,29th Nov 2019,3rd Dec 2019,https://btccredit.io,Estonia,https://btccredit.io/pdf/btccredit_whitepaper.pdf
Banking,,cazplus,,"We are a dynamic team of technology believers and geeks, focused on uniting modern-day technologies to build sustainable business entities. Caz project is a result of meticulous research and development aimed to create an environment, an eco-system where everything supports each other and sustain as a whole. Caz Eco-system has various products and services such as E-commerce marketplace, payments gateway, crypto currency exchange etc. We are using a combination of Blockchain, Fintech and AI technologies to improve profitability and to better deliver convenience, selection, data privacy and personalization to our customers.",CAZPLUS,15th Sep 2019,25th Oct 2019,https://www.cazplus.com,Singapore,https://www.cazplus.com/pdfs/CazPlus%20WP.pdf
