name,coinName,symbol,proofType,url,algorithm,summary,lifespan,founder,durl
BEE,Bee Token,BEE,N/A,/coins/bee/overview,N/A,,,,,
CLOAK,CloakCoin,CLOAK,PoW/PoS,/coins/cloak/overview,X13,,,,,
JUP,Jupiter,JUP,N/A,/coins/jup/overview,N/A,,,,,
NEBL,Neblio,NEBL,N/A,/coins/nebl/overview,PoS,,,,,
AXPR,aXpire,AXPR,N/A,/coins/axpr/overview,N/A,,,,,
BSCH,BitSchool,BSCH,N/A,/coins/bsch/overview,N/A,,,,,
BEN,BitCOEN,BEN,Limited Confidence Proof-of-Activity,/coins/ben/overview,SHA-256,,,,,
BEP,Blucon,BEP,N/A,/coins/bep/overview,N/A,,,,,
SGA,SAGA,SGA,N/A,/coins/sga/overview,N/A,,,,,
NEBU,Nebuchadnezzar,NEBU,PoS,/coins/nebu/overview,PoS,,,,,
BET,BetaCoin,BET,PoW,/coins/bet/overview,SHA-256,,,,,
BEX,BEX token,BEX,N/A,/coins/bex/overview,N/A,,,,,
BEZ,Bezop,BEZ,N/A,/coins/bez/overview,N/A,,,,,
BETHER,Bethereum,BETHER,N/A,/coins/bether/overview,N/A,,,,,
NVDX,Nodvix,NVDX,N/A,/coins/nvdx/overview,N/A,,,,,
SGL,Sigil,SGL,PoW,/coins/sgl/overview,NeoScrypt,,,,,
SGO,Selfie GO,SGO,N/A,/coins/sgo/overview,N/A,,,,,
SGN,Signals Network,SGN,N/A,/coins/sgn/overview,N/A,,,,,
IOEX,ioeX,IOEX,N/A,/coins/ioex/overview,N/A,,,,,
SGP,SGPay,SGP,N/A,/coins/sgp/overview,N/A,,,,,
BFC,Betform,BFC,N/A,/coins/bfc/overview,N/A,,,,,
SGR,Sugar Exchange,SGR,N/A,/coins/sgr/overview,N/A,,,,,
YEED,Yggdrash,YEED,N/A,/coins/yeed/overview,N/A,,,,,
NEET,Neetcoin,NEET,PoW/PoS,/coins/neet/overview,Scrypt,,,,,
JVY,Javvy,JVY,N/A,/coins/jvy/overview,N/A,,,,,
SHA,Shacoin,SHA,PoS,/coins/sha/overview,SHA-256,,,,,
BFT,BF Token,BFT,N/A,/coins/bft/overview,N/A,,,,,
SHE,Shine Chain,SHE,N/A,/coins/she/overview,N/A,,,,,
COGEN,Cogenero,COGEN,N/A,/coins/cogen/overview,N/A,,,,,
MSDT,Measurable Data Token,MSDT,N/A,/coins/msdt/overview,N/A,,,,,
BFX,BitFinex Tokens,BFX,N/A,/coins/bfx/overview,N/A,,,,,
SHL,Oyster Shell,SHL,N/A,/coins/shl/overview,N/A,,,,,
CEEK,CEEK Smart VR Token,CEEK,N/A,/coins/ceek/overview,N/A,,,,,
SHR,ShareRing,SHR,N/A,/coins/shr/overview,N/A,,,,,
JWL,Jewels,JWL,N/A,/coins/jwl/overview,POS 3.0,,,,,
URIS,Uris,URIS,N/A,/coins/uris/overview,N/A,,,,,
SHX,Stronghold Token,SHX,N/A,/coins/shx/overview,N/A,,,,,
BGG,Bgogo Token,BGG,N/A,/coins/bgg/overview,N/A,,,,,
BEPRO,BetProtocol,BEPRO,N/A,/coins/bepro/overview,N/A,,,,,
SIC,Swisscoin,SIC,PoW/PoS,/coins/sic/overview,Scrypt,,,,,
SCRL,Scroll,SCRL,N/A,/coins/scrl/overview,N/A,,,,,
SCRM,Scorum,SCRM,DPoS,/coins/scrm/overview,DPoS,,,,,
