cat1,cat2,name,raised,desc,ticker,start,end,www
singapore,,enkidu,0.373,"ENKIDU is a global collaboration platform where individuals can find like-minded collaborators and team up to build and launch a monetizable product or service. This happens via a trustless payment gateway. Each payment gateway has a payment splitting function that replicates a cap table.A payment gateway that obeys the rules of it's associated cap table, thereby allowing users to collaborate with each other trustlessly. All incoming payments on this gateway are split amongst team members, treasury, investors and bots (if any). There is no dividend system. A proprietary resolution voting system that has a private record of resolutions (action items) passed by the collaborative entity - allowing people to vote on decisions like dilution, treasury threshold, etc. A time-locked smart contract based vesting system to prevent premature rewards for collaborators.",ENK,15th Jun 2018,15th Aug 2018,https://enkidu.io,Singapore,https://enkidu.io/enkidu_whitepaper.pdf
singapore,,gcox,,"GCOX is the world's first blockchain-powered platform that allows the popularity of celebrities to be tokenised and listed. Through GCOX, celebrities can now capitalise on their popularity and reach out to their fans. At the same time, the public can gain more private and exclusive access to celebrities of their choice. While supporting their celebrities, the public can also enjoy the social interaction utility of the tokens they hold. Therefore, GCOX provides a new avenue for participants to see the limitless business potential and immense possibilities brought forth by ACCLAIM Tokens (ACM) and Celebrity Tokens.",ACM,8th Aug 2018,31st Aug 2018,https://gcox.com,Singapore,https://gcox.com/whitepaper/ACCLAIM-GCOX%20WHITEPAPER%20ENGLISH.pdf
singapore,,harbor,,"It stores software license information in a blockchain and enables in-app payments through a smart contract. Harbor Project aims to support various platforms of desktop and mobile. Harbor team has completed prototype development and issued token via UAICO, a new cryptocurrency issuance model. UAICO keeps all invested assets locked on smart contracts and has them as an underlying asset in newly issued currencies. When issuing a new currency, UAICO will allocate a portion of it as development funds and founder shares (our guideline is to allocate more than 50% of the total amount of new currency to investors) Recent ICOs have darkened the market for blockchain technology. our team was worried about ICO's current problems. Our ICO model focuses on investor protection and is a good way to raise money for business models that have a profit model. And UAICO is a model that prevents ICO from doing business for itself, it can collect minimum funds, and gradually expand business value and currency value. Our UAICO model includes not only the issuance conditions but also the rules in the execution process.",HBR,3rd Jul 2018,2nd Aug 2018,https://www.toharbor.com,Singapore,https://www.toharbor.com/HarborToken_Whitepaper_en_1.1.pdf
singapore,,humbyl,,"Humbyl Coin is a decentralized ERC20 Fantasy Sports cryptocurrency built on Ethereum blockchain engaged in creating an online sports predictors community platform with celebrities and other Fantasy Sports players. It leverages experience and winning chances of players to all Fantasy Sports around the world.",HBL,21st May 2018,31st Aug 2018,https://humbyl.io,Singapore,https://humbyl.io/whitepaper
singapore,,iat,,The IA Tokens concept aims to revolutionize the real estate industry using Blockchain technology through the development of the IAT Platform. Funds raised from this ICO will be used to develop the IAT blockchain and our existing management company that is currently operational will undertake the asset management. The Platform will cater to the Philippines market first and we look to expand into other developing markets in Asia.,IAT,15th Jun 2018,15th Aug 2018,https://www.iatokens.com,Singapore,http://iatokens.com/docs/IAT%20WHITEPAPER.pdf
singapore,,incodium,4,"At the heart of Incodium – a decentralized application (DApp) developed based on Ethereum with smart contract technology to provide exchange hacking protection – is the Incodium Wallet app, a personal mobile application that securely stores Incodium coins owned by individuals. The wallet communicates and interacts with the blockchain via the Ethereum Virtual Machine (EVM) as well as the Incodium API & ABI. By storing Incodium coins in the wallet, “smart compensation protection” automatically takes effect, and can be executed without the need for any intermediary. If a user holds Incodium coin in the Incodium Mobile Wallet and is the victim of an exchange hacking incident (an exchange where Incodium coin is listed), the user will be reimbursed in Incodium coin with the lowest of the following three values: 30 times the amount of Incodium coin held in the Incodium Mobile Wallet, the amount of actual damages or 10,000 USD.",INCO,17th Jul 2018,27th Aug 2018,https://incodium.io,Singapore,https://incodium.io/wp-content/uploads/2018/08/Incodium_Whitepaper_English-3-1.pdf
singapore,,inmediate,5,"Many Insurers are exploring blockchain and smart contract supported products. Yet an ecosystem is still missing. One that can bring these policies to the market in a convenient, consistent, and coordinated manner. Inmediate fills that gap We will provide the Insurance industry with that ecosystem where Smart Contract Insurance can be transacted at lightning speed, full clarity, and at much lower costs than ever imagined.",DIT,18th Jul 2018,6th Aug 2018,https://www.inmediate.io,Singapore,https://inmediate.io/Inmediate_Whitepaper.pdf
singapore,,izx,,"IZX provides a monetization platform for independent developers of games with elements of augmented or virtual reality. The advertising provider may choose games that will be used for its promotional events, their developers get royalties. IZX is based on a blockchain platform, its code is open source, and it has no geographical boundaries.",IZX,18th Jul 2018,31st Aug 2018,http://izx.io,Singapore,https://github.com/izetex/documents/raw/master/IZX_WHITEPAPER_EN.pdf
singapore,,ledgit,,"A Blockchain-as-a-service (BaaS) platform offering transparent provenance solutions for authentication and legacy heritage solutions with the integration of Smart Application Platform, Smart Contracts & Smart Reward System.",LDG,7th Jul 2018,7th Aug 2018,https://ledgit.com/html/index.html,Singapore,https://ledgit.com/html/whitepaper/ledgit_whitepaper_en.pdf
singapore,,okeydokey,,"It's about time we start utilizing more of our physical assets, with IoT and the blockchain we can now transform how we rent, sell, and share physical objects. OkeyDokey is to provide smart and secure ecosystem to rent and sell things. It is about connecting the blockchain to the physical world.",OKEY,11th Jul 2018,24th Aug 2018,https://okeydokey.network,Singapore,https://github.com/team-okeydokey/oke...
singapore,,reborn bloc,,"We have a proven track-record for our business and our breakthrough technology. We are starting a reverse ICO.We are concerned with global energy issues and the pollution we leave in the process of the disposal of waste. We are focused on making the clean energy using wastes as the source without causing any secondary pollution and at the same time, secure Carbon Emission Reduction (CER credit) with reliable data proofs from the blockchain.",RBE,16th Jul 2018,31st Aug 2018,https://rebornbloc.info,Singapore,https://rebornbloc.info/static/pdf/white_paper_en.pdf
singapore,,silkchain,10.0,"SilkChain is the first blockchain project dedicated to improving international trade. For its fundraising, the project has gathered the most influential members and participants. The project has gathered world leading business groups, trading companies, e-commerce companies, logistics, warehousing and finance companies from around the world. The participants involved firmly believe in the mutually benefital, mutually trusting principals of the project. The members are committed to transform their respective centralized systems to a decentralized, open, transparent, trusted ecosystem. We are united around the goal of sharing more resources, and profits to create a bigger, and more efficient market to improve the long term sustainability of global trade.",SILK Token,8th Jun 2018,5th Aug 2018,https://www.silkchain.io,Singapore,https://www.silkchain.io/paper/SilkChainEnglish.pdf
singapore,,streamity,4.2,"The key element of STREAMITY is StreamDesk decentralized application for exchange of cryptocurrency to fiat money without intermediaries on the basis of smart contracts. How does the exchange work? Cryptocurrency is blocked in the smart contract till the signal about crediting of fiat money to the seller’s account is received, being transferred directly between users. Fiat money and cryptocurrency are not blocked on the platform, which allows us to work legally in most jurisdictions of the world. Commission. The commission varies from 0 to 2% and depends on the purchased package with a set of benefits. Advantages. StreamDesk project is based on the sought-after mass service, and connection of new users will create a strong demand for STM tokens. Moreover, the tokens will be openly traded on the main crypto exchanges, and, through StreamDesk service, users will transform cryptocurrency into ordinary money as it is much more profitable, by ensuring access of new users to the service!",STM,25th Jun 2018,6th Aug 2018,https://streamity.org,Singapore,https://streamity.org/uploads/docs/en/Whitepaper_Streamity_en.pdf
singapore,,synco,30.0,"SyncoChain offers a comprehensive suite of services designed to benefit the global blockchain community. Syncochain aims to simplify the complexities, remove the barriers, make connections, and further enable the disruptions taking place across the expanding cryptocurrency markets by offering the following services. • SyncoEvents: Weekly, monthly and biannual meetups, symposiums, and conferences hosted by Synco • SyncoSpace: Blockchain and cryptocurrency-focused shared workspace facilities, currently operating as Blockchain Center Seoul in South Korea • SyncoHood: A community platform for users to exchange opinion, information, and content related to blockchain and cryptocurrencies • SyncoRamp: Business accelerator for blockchain startups • SyncoMedia: On/offline media generation and distribution platform leveraging Synco’s current media businesses • SyncoAcademy: On/offline blockchain and cryptocurrency education and mentoring service, currently operating as Blockchain Academy • SyncoPay: Real-time payments using SYNCO (and other cryptocurrencies), enabled by Synco’s partner FuzeX • SyncoLaunch: Online ICO launch support platform through which individual investors pool their funds to collectively evaluate and participate in ICOs • SyncoDAX (CHAINB): A cryptocurrency exchange that puts security and integrity first, primarily listing tokens introduced through SyncoLaunch • SyncoPool: Reserve and token value-add mechanism to which a portion of Synco revenues will be pooled, and from which community rewards will be paid out • SyncoNet: Blockchain main net supporting the creation of dApps on the platform, to be developed in the longer term The SYNCO token is the underlying payment mechanism for all products and services available in our ecosystem. Enabled by our unique SyncoPool mechanism and a flexible reserves methodology, this token manages frictionless trusted transfers between cryptocurrencies and provides access to (and rewards for utilizing) the products and services of SyncoChain.",SYNCO,30th Jul 2018,19th Aug 2018,https://syncochain.io,Singapore,https://syncochain.io/static/common/images/wp/SyncoChainWP_v1.5.pdf
singapore,,taklimakan network,,"Taklimakan Network is an investment and educational platform for crypto enthusiasts, analysts and traders, which enables users to make professional investment decisions regardless of the level of their financial literacy using educational resources, analytical and trading tools, reviews, etc. Platform offers trading signals, strategies and recommendations from professionals sent exclusively to platform users. Moreover, analytics on ICO projects and coins would be offered within a platform. Investment portfolios formed by experienced managers would be also offered to the clients. The newbies of the industry would be able to access educational materials to lift the knowledge base.",TKLN,9th Apr 2018,31st Aug 2018,https://www.taklimakan.io,Singapore,http://taklimakan.io/taklimakan-whitepaper-eng.pdf
singapore,,usechain,,"Usechain is committed to developing the world’s first mirror identity blockchain ecosystem. On the basis of current blockchain technology, Usechain innovatively sets Mirror Identity Protocol (MIP) as the foundation, brings the multi-layer technical and design innovation, breaks through the bottleneck for blockchain development, and provides technical infrastructure for virtual parallel worlds in the future. It will construct the future-oriented identity chain system with brand new technology and infrastructure. And it will construct the wider decentralized applications and provide the bottom-layer technical support for the decentralized applications in various industries, such as finance, payment, insurance, consumption, cultural broadcasting, charity and commonweal and social management, and so forth.",UST Token,8th Aug 2018,13th Aug 2018,http://www.usechain.net,Singapore,http://www.usechain.net/usechain_en.pdf
singapore,,wisepass,,"PASS tokens will change the way cryptocurrency holders utilize their assets. Harnessing our established partnerships with world-class and local brands, WisePass will allow token holders the ability to purchase items to be consumed in everyday life. By utilizing a cryptocurrency to purchase goods and services users can consume everyday, we will become the main bridge between the crypto-economy and the real world economy.",PASS,10th Jun 2018,10th Aug 2018,http://ico.wisepass.co,Singapore,http://ico.wisepass.co/documents/WisePass_WhitePaper.pdf
singapore,,xenchain,,"XenChain accelerates and strengthen identity verification processes by using e-KYC technology that requires facial recognition, making manual document authentication a thing of the past. Personal data is encrypted and stored in a public ledger making it safe from breaches. Xenchain, in cooperation with multiple trusted corporate data validators, will accurately acquire, validate and store identity data into a decentralized Blockchain. End users have full control over their data; companies can retrieve identity data (with end users’ permission) from Blockchain, thereby reducing cost and time",XENC,1st Aug 2018,15th Aug 2018,https://xenchain.io,Singapore,http://xenchain.io/whitepaper.pdf
singapore,,xinfinity,22.8,"X-infinity Limited is a innovative FinTech company that develops a secure Cryptocurrency Wallet, where you can keep all your Cryptocurrency Assets together. The Wallet is linked to a personalized Debit Card, which you can spend at any intentional retailers that accepts debit cards and also allows for International ATM cash withdrawals. X-infinity's main goal is to provide a solution where ALL your Cryptocurrencies are Collected in ONE wallet but Spendable EVERYWHERE. This state-of-the-art technology allows Blockchain Assets not only to be available to industry insiders, but rather something that can be used by ANYONE in the “real” world. Unlike other ICOs, X-infinity product is ready to be launched by Q3 2018.",XIF,8th Aug 2018,31st Aug 2018,http://www.xinfinity.io,Singapore,http://c.fastcdn.co/u/d1e34e34/32216836-0-XIF-WP-18-June.pdf
switzerland,,contractvault,6.225673,"Contract Vault is a Blockchain-powered platform that enables anyone to develop, use, resell, customise and repurpose legal agreements, Smart Contracts as well as entirely new categories of agreements without legal or technical knowledge on the Ethereum Blockchain. Contract Vault bridges the gulf between legal contracts and Smart Contracts enabling the tokenisation and transfer of physical assets and rights on the Blockchain opening a whole new world of possibilities for the usage and adoption of Smart Contracts. Contract Vault aims to build a vibrant ecosystem for individuals, businesses, legal professionals and Blockchain developers centred around an open marketplace. Contract Vault is the new world of trust.",VLT Token,15th Jul 2018,31st Aug 2018,https://www.contractvault.io,Switzerland,https://www.contractvault.io/token/#document-assets
switzerland,,etherace speculation platform,,"EtherAce is a decentralized speculation platform. Built as a layer on top of the Ethereum Blockchain, EtherAce's platform logic is contained in smart contracts which run autonomously in the Ethereum Virtual Machine. EtherAce has three main sections: You can bet on the odds in our Chance Game Suite, bet on your skill in our Decentralized Derivatives Market, or bet on us by holding our ACE Dividends (ACED) token and receive quarterly dividends.",ACED,12th Jul 2018,16th Aug 2018,https://etherace.io,Switzerland,https://etherace.io/whitepaper/EtherAce_Whitepaper_v1.0.1.pdf
switzerland,,hedger,,"Hedger Technologies is a leading FinTech company proposing a cryptocurrency hedge instrument, HEDGER; a digital token that will be used for P2P transactions and will allow cryptocurrency investors to hedge against the risks associated with investing in cryptocurrencies by creating a real FIAT Currency Fund (Hedger Fund). Hedger coin will act as a Future Contract in the Derivatives Market in the crypto space that will be used to hedge a certain amount of cryptocurrency in the certain amount of FIAT currency.",HDR,1st Jun 2018,31st Aug 2018,https://www.hedger.tech,Switzerland,https://www.hedger.tech/code/theme/default/upload/hedger-wp.pdf
switzerland,,icostart,0.2,"We created the ICOStart platform, to provide specific services to start-ups or established companies, which want to create their own ICO (Initial Coin Offering) simply, safely and professionally. Specific services such as Know your Customer, the Audit of the projects supported by our Artificial Intelligence system, the smart contract configurator to make your unique ICO, Legal template, Master Nodes management, everything you could wish for a successful ICO configured on a single platform.",ICH,22nd May 2018,23rd Aug 2018,https://icostart.ch,Switzerland,https://icostart.ch/wp-content/uploads/2018/03/WhitePaper_web.pdf
switzerland,,shopiblock,,"Shopiblock is a decentralized White-label SaaS provider. The first decentralized shop software as a service on the market. Use Shopiblock to create the ultimate decentralized business in your niche. Launch a decentralized online store along with your own cryptocurrency to sell your products. In the digital age of 21st century, cryptocurrency has taken the world by storm with Bitcoin the most valued cryptocurrency today and there are more whose stock is rising and expected to beat Bitcoin in the near future. Shopiblock is developed with the idea that people will get to develop their own cryptocurrency on their own favorite domain along with launching an online decentralized store using users own tokens (via cryptocurrency) or Ethereum for payments. The following are the reasons why Shopiblock is an ideal solution to your needs. Feel free to check our website shopiblock.io and read our Whitepaper for more information.",SHB,1st Jun 2018,9th Aug 2018,https://www.shopiblock.io,Switzerland,https://www.shopiblock.io/pdf/Shopiblock_Whitepaper.pdf
switzerland,,thefandome,,"Running fandom platform for Geeks, Fans, and Entertainment Business worldwide with immersive fanmanagement, objective advertising statistics, and utility token provision.",FDT,15th Apr 2018,31st Aug 2018,http://ico.thefandome.com/en,Switzerland,http://ico.thefandome.com/PDF/Whitepaper_v_1_0_en.pdf
UK,,4new,42.1,"4NEW is the world’s first eco-friendly, tangible, waste to energy power plant entirely integrated on the blockchain network and dedicated to crypto-mining. We collect the waste, process it through a high pressured combustion chamber generating free energy and organic byproducts. We apply this free energy to an onsite crypto-mining farm resolving the achilles heel of cryptocurrencies; voracious energy consumption met with free energy production. We are producers of energy, NOT an energy exchange platform.",FRNC,1st Jun 2018,10th Aug 2018,https://www.4new.io,UK,https://4new.io/wp-content/uploads/2018/02/4NEW-WhitePaper.pdf
UK,,artwook,,"Art shared ownership trading platform cooperates with the world's top auction houses to provide online auction services. It only requires a small fund for investment and can be free from the time and region restriction.",AKC,20th Jul 2018,17th Aug 2018,https://artwook.com,UK,https://static.artwook.com/whitepaper/ARTWOOK_whitepaper_en.pdf
UK,,bestmeta,,"BestMeta will allow professional esports gamers to create their own digital token for fans to purchase in exchange for merchandise, exclusive offers and involvement in their projects via smart contracts.",BMT Token,23rd Apr 2018,31st Aug 2018,https://www.bestmeta.gg,UK,https://www.bestmeta.gg/wp-content/uploads/2018/01/Whitepaper.pdf
UK,,bitesprit,,"BitEsprit is the first all-in-one cryptocurrency exchange that integrates all the services cryptocurrency traders need. We feature crypto-to-crypto and altcoin-to-fiat trading pairs, intrinsic copy trading platform, advanced charting interface, bank level security (ISO 27001, PCI DSS), among others. With issuing BitEsprit debit cards linked to our users fiat balances, we make it practically seamless for our users to spend the profits they make trading on our platform. We also undertake to list the tokens of successful ICOs free of charge after a thorough evaluation of the projects, by which we remove the barrier of entry to the trading ecosystem for promising and trusted projects.",BEC,1st Jul 2018,1st Aug 2018,https://bitesprit.com,UK,https://cdn.bitesprit.com/documents/whitepaper.pdf
UK,,bitto exchange,4.5,"Bitto exchange provides a 1 stop solution Exchange with Trading, Backed Loans, Copy trading, PoS, Multi-level Referral & Buyback. We are soon going to update our project with Bitto Ecosystem, a program aimed towards helping marginalised communities and individuals, promoting fair trade and distribution of resources, giving everyone a chance for education and basic needs.",BITTO,16th Jan 2018,15th Aug 2018,https://www.bitto.tech,UK,https://bitto.tech/pdf/WP_Bitto_2.0.pdf
UK,,bmybit,,"BmyBit approached the cryptocurrency market with an aim to provide innovative and unique solutions to the problems which traders must face every day. The platform offers Personal Automated Trading System (PATS), Automated Arbitrage System (AAS), Manual Trading, Digital Exchange, and Private Blockchain. BmyBit also allows to monitor tax expenditure and offers proprietary algo-trading technology which was built to scale globally and is available world-wide. Registering on BmyBit allows traders to connect with twelve different liquidity providers through API keys, solving the issue of having to monitor each of the exchanges at the same time. BmyBit also provides both inexperienced and experienced traders with all the necessary tools to make trading with cryptocurrencies more profitable and less time consuming. PATS can be customized for the needs of beginner, intermediate, or advanced traders, allowing them to choose different parameters according to their needs, for example the risk level, or the minimum profit. BmyBit also makes it possible to trade manually and recently introduced arbitrage for trading across multiple exchanges.",BMYC,16th Jul 2018,30th Aug 2018,https://bmybit.com,UK,https://drive.google.com/file/d/1lrQ5W3c9gH90HV_HzOyLkQca9GKjF0Vg/view
UK,,crypto brokerage,,"CryptoBrokerage is a decentralized cryptocurrency trading platform that combines blockchain technology with suite of algorithms based on Artificial Intelligence and Natural Language Processing.",CRBK,1st Jul 2018,30th Aug 2018,https://www.cryptobrokerage.co.uk,UK,https://www.cryptobrokerage.co.uk/wp-content/uploads/2018/06/CryptoCurrencyBrokerage-Whitepaper_Final_JUNE-1.pdf
UK,,cryptoriya,,"Cryptoriya is the first blockchain based technology where users can exchange any cryptocurrency to cash within minutes from anywhere globally and it supports 1600+ cryptocurrency or token in a single platform. CryptoRiya is a platform for the future of Crypto-Currency that enables anyone to spend, withdraw, sell, buy & sends any crypto-currency anywhere globally without any bank account. While existing solutions offer to solve just one problem at a time, our team is up to build a secure, useful, & easy-to-use product based on Ethereum Blockchain. It will include easy Crypto-Currency to cash payments and even a digital arbitration system. At the end, our aim is to make any crypto-currency usable in daily life & getting cash from any crypto-currency within minutes around the world which will make any crypto-currency genuinely efficient, transparent, and reliable.",CIYA,1st Jul 2018,14th Aug 2018,https://www.cryptoriya.io,UK,https://www.cryptoriya.io/whitepaper.pdf
UK,,dans,,"DAN - Decentralised Advertising Network Team is working together on a revolutionary solution that will make advertising delivery and placement effective and easy. We are focused on making advertising easy, straightforward, intuitively simple to produce and fast to delivered, as well as to increase the adverts conversion rate. Each year advertising conversions rate is decreasing due to many factors, such as, adblockers, and competitive market players, we encourage advertisers and customers using our solutions for advertising.",DANS,1st Jul 2018,30th Aug 2018,https://dan-service.com,UK,https://dan-service.com/WHITELIST-en.pdf
UK,,datareum,5.144571,"Datareum is a decentralized marketplace that will enable individuals to monetize their personal data, selling it directly to researchers, companies, and other interested parties. Built on the Ethereum public blockchain, Datareum’s platform will facilitate this peer-to-peer transaction of sensitive personal information securely, without the risk of hacking. By leveraging incentive mechanisms within the platform, Datareum will ensure the availability of superior quality custom data, providing an indispensable tool for researchers.",DTN,2nd Jun 2018,6th Aug 2018,https://www.datareum.net,UK,https://www.datareum.net/whitepaper.pdf
UK,,dicegame,,"DICEGAME is a decentralized platform for hosting fair P2P games with transparent and verifiable mechanics with no limitation on deposit and withdrawal. The platform is based on the Graphene technology which allows to have low fees and high transaction speed. The platform ensures a fair gaming environment with real-time interaction between users around the world. Thanks to blockchain technology we connect distant past and faraway future of the iGaming world providing the solution for the following problems: lack of trust in the system, limitations on deposits and withdrawals, centralized random number generator. We grant the opportunity to participate in the games on our platform built to meet user's needs and interests.",Dice Token,16th May 2018,16th Aug 2018,https://dicegame.io,UK,https://dicegame.io/pdf/Whitepaper.pdf
UK,,entry,,"ENTRY is a blockchain - based platform empowered by smart contracts; it which not only acts as a bank by offering easy deposits, payment and lending services, cross-border payments, ATM facility/convenient withdrawals, but also as a cryptocurrency exchange for the business and consumer world.",ENTRY,1st Jun 2018,31st Aug 2018,https://entry.money,UK,https://entry.money/ENTRY_Whitepaper_v1.pdf
UK,,fondocoin,6.0,"Fondo Network is a centralized Coins Exchange that enables investors to trade Cryptocurrencies in safety, quickly, security and low-cost. And also we promise to protect our clients asset and information. Investors can trade top Cryptocurrency safely, quickly, and cost-effectively. Access to all potential projects still in the ICO phase. Easy asset management with professional trading interfaces and scientific asset management interface. Other than using Fondo Network's ICO Market as a channel for capital raising. All functions for the token sale process of the project will be prepared by Fondo Network. It will be easier for project owners who want to raise funds by selling their Tokens. Fondo Network builds a smart, multi-Cryptocurrency Exchange that is fast and maximizes profits for investors when processing transactions on Fondo Network platform. In addition, the top security of the Fondo Network will provide clients a safe, reliable experience, as well as ensuring the transaction. With the visionary ability and true purpose, Fondo Network will become the world's top leading Exchange.",FDC,24th Jul 2018,22nd Aug 2018,https://www.fondo.network,UK,https://www.fondo.network/fdc-whitepaper.pdf
UK,,hybrid betting,,"We invented our own betting game: no bookie, no algos, no odds: just competitors. Hybrid Betting is not just about betting is about strategy and numbers: we called that "Strategic Betting", the risk/reward management and the score calculation are proprietary nobody else offers something similar.",HYB,14th Jun 2018,15th Aug 2018,https://www.hybridbetting.com,UK,https://www.hybridbetting.com/white-paper/
UK,,innovative bioresearch,0.5,"Innovative Bioresearch Ltd is a privately held biotech company founded by research scientist Jonathan Fior, with the goal of bringing innovation to the field of HIV, cancer and regeneration research. Previously based in Italy, in 2018 we relocated to the UK.",INNBC,16th Jun 2018,1st Aug 2018,https://www.innovativebioresearch.com/innbc,UK,https://docs.wixstatic.com/ugd/b25952_4f3bf26ccfe14a489177f54b17578b76.pdf
UK,,investa,,"Investa ICO is a token sale of our ERC20 INV token, which is used as a means of payment across our platform. We have built 3 complimentary services and launched them already before our ICO has finished. 1. Exchange We have built a bitcoin exchange from scratch and launched it. See www.ibitt.co where you can register and login to our trading platform. INV token will offer reduced trading fees and also referral commissions for trading volume introduced. 2. Crypto debit cards. iBitt cards have already been issued and are available to order for our token buyers. Cards can be loaded with crypto directly and spent in FIAT at over 30m locations globally. INV token can also be loaded and spent on our cards. 3. ATMs these are in beta testing and will shortly be deployed in initial locations, where our users can enjoy 2 way crypto to cash conversion. INV token can also be converted to cash and withdrawn.",INV Token,1st Jul 2018,31st Aug 2018,https://www.investaco.in,UK,https://www.investaco.in/assets/pdf/White_Paper_Ver_1-6.pdf
UK,,london football exchange,71.32,"The London Football Exchange Group (“LFE”) is a financial, technology, media and entertainment group that operates in various spheres derived from the professional sporting arena, mainly association football with multi-sport ambitions. The LFE Market is an online community allowing members to partake in various club and fan experiences from match day tickets, tours, and player meet and greets, to specific merchandise and third-party offers. The LFE Market is powered through the use of the LFE Token, the world’s foremost football-based Cryptocurrency enabling a one-stop shop for fans around the world to acquire unique fan experiences. In addition to accessing special membership services, the LFE Token holders will have priority access to enter the LFE Exchange for member-oriented services and offers. The London Football Exchange, is the world’s first ever football club stock exchange that shall be regulated in the UK and EU. LFE will allow fans, traders and investors to acquire shares in their favourite football clubs globally.",LFE,1st May 2018,4th Aug 2018,https://lfe.com,UK,https://lfe.com/LFE_Whitepaper_2.0.pdf
UK,,mediex,6.310741,"Mediex aims to become the leading digital solution for Medical Instrument development Industry. To achieve this, we're building an advanced ecosystem that combines manufacturing with, clinics, hospitals, Marketplaces, etc. Mediex is developed to support medical instrument manufacturers. Its use allows patient data to be decentralized and freely accessed at scale.",MDX,16th Jan 2018,26th Aug 2018,https://www.mediex.co,UK,
UK,,officium,,"Officium is global project, which tries to simplify interaction between sellers (service providers/freelancers/vendors) and buyers (purchasers) on the internet. This interaction will take place at Officium platform, created and intended for all freelancers and sellers worldwide. Officium platform represents decentralized ecosystem where users can offer their services at the global level.",OFC,1st Jul 2018,25th Aug 2018,https://officium.cc,UK,https://officium.cc/wp-content/uploads/2018/06/whitepaper.pdf
UK,,playingcrypto,,"We offer a powerful gaming platform that will be easily integrated by game content providers via an API (application programming interface). We are working on a PLYC token that will serve the entire system. Players will use the PLYC tokens for placing their bets while the partners will be able to buy the PLYC tokens on the exchange or use the PLYC tokens purchased during the ICO. The partners will independently assign the value of the PLYC token for the players.",PLYC,30th Jul 2018,30th Aug 2018,https://playingcrypto.net,UK,https://playingcrypto.net/Whitepaper_PLYC.pdf
UK,,token changer,,"Token Changer is a multi-blockchain platform for financial products and services. We design, build and host a wide variety of financial DApps. From simple token trading DApps to complex financial applications. The market for financial products and services is one of the biggest markets that make up the global economy. The blockchain will have a huge impact in the way we produce and consume financial services and Token Changer is well positioned to take advantage of this change. We are building a secure financial products and services platform that is user friendly enough for anyone to use. That is why our DApps are accessible using a web browser. And there are no passwords required for login, since the DApps live 100% on the blockchain thereby utilising the full security features of blockchain technology. We started working on the Token Changer platform in January, 2017 and today the platform is 90% complete. We have DApps running on the ethereum mainnet and testnets.",TOC,21st Jun 2018,21st Aug 2018,http://tokenchanger.io,UK,https://medium.com/tokenchanger/papers/home
UK,,zeroedge.bet,,"ZeroEdge.Bet is a unique blockchain based gambling platform offering players 0% house edge casino games, commission-less sports betting exchange and an open-source platform for parties who wish to build and operate their own games on the ZeroEdge network.",Zerocoin/ ZERO,15th Apr 2018,1st Aug 2018,https://tokensale.zeroedge.bet,UK,https://tokensale.zeroedge.bet/wp-content/uploads/sites/2/2018/03/full_whitepaper_final2.0.pdf
USA,,27v,,"27v is Aiming to fix the broken restaurant review industry. Rewarding foodies for their opinions & bridging the gap between customer-business, with a trusted platform.",27v,8th May 2018,6th Aug 2018,https://27v.io,USA,https://27v.io/files/27v_Inc_PPM_2018_1.2.pdf
USA,,cache,0.5,"Cache is a cryptocurrency and series of projects aimed at empowering developers, startups, and products to easily adopt powerful blockchain features such as assets, tokens, decentralization, identity management, and more. Our goal is to make blockchain accessible and usable to existing developers, platforms and end users throughout the world. In short, we believe that in order to have a more decentralized world that we need to make development, tools, and user experience surrounding blockchain an easy choice. The Cache token sale is designed completely around empowering developers and businesses to utilize blockchain. While other tokens are great at generating hype, Cache will be focused with onboarding developers, businesses, websites, and companies.",CHE,26th Jul 2018,31st Aug 2018,https://getcache.io,USA,https://s3.amazonaws.com/getcache/docs/Official_Cache_White_Paper_USA.pdf
USA,,codex,,"Codex is the leading decentralized asset registry for the $2 trillion arts & collectibles (“A&C”) ecosystem, which includes art, fine wine, collectible cars, antiques, decorative arts, coins, watches, jewelry, and more. Powered by the CodexCoin native token, the Codex Protocol is open source, allowing third-party players in the A&C ecosystem to build applications and utilize the registry. These applications, built with Codex’s partners, will make buying, selling, insurance, asset-backed loans and shipping and logistics easier for everyone. Codex’s first application, Biddable, is a title-escrow system built on the Codex Protocol, which solves long-standing challenges in auctions: non-performing bidders, lack of privacy, and bidder access. It is already live with the Codex Consortium, a group of major stakeholders in the A&C space who facilitate over $6 Billion in sales to millions of bidders across tens of thousands of auctions from 5,000 auction houses in over 50 countries.",CODX,24th Jul 2018,12th Aug 2018,https://codexprotocol.com,USA,https://docsend.com/view/iq4amj7
USA,,commitgood,,"Charitable giving in a transparent manner utilizing blockchain technology. Specific transactions can be rewarded with GOOD tokens to create a reward-based economy. Promote and recognise charitable organizations in your area and on a global scale. Hyper-local buying and selling of goods with a portion of each sale going to your favorite charity. Charities can receive donations directly or create fundraising campaigns for worthy causes. Earn GOOD tokens by making deliveries on behalf of local charities.",GOOD,4th Jun 2018,15th Aug 2018,https://commitgood.com,USA,https://commitgood.com/docs/commit-good-white-paper.pdf
USA,,decentralized news network,,"DNN, or Decentralized News Network, is a news platform, combining news creation with decentralized networks to deliver factual content, curated by the community.",DNN,25th Jul 2018,22nd Aug 2018,https://dnn.media,USA,https://dnn.media/whitepaper
