cat1,cat2,name,raised,desc,ticker,start,end,www
estonia,,ai opinion,,"The technology designed by AI Opinion will be able to determine the type of nosology on any medical scan or image. The mission of the AI OPINION project is to provide people with affordable high quality diagnostic services worldwide that will lead to a significant increase in the number of people saved.AI OPINION will create an opened infrastructure that can be used by medical institutions, patients, and developers to upload new data and add new algorithms that will allow a continuous development and improvement of the system.",AIOP,1st Jul 2018,31st Aug 2018,http://aiopinion.org,Estonia,http://aiopinion.org/static/webapp/documents/AI-Opinion-White-Paper.36e1a3dc68b1.pdf,,,,,,
estonia,,alt planet,,Alt Planet provides a simple design that makes it easier for users to trade and a wide variety of markets that allow you to trade various coins. We provide an optimal trading system tailored to the user's eye level.,APL,23rd Jul 2018,19th Aug 2018,https://altplanet.io,Estonia,https://drive.google.com/file/d/1NqdlkCeqHxBEAKklrZnUjSQRi1OCgCFR/view,,,,,,
estonia,,cvproof,,"CVproof.com is using blockchain technology to enable authentication of CV credentials. In other words, career credentials (assessments, medical records, training certificates, university diplomas) from any industry and from any country can be digitally validated and authenticated in a seamless process. A true game changer for heavily regulated and training oriented industries, such as aviation, healthcare and education. Our core business will enable CVproof mid-term to provide other related services such as sourcing, job posting and networking. CVproof will offer a business model that rewards stakeholders, such through a revenue sharing mechanism. We designed a genuine ecosystem enabling users to access, create and offer services for which they will pay and/or receive a remuneration in tokens.",INK Token,1st Aug 2018,30th Aug 2018,https://www.cvproof.com,Estonia,https://drive.google.com/file/d/1EBAeQyxSGc645uL_2mrFYD0Ix0tM_byC/view,,,,,,
estonia,,ecoinomic,47,"We consider cryptocurrency as a new perspective type of collateral that can change the market for secured loans tremendously. An important shift in the lending practices supports the growth of the crypto world beyond the limitations, providing individuals with increased purchasing power given by crypto backed loans. Institutional investors and family offices are always interested in new low-risk instruments with high profitability. And crypto owners wish to benefit from their digital assets and preserve them for the long term hoping to gain more value. The smart contracts on the eCoinomic.net platform will solve these needs. Crypto owners will get an opportunity to obtain fiat loans using digital assets as collateral. Institutional investors and family offices will explore a new mortgage market by issuing fiat loans to crypto community. 81% of the funds gathered during the Token Sale will be used to form the Reserve.",CNC,1st May 2018,24th Aug 2018,https://ecoinomic.net,Estonia,https://ecoinomic.net/docs/WP,,,,,,
estonia,,hyperion fund,,"Decentralized energy supply platform which helps households and businesses to acquire energy directly from Hyperion Foundation`s affiliated and non-affiliated partners at fixed prices. Obligations of Hyperion Foundation are backed by Hyperion Assets Management OÜ, a solar power investment company that finances and manages construction of solar production facilities around the world, with a particular focus on high-return emerging markets.",HT,15th Jul 2018,31st Aug 2018,https://hyperion.fund,Estonia,https://hyperion.fund/Hyperion_WP.pdf,,,,,,
estonia,,inscoin for knox project,,"InsCoin for Knox Project"" aims to establish the first insurance company that will accept a Crypto (INSC) for the payment of insurance premiums", and the first that, with the help of the blockchain, will solve the problem of falsification of insurance policies. The KNOX project will be the first insurance company that merges the real world with the digital one using Blockchain technology, creating the most efficient and advanced structure in the sector, to find a solution to the problem of certification and anti-forgery of insurance policies. It will be the first ever to emit insurance policies both in smart-contract and traditional paper form. With the smart contract the spread of false insurance policies is avoided because it is the same system that issues them after receiving the payment. With the smart contract the company won't have delay in collecting credits," as the policy is issued only after receiving the payment.""",INSC,23rd Jul 2018,30th Aug 2018,https://inscoin.co,Estonia,https://inscoin.co/#whitepaper
estonia,,ivin,,IViN is a Social network with virtual reality function. The social network IViN will be used a decentralized payment system that uses the same name unit for accounting operations and the same name data transfer Protocol. Cryptographic methods are used to ensure the functioning and protection of the system.,IViN,1st Jul 2018,15th Aug 2018,https://ivinworld.com,Estonia,https://ivinworld.com/white-paper-2/,,,,,,
estonia,,mbys,,"The MBYS platform will serve as a decentralized online professional network, and the MESH token protocol will automate the retrieval of and create the market for professional data, such as education and work history, therefore eliminating the B2B model of online recruiting by enabling consumers to directly sell their talent data to employers.",MESH,5th Jul 2018,15th Aug 2018,https://mbys.io,Estonia,http://mbys.io/docs/MBYS_Whitepaper.pdf,,,,,,
estonia,,neuromachine,1.65,"NRM platform providing ultimate possibilities for managing your crypto assets and exchanging information about the world of cryptocurrency between trusted sources. User-friendly interface with artificial intelligence based on neural networks allows you to enter a new level of crypto interactions. Our benefits: - An internal NRM store that will enable independent developers to monetize their own modules using our developer tools, for combined B2C & B2B ecosystem. - Rating system for information verification - NRM Assistant - artificial intelligence based on neural networks, built using the latest algorithms of self-learning, analysis, and comparison of self-self-corrected neurons. - Crypto Wiki - the convenient knowledge base based on blockchain technology, where everyone can get any crypto information he needs. - Trading Tools - a set of convenient tools for tracking and managing your crypto assets, allowing traders to save up to 90% of time.",NRM,31st Jul 2018,31st Aug 2018,https://nrm.cash,Estonia,https://nrm.cash/white,,,,,,
estonia,,nordcoin mining,,"Cryptocurrencies, smart contracts and other blockchain technologies are experiencing a rapid surge in popularity. With a major share of the blockchain infrastructure today dependent on consensus protocols based on proof-of-work (PoW), an efficient and intelligent crypto-mining operation is well positioned to take advantage of the ongoing expansion. NordCoin Mining OÜ is based in the IT-friendly Estonia with operations foreseen across the Nordics. The Mobile Mining Container (MMC) technology developed by NordCoin is a self-sufficientself-contained, remote controlled crypto-mining solution designed to overcome the three most significant variables affecting the profitability of crypto-mining: effective hash rate, cost of energy, and cost of space. In total, 30 MMC's will be activated, with an estimated net profit of $45,000 worth of crypto per month per container.",NRDC,16th Jul 2018,16th Aug 2018,https://www.nordcoinmining.com,Estonia,https://www.nordcoinmining.com/files/whitepaper.pdf,,,,,,
