cat1,cat2,name,raised,desc,ticker,start,end,www,whitepaper,reason,lifetime,author,link
germany,,casagram,,"Casagram is a social network app combined with a messenger that meets all functions of current messengers and includes additional features such as multi-videoconference or a payment function. Furthermore, the user has a news wall, which keeps him up to date of latest trends and news from any area like sports, technology, lifestyle, politics, gaming etc. The friends list looks like a street map of your neighborhood, consisting of your friends, family and contacts. Another feature is the blackboard, where the user and his friends can share articles from the trend feed or their own personal feed.",CAC,15th Nov 2017,15th Dec 2017,http://www.casagram.net,,Failed ICO, 2017-2018, Jakob Pischeltsrieder, https://www.coinopsy.com/dead-coins/casagram/
switzerland,,santiment,12.21525,"Today’s crypto-markets are driven by crowd sentiment. Hype and fear dominate the price action. Santiment delivers clarity, with market sentiment content and datafeeds that can’t be found anywhere else. Stop trading in the dark. Get a regular stream of curated market news and insights, with updates on blockchain happenings, trends, and sentiment. All available in easy-to-grasp newsletters, articles, and reports, and aggregated from across the web.",SAN,4th Jul 2017,5th Jul 2017,https://santiment.net,,Swapped ICO, 2017-Swap, Francis Dierick, https://www.coinopsy.com/dead-coins/san-coin/
russia,,zrcoin,7.0,"ZrCoin is the first ever blockchain option for investing in the production of an in-demand industrial material.",ZRC,11th May 2017,9th Jun 2017,https://zrcoin.io,,Abandoned Coin, 2015-2017, Bob Wilkins, https://www.coinopsy.com/dead-coins/ziftrcoin/
russia,,dentalfix,,"The blockchain is becoming the new standard for trust and verification of data. We’re building towards a blockchain network for the global community of companies that take part in the continuum of healthcare. Blockchain technology addresses the trade-off between personalized care and operational costs by connecting the ecosystem to universal infrastructure. Shared infrastructure allows us to create global standards without compromising privacy and security.",DFBT,13th Aug 2017,13th Sep 2017,http://www.che-ss.com,Russia,https://drive.google.com/file/d/0B2-rqxQ4OfPEV3FkYjNON3lYX3M/view,Failed ICO, 2017-2017, Sergey Safronov, https://www.coinopsy.com/dead-coins/Dentalfix/
USA,,presearch,16.0,"Presearch is an open, decentralized search engine that rewards community members with Presearch Tokens for their usage, contribution to, and promotion of the platform. In a world where one company controls 77% of all searches, influencing trillions of dollars in spending, shaping perceptions and effectively acting as the primary gatekeeper to the Internet, a new, open and community-driven search engine is a necessity. Presearch has an innovative go-to-market strategy to target the most frequent searchers - web workers - and gain early adoption, on our way to releasing future versions of the open source platform that will utilize a blockchain-based index, curated by the community.",PST,25th Jul 2017,31st Oct 2017,https://www.presearch.io,,Failed ICO, 2017-2017, Randolph Foston, https://www.coinopsy.com/dead-coins/planes-cloud/
russia,,beone,,"Online education market accounts for about $165 bln. Even with a market share of 0.1%, you can make a whopping $165 mln. a year! By using raised funds, we'll be able to gain a foothold in the market, attract high-quality traffic, develop our online platform and mobile apps for iOS and Android, and attract top instructors from other platforms. At least 50% of funds will be spent on marketing. The biggest part of the money will be used to attract traffic through target ads on social media, CPA networks, and Google Adwords.",B1,7th Sep 2017,7th Oct 2017,https://be-one.co,,Failed ICO, 2017-2017, Alexey Goncharenko, https://www.coinopsy.com/dead-coins/be-one/
singapore,,latoken,20.0,"LAToken is a blockchain protocol and platform for creating and trading asset tokens. It allows cryptoholders to diversify their portfolio by getting access to tokens linked to the price of real assets. LAToken enables asset owners to unlock the value of assets by creating and selling their asset tokens. LAToken is a #1 asset tokenization project by market cap with more than $16 million raised from 9000+ cryptoholders. Platform is already operational: it allows trading tokenized shares of Apple, Tesla, Google and other blue chips, as well as gold, oil and real estate ETFs via crypto. Meanwhile, LAT is about to be listed on 4 major crypto exchanges. LAT Crypto Research team of 4 McKinsey and Deutsche Bank alumni forecasts the project to tokenize and trade assets worth $1.2 tn by 2025, while the value of assets tokenized globally is expected to reach $5 tn. LAT Token Sale allows crypto community to accelerate bridging of real and crypto economies. Join Token Sale now to get your bonus.",LAT,22nd Aug 2017,10th Oct 2017,https://latoken.com_listing,,Dead - 2.0, 14-15 17-current, David Johnson, https://www.coinopsy.com/dead-coins/latium/
russia,,truedonate,,"TrueDonate is a decentralized ecosystem, it allows social entrepreneurs, community groups, non-profit organizations and individuals to share social ideas, create projects and gather funds.",TDN,1st Dec 2017,15th Jan 2018,https://truedonate.io,,Failed ICO, 2017-2018, Roman Sirota, https://www.coinopsy.com/dead-coins/truedonate/
malta,,gimli,1.702589,"Gimli is a revolutionary way of experiencing live eSport streaming. Engage in bets, challenges and surveys with your streamers using digital tokens. Gimli is an eSports application made by eSport fans for eSports fans. Streamers benefit from Gimli's enhanced engagement for their streams and their audience. Gimli reaches millions of viewers all over the world.",GIM,16th Sep 2017,20th Oct 2017,https://gimli.io,No Volume, 2017-Current, Daniel Armstrong, https://www.coinopsy.com/dead-coins/gimli/
USA,,bankex,70.6,"BANKEX is building a new blockchain technology that enables the creation of Smart Assets, which is the beginning of developing a new generation of decentralized capital markets.. The company devises the Internet of Assets (IoA) — the online platform that allow tokenizing real assets. It works on the principles of Bank-as-a-Service (BaaS) by implementing Internet of Things (IoT) and Artificial Intelligence (AI) technologies to monitor conditions of the assets and keep track of the asset evaluation proces .",BKX,28th Nov 2017,28th Dec 2017,https://bankex.com,,Limited exchanges/volume, 2017-2018, John Cruz, https://www.coinopsy.com/dead-coins/ankorus/
USA,,latium,51.5788,"The Latium platform is a paradigm shift in decentralized economics that can bring about real change in the way humans work, interact and earn money. Latium provides the opportunity for users to easily earn income by completing tasks, while other users have tasks completed for them in a uniquely trustless system.",LATX,28th Nov 2017,28th Dec 2017,https://latium.org,,Dead - 2.0, 14-15 17-current, David Johnson, https://www.coinopsy.com/dead-coins/latium/
russia,,nimfamoney,0.152515,"The world’s first 100% decentralized cryptocurrency lending platform for token purchase on exchanges and ICOs for maximizing your personal profit.",NIMFA,29th Aug 2017,30th Sep 2017,https://nimfamoney.io,Dormant,, 2017-2018, Max Tarasenko, https://www.coinopsy.com/dead-coins/nimfamoney/
UK,,ankorus,,"The advent of blockchain technology allows for the creation of asset-backed tokens, where each token can be pegged to the value of a corresponding security held in reserve. Blockchain technology also enables the transcending of old geographical barriers to entry. Tokens can be traded online from anywhere, quickly and cheaply, and can be sold as fractionalised assets, further lowering financial barriers to entry. Ankorus will establish an online exchange populated by any financial assets currently available worldwide. Various auditing measures will be taken to establish transparency, and customers will be able to validate that tokenised assets are fully backed and held by Ankorus. Ankorus prioritises responsive customer care as a core value.",ANK,25th Nov 2017,25th Dec 2017,http://ankorus.org/,,Limited exchanges/volume, 2017-2018, John Cruz, https://www.coinopsy.com/dead-coins/ankorus/
Cayman-Islands,,digital developers fund,2.0,"DDF offers investors an opportunity to participate in high growth digital assets such as domain names and crypto currency. The roots of the DDF go back to 2010, when DDF was incorporated as “Domain Developers Fund” in the Cayman Island. DDF holds over 1,350 premium domains such as Swords.com, Audits.com, Exhibitions.com or PR.uk. In 2017, the fund rebrands to “Digital Developers Fund” and raises funds via an ICO to expand its asset allocation.",DDF,10th Jul 2017,9th Aug 2017,https://www.digitaldevelopersfund.com,,Pump and Dump, 2017-2018, Unknown , https://www.coinopsy.com/dead-coins/digitaldevelopersfund/
australia,,ventana,,"At Veredictum, we are committed to solving film piracy and video theft, with our objective to “Reduce film and video piracy by 80% within 10 years.” It’s an ambitious project, but the way in which we are approaching the problem is different. We are not approaching the problem with “Whack-a-Mole” style that you see at the fairgrounds. Instead, we are attacking the drivers that actually cause piracy and theft in the first place. Whilst piracy and theft is very complex issues, they can be distilled down into two core elements: not being able to get access to content, when you want it, how you want, at a price point that is fair and reasonable and also because there aren’t enough deterrents in place.",VENTANA,14th Aug 2017,11th Sep 2017,https://www.veredictum.io,https://daks2k3a4ib2z.cloudfront.net/593a3e0b6656a74fefc5f6f9/59774f24f5d79661a4f7a2c7_veredictum-whitepaper-intro-v0-9-4-20170725.pdf,Failed ICO, 2017-2017, Tim Lea, https://www.coinopsy.com/dead-coins/veredictum/
cat1,cat2,name,raised,desc,ticker,start,end,www
cat1,cat2,name,raised,desc,ticker,start,end,www
cat1,cat2,name,raised,desc,ticker,start,end,www
cat1,cat2,name,raised,desc,ticker,start,end,www
cat1,cat2,name,raised,desc,ticker,start,end,www
cat1,cat2,name,raised,desc,ticker,start,end,www
