cat1,cat2,name,raised,desc,ticker,start,end,www,whitepaper,reason,lifetime,author,link
russia,,beeqb,2.2,"We develop BeeQB - a universal platform for managing the business of trade in goods and services, based on the technology of blockchain and smart contracts. Our service will allow companies around the world, with minimal costs and expenses, to legally accept the crypto currency for payment for their goods and services. And all this in one click. The technology of blockchain will ensure 100% safety and will become a universal link in the trade between companies from around the world. The main currency of a free market economy will be a BEE.",BEE,29th Nov 2017,29th Dec 2017,http://beeqb.com/ico,,Failed ICO, 2017-2018, Hamir Modhwadia, https://www.coinopsy.com/dead-coins/beesocials/
singapore,,oneroot,,"Concept and applications based on the blockchain technology are disrupting and transforming the traditional economy and will eventually form a new comprehensive and efficient system. ONEROOT aims to make use of the immutability, transparency and traceability of blockchain while embracing values of decentralization and shared economy to build a network of value that better fits with the characteristics of distributed network and tokenization of assets. Upholding the ideals of sharing and co-operation, our team provides infrastructures for digital assets and co-builds an ecosystem in conformity with characteristics of decentralization, fastening this migration of value.",RNT,5th Dec 2017,4th Jan 2018,https://www.oneroot.io/en,,Scam ICO, 2017-2017, Ursula Ruiz, https://www.coinopsy.com/dead-coins/hagglin/
USA,,coinlion,7.0,"CoinLion is the industry solution for managing the complex jungle of trading digital assets. We believe trading digital currency should be a rewarding process. CoinLion empowers investors of digital currencies to exchange and trade under one portfolio management platform while providing market research and analytics to enable the execution of smart, controlled and disciplined trading strategies. CoinLion users can earn LION in the form of many community incentives, and for sharing portfolios, research, and strategies with users. In a rapidly expanding market with no simple solution, CoinLion users enjoy access to a dedicated customer service team devoted to answering your questions and keeping up with evolving regulatory and compliant standards. You buy and sell digital currency, CoinLion does the rest.",LION,18th Dec 2017,25th Feb 2018,https://coinlion.com,,Failed ICO, 2017-2018, Max Elistratov, https://www.coinopsy.com/dead-coins/4lions/
australia,,folio.ninja,,"We are building a platform that has API Integrations with crypto Marketplaces and Exchanges around the world; providing the ability to deploy Automated Trading Bots; giving users access to trade-data based on other user's Social Trading metrics; presenting Arbitrage Trading opportunities across multiple exchanges and gaining trading insights with Machine Learning and AI Analysis on historical data trends.",FLN,9th Sep 2017,9th Oct 2017,,Australia,,Failed ICO, 2017-2017, Scott Donald, https://www.coinopsy.com/dead-coins/folio-ninja/
israel,,coindash,7.0,"CoinDash is a crypto based portfolio management platform for both new and experienced traders. The platform provide its user with adequate tools to manage and maximise their portfolios.The first layer of the platform is tools for managing and analysing users performances in relation to the market and other traders. The platform takes the user's public key (address) and traces back all the transactions he made attaching them with real time price quotes ending up showing clean output of his holding and trades with a feedback about his trading results.The second layer of the platform is Social trading features. Users can follow others to see their position, trades and holding and even use Copy trading and Copy ICO tools using smart contracts.The third and last layer is making CoinDash a whole marketplace for secondary markets.The CoinDash platform is now being tested by 50 beta testers from its community and is about to release a public beta before the token sale.",CDT,17th Jul 2017,17th Aug 2017,https://www.coindash.io,Israel,https://www.coindash.io/wp-content/uploads/2017/05/CoinDashwhitepaper-v0.3-051317.pdf,Failed ICO/Abandonment , 2017-2018, Dmitry Zolkevic, https://www.coinopsy.com/dead-coins/cryder/
russia,,ahoolee,,"Ahoolee compares prices in online stores using a decentralized platform for collecting and indexing information from open sources with confirmation of authenticity based on the blockchain technology.",AHT,28th Aug 2017,11th Sep 2017,http://ahoolee.io,,Failed/Scam ICO, 2017-2018, Sergey Ryabov, https://www.coinopsy.com/dead-coins/ahoolee/
russia,,payfair,0.182919,"A decentralized escrow platform for making cryptocurrency transactions between two parties. It is ensured with PAYFAIR tokens (PFR) based on Ethereum blockchain Low fees for making a transaction, its safety and privacy Saving time when making a transaction, no third parties or bureaucracy.",PFR,1st Nov 2017,30th Nov 2017,https://payfair.io,,Crashed 2014, 2014-2016, Anthony Surganov, https://www.coinopsy.com/dead-coins/aircoin/
UK,,bitrent,14.62721,"BitRent platform enables every individual on Earth invest and own any commercial and residential property item. We make buying hotels, businesses and shopping centers affordable to everyone.",RNTB,1st Dec 2017,31st Mar 2018,http://bitrent.io/,,Scam ICO, 2017-2017, Ursula Ruiz, https://www.coinopsy.com/dead-coins/hagglin/
israel,,spheris,,"Spheris is grounded in the idea of decentralized application acquisition. An ecosystem where software developers have a direct gateway to reach new markets of consumers, with the ability to provide diverse ways of value exchange, securely and anonymously. Spheris aims to be the missing link between developers and consumers who are interested in purchasing or leasing software. Embracing decentralization will break the convention of having the need for third-party entities who collect fees on transactions. Removal of corporate entities, such as credit card companies and banks, becomes possible coincidentally with maintaining core interests of both developers and consumers.",SPRS,19th Sep 2017,19th Oct 2017,https://spheris.io,Israel,https://spheris.io/spheris_whitepaper.pdf,Failed ICO, 2017-2017, Unknown , https://www.coinopsy.com/dead-coins/spheris/
USA,,airtoken,15.0,"AirFox’s vision is to make the mobile internet more affordable and accessible and the biggest limitation for our customers is access to capital. AirFox is positioned to create mobile capital for advertisers, users, and carriers using the blockchain. AirFox uses advertising and micro-loans on the blockchain to unlock unrealized mobile capital through a new cryptocurrency - The AirToken (“AIR”). AIR technology harnesses the decentralized power of the Ethereum blockchain using a digital ledger of the user’s mobile phone data as well as advertising and proprietary “credit-score” algorithms to reward and finance users with AIR. AIR are redeemable for mobile data, and, eventually, physical and digital goods. AIR monetizes the user’s smartphone by rewarding and financing the user for attention and good behavior while expanding the pie for the entire ecosystem that wants to further maximize on this audience (carriers, publishers, and advertisers).",AIR,19th Sep 2017,19th Oct 2017,https://www.airtoken.com,,Crashed 2014, 2014-2016, Anthony Surganov, https://www.coinopsy.com/dead-coins/aircoin/
