cat1,cat2,name,raised,desc,ticker,start,end,www,,,,,,,,
Artificial Intelligence,,smarthealthcare,,SmartHealthcareToday is the first person-centric decentralized healthcare eco-system integrating and processing health related data collected from different data sources. What is the problem? Currently people usually visit doctors when they already have problems with their health. Hospitals also face different problems such as lack of resources and information about patients. Our solution. We provide dynamic integration process for healthcare data collected directly from person (Peronal Health Records) and differnet hospitals (Electronic Health Records). Data collection is followed by data processing in the context of cross-organizational porcessses with the help of Ethereum smart contracts. Person has a better overview about his current health status and can easily send collected data for anonimous analysis performed by AI that results in different notifications. Also we connect doctors to create personalized guidelines for individuals. Stakeholders interested in anonimous medical data for researches are also part of the eco system and can buy data directly from the individuals. SHT tokens are based on the Ethereum blockchain and are used as internal currency in the eco-system.,SHC,12th Feb 2018,13th Mar 2018,https://smarthealthcare.today,,,,,,,,
Artificial Intelligence,,srt,,"Smart Refinery Technologies Group, the developer of innovative technical solutions and equipment for the production of automobile fuels is creating the world's first blockchain platform for the oil refining industry. Smart Refinery Technologies is an all-up business process support platform, from production to selling fuel to consumers: Eco-friendly EURO-5 class fuel production management based on manufacturing modules of SRT Group. Trading based on decentralised fuel exchange with smart contracts-based payments. Pay fuel with cryptocurrency - fuel cards with cryptocurrency wallets integration gives an opportunity to pay fuel at petrol stations with cryptocurrency.",SRT,25th Sep 2018,25th Sep 2019,http://srtcoin.io/en,Estonia,https://srtcoin.io/docs/en/wp.pdf
Artificial Intelligence,,triggmine,0.48352,Triggmine is a decentralized platform for marketing automation. It is aimed to eliminate the main paint points for small and medium-sized businesses in eCommerce - lack of expertise and lack of resources. Triggmine creates a new generation of marketing with the self-adjustable intelligent system and payment for real user action. On the top of the platform there is an AI-powered personal assistant that helps businesses perform better with no manual intervention.,TRG,20th Sep 2018,20th Oct 2018,https://triggmine.io,Estonia,https://docs.triggmine.io/Whitepaper.pdf?_ga=2.188977835.1417945720.1522915639-1766826355.1522680262,,,,,,
Artificial Intelligence,,virtual rehab,,"Virtual Rehab's evidence-based solution leverages the advancements in virtual reality, artificial intelligence, and blockchain technologies for psychological rehabilitation of vulnerable populations (pain management, prevention of substance use disorders, enhancement of autistic individuals’ communication skills, and rehabilitation of repeat offenders). Established back in 2017, Virtual Rehab was first to commercialize the use of VR and AI for addiction and correctional rehabilitation. Virtual Rehab is regarded as an undisputed market leader within the sector in which it operates. The team has received global awards and recognition from the US and the Canadian governments, the United Nations, The Wall Street Journal, Microsoft, and others.",VRH,2nd Oct 2019,12th Oct 2019,https://www.virtualrehab.co,Estonia,https://www.virtualrehab.co/vr-new-uploads/White%20Paper.pdf
Artificial Intelligence,,yanu,1.1305,"YANU serves beverages, handles payments, identifies and communicates with clients. Yes, you can pay for your beverage with our token. We're doing an ICO to raise funds for building Yanu units and make it possible to place them to all major transportation hubs, entertainment and sports venues. With a ready prototype and a strong team behind it, we're confident that Yanu will be the first of its kind.",YANU,11th Nov 2018,12th Dec 2018,https://yanu.ai/ico,Estonia,http://yanu.io/wp,,,,,,
Banking,,able,,"The ABLE project will create a platform that enables cryptocurrency-based banking activities to center around the ABLE account, emanating from the fact that banking activities are carried out primarily through bank accounts. Users propose deposit and loan interest rates through a matching system, eliminating the lending-deposit spread by directly connecting users on a peer-to-peer basis. The ABLE project supports decentralized exchanges and provides decentralized cryptocurrency wealth management services through smart contracts. Ultimately the project aims to evolve into the ABLE Ecosystem through its integration with external systems, including simple payments.",ABLE,16th Jul 2018,10th Aug 2018,https://www.able-project.io,Estonia,https://www.able-project.io/data/AB_whitePaper_Eng_180502.pdf,,,,,,
Banking,,bitozz,5.1,"BITOZZ is creating a completely new ecosystem, built to facilitate a crypto derivative market where traders have access to a variety of trading and investment instruments, enabling a highly liberating, strategic, low-risk and seamless trading experience. With its array of derivative instruments, BITOZZ offers its users the freedom to hedge, speculate and diversify their portfolio. Traders of all styles and grade will find a product of their interest and a platform that not only simplifies their experience but also let them maintain a high degree of control over customising that experience. By expanding these choices for our customers, the ecosystem will aid in deciding which strategy is the most suitable for investing and trading their assets. Advanced order types like bracket order, cover order, trailing stop loss for spot markets. No lending cost for perpetual futures for all alt coins listed on bitozz platform. 22 ready to use options strategy.",BOZZ,16th Oct 2018,1st Feb 2019,https://bitozz.com/home,Estonia,https://bitozz.com/pdf/Bitozz_Exchange_White_Paper.pdf
Banking,,btccredit,0.5,"The next gen crypto banking solution, a Blockchain based P2P lending solution.",BTCC,29th Nov 2019,3rd Dec 2019,https://btccredit.io,Estonia,https://btccredit.io/pdf/btccredit_whitepaper.pdf
Banking,,cointorox,1.141595,"Cointorox is a digital piggy-bank allowing users to easily jump into the world of cryptocurrencies. Whenever a user purchases the ‘Savings Packages’ on a monthly basis or as a one-off payment, their savings are automatically converted and stored as cryptocurrencies. Users can request to withdraw their savings in USD or coins (exported as wallet private keys).",OROX,15th Nov 2018,13th Jan 2019,https://cointorox.com/team,Estonia,https://cointorox.com/whitepaper/
Banking,,crypterium,51.656963,Revolutionary digital cryptobank with credit token and open platform. We are making project for people who want to use cryptocurrency like simple fiat.,CRPT,31st Oct 2017,14th Jan 2018,https://crypterium.io,,,,,,,,
