cat1,cat2,name,raised,desc,ticker,start,end,www,,,,,,,,
Business services,,leopays,0.03,"We are creating a social business network to simplify the work of Internet entrepreneurs, bloggers and regular users who want to make money on what they have been previously doing for free: socializing with friends in social networks, leaving likes, posting, reposting, writing blogs and other activities. The idea of the platform arose in 2015. 2016 saw the launch of the beta version. In June 2018 we launched the updated social network. Upon completion of PRE-ICO we will begin transferring all our developments into a crypto plane The launch of the token defines the need to popularize the social network, attract users from different countries, reduce transactions within the network to 0%. The release of the token will allow the operation to be independent of the payment services. It will attract funds for increased security, emergence of the new and useful features as well as the stable operation of the social network. All transactions within the platform are conducted only in tokens. Each token can be exchanged for services that are already presented on the platform. We launched a unique feature of “Social Mining” that will allow any user to obtain tokens. Due to this feature, we are planning to reach 500,000 unique users per day in the first year of operation and get into the TOP-50 of all sites on the Internet in the first 2-3 years after the completion of the ICO.",LPC Token,16th Sep 2018,11th Nov 2018,https://leopays.com/ico,Estonia,https://leopays.com/wp-en.pdf,,,,,,
Business services,,lexit,4,"LEXIT is the first online marketplace that allows entrepreneurs to trade IP, copyrights, code, and even sell entire startups. LEXIT streamlines Mergers & Acquisitions through a blockchain-based tokenization model and the disintermediation of appraisement and matchmaking services. Selling or buying tech assets in LEXIT is as simple as purchasing a car or real estate. The LEXIT Solution allows for M&A processes to be concluded four times as fast, at about a quarter of the traditional costs. Entrepreneurs are empowered to discover the true value of their assets on a vibrant and highly liquid marketplace without having to bear overpriced prepayments.",LXT,19th Jun 2018,30th Sep 2018,https://www.lexit.co,Estonia,https://www.lexit.co/resources/whitepaper,,,,,,
Business services,,memority,,"Memority is the platform for a completely decentralized, ultra-secure storage of valuable data on the blockchain, which ensures the continued availability of several encrypted copies of data on unrelated storage locations around the world. Files are encrypted with a private key that only their owner has. Memority uses the same data protection technology as crypto wallets. Memority provides API for third-party developers. They can use its structure and decentralized storages for their own apps.",EMT,31st May 2018,1st Oct 2018,https://memority.io,Estonia,https://memority.io/docs/whitepaper_memority.pdf,,,,,,
Business services,,nobar,,"Forget fragmented marketplaces! NOBAR is creating the first-ever crypto commerce to provide a holistic solution to the purchasing problem with cryptocurrency and crypto token. Our two robust functions - Crypto Commerce and Shop-App will facilitate all possible commercial activities.",NBR,1st Mar 2019,30th Apr 2019,https://nobar.io,Estonia,https://nobar.io/data/nobar-whitepaper.pdf
Business services,,profede,,"Professionals should have control over who can receive their professional data and how others can use it. Our decentralized professional ecosystem helps you get compensated for your data, making intermediaries unnecessary. Profede is the next generation of professional data privacy. Thanks to blockchain, you can be sure your data is protected.",PATO,1st Jun 2018,15th Sep 2018,https://profede.com,Estonia,https://profede.com/profede-whitepaper,,,,,,
Business services,,r3s,,"R3Sec is a cyber security company that's set out to revolutionize the industry by robbing time from attackers. We would like to bring an economy back to the industry by making servers moving targets instead of sitting ducks. Moreover, we aim to create an ecosystem where you can exchange threat intelligence on a block chain, get rewarded for reporting vulnerabilities and would like to give peace of mind to all information security officers all over the globe.",R3S,3rd Apr 2018,30th Apr 2018,https://www.r3sec.com,Estonia,https://r3sec.com/download/r3sec_business.pdf,,,,,,
Business services,,securecryptopayments,12.0,"Secure Crypto Payments is a payment gateway for Enterprise eCommerce. Enterprise eCommerce software is a solution that is used by big companies that sell online to cover all their business needs. Adidas, BMW, Canon, Carter's, Columbia, etc. SecureCryptoPayments is a payment gateway main feature of which is quick and secure payments between buyers and merchants (individuals or companies) in a convenient for both parties way. We offer to merchants an opportunity to securely receive funds in fiat money. As for buyers, they will receive an opportunity to pay in cryptocurrency without using exchange offices or third-party services, which will save their time and money. Plus other benefits. We develop a payment processing system that you will be able to use on TOP eCommerce sites in order to pay for the things that you love. It is free from the limits of obsolete payment systems. Today we already offer more than other payment processing systems can do.",SEC,1st Apr 2019,1st Jun 2019,https://securecrypto.me,Estonia,https://securecrypto.me/files/whitepaper.pdf
Business services,,skyfchain,6.2,"SKYFT Token Goes Public onto the BitForex Exchange. BitForex Exchange has announced to start listing the SKYFT token on August 2018. BitForex is in TOP-7 (according to Coinmarketcap) and most well-known exchanges on the market with the daily turnover of several hundreds millions USD of crypto assets. The support of BitForex can help SKYFchain to outreach the large Chinese crypto community. This private blockchain system provides independent secure data-exchange and payment channels for a total support of robot - centric logistics. The SKYFChain Operating Platform will based on private blockhain. It will use ERC20 compatible protocol for SKYFT tokens and build payment channels for exchange transactions. SKYFchain is unique because it will be designed to exclude the human as an intermediary and it will have access to confirmed clients of the first industrial heavy duty cargo drone – the SKYF drone, which is already flying.",SKYFT,10th Mar 2018,15th Aug 2018,https://www.skyfchain.io,Estonia,https://fpivc.app.box.com/v/SKYFchainWhitePaper,,,,,,
Business services,,surrus,0.75,"SurruS project is an innovative solution in the insurance industry based on blockchain technology. Thanks to the use of this technology, we have been able to create a system that allows us to effectively search for and return the stolen car and ensure payment of compensation in case of failure. If the car is stolen, our system immediately receives a notification, and then activates the search algorithm that calculates the probable location of the car. All participants of the ecosystem of SurruS can see the alleged location of the missing car and join the search of a car together with our technicians. The user, who will be the first to detect the stolen car, will receive a reward, and the found car will be returned to its rightful owner. If for some reason we are unable to find the vehicle, its owner is guaranteed to receive 100% of its market value.",SURR,1st Jun 2018,1st Aug 2018,https://surrus.io,Estonia,https://surrus.io/Whitepaper_eng.pdf,,,,,,
Business services,,ultroneum,,Ultroneum is a Cashless Global Multi-Financial Services Mobile Gateway where it proposes cashless lifestyles where payments and transactions can be fulfilled using both supported cryptocurrencies and supported conventional currencies as interchangeable financial methods.,XUM,3rd Jul 2018,31st Dec 2018,https://ultroneum.com/crowdsale/referralcode/5fnhPl,Estonia,https://ultroneum.com/upload/WHITE_PAPER_V1.pdf,,,,,,
Casino & Gambling,,ace casino,,"WORLDWIDE BLOCK CHAIN-BASED GAMBLING PLATFORM DEVELOPED BY PLAYERS FOR PLAYERS Unlike all similar projects, our project is led by a team of managers with extensive experience in the field of gambling, whose main goal is to provide a pleasant and convenient user experience where the players control the house. Ace Casino addresses the global problem of gambling fraud by giving each player an opportunity to check and verify the casino’s algorithms. The main reasons to buy CASI: - A limited number of tokens with no additional issue after Token Sale. - All payments within the platform are made with CASI only, which will foster the token's growth. - The ever-growing market of online gambling.",CASI,1st Jan 2019,20th Jun 2019,http://acecasinochips.com,Estonia,https://acecasinochips.com/doc/Ace_whitepaer.pdf
Casino & Gambling,,allbebet,0.27981,"Allbebet is an infrastructure project in the sports and gaming industry. Designed to help achieve high results in sports using neural networks, machine learning algorithms, and blockchain. Allbebet development thrust is the creation of business models based on AI and blockchain technologies that unite millions of people from the sports, gaming and betting industry.",ALB,26th Aug 2019,27th Aug 2019,https://allbebet.io,Estonia,https://allbebet.io/docs/white_paper_eng.pdf
Casino & Gambling,,betterbetting,5.5,"BetterBetting is the revolutionary new decentralised sports betting marketplace introducing the BETR token - the betting crypto-currency that will establish truly decentralised sports betting on the internet. Providing a Global Betting Liquidity Pool, BETR is being built by gaming industry experts, for the industry. BETR will become the exclusive crypto-currency of some of the world's leading gaming operators.",BETR,15th Dec 2017,31st Jan 2018,http://betterbetting.org,,,,,,,,
Casino & Gambling,,cryptowarsou,,"CryptoWars is a unique multiplayer online strategy at the junction of gaming and gambling. The game algorithm, in which the victory depends only on the actions of the players, without any random game algorithms and pay2win mechanic, sets a new level on the online gambling market.",CWT Token,14th Jul 2019,29th Sep 2019,https://cryptowars-ou.com,Estonia,https://cryptowars-ou.com/static/docs/CryptoWarsOU_WHITEPAPER.pdf
Casino & Gambling,,hero,,"Our mission is to bring together emerging and existing influencers, professionals, brands, businesses and their audiences in a transparent and safe blockchain environment for making deals, agreements and interactions with people who use their goods and services.",HeroCoin,1st Jun 2018,15th Jul 2018,https://hero.org,,,,,,,,
Casino & Gambling,,tokenroll,6.0E-4,"TokenRoll solves the main issues of the both centralized online casino and decentralized online casino industry by building a decentralized protocol that every online gambler can access without having to interact with blockchain at all. The native token of the protocol, TKR, will help fund the project and the bankroll through the token sale. TKR tokens will be bought back automatically by each game’s bankroll through the internal exchange of the platform which will create steady demand. Supply of the TokenRoll token will be created the token generation sale event and through minting by gambling. There will be no more tokens issued. The demand will be created through the burn utility explained above.",TKR,30th Apr 2019,30th May 2019,https://tokenroll.io,Estonia,https://tokenroll.io/tokenroll-whitepaper.v4.pdf
Casino & Gambling,,winwincoin,,"WinWinCoin is a global association of gambling operators with their own WWC cryptocurrency. In addition, we offer a decentralized jackpot for all participants of WWC and the Winex crypto exchange where you can easily buy or sell WWC for any other cryptocurrency. WWC tokens will be distributed between gambling operators after which tens of millions of users will get them. Then, WWC Coin holders can sell and buy our currency on crypto exchanges including Winex. Mass distribution of the coin among the target audience and limited emission (200 million tokens) will create prerequisites for a permanent price increase.",WWC,15th Apr 2019,15th Sep 2019,https://winwincoin.io,Estonia,https://winwincoin.io/white-paper/white_paper_en.pdf
Charity,,clearaid,,"ClearAid is a digital platform that aims to connect the non-profit community through an easy-to-use interface which allows full transparency and traceability of donations made on the blockchain. The platform is supported by an ERC20 token, named CAID, which is based on the Ethereum blockchain and serves as the donation method of the ClearAid platform.",CAID,1st Nov 2018,1st May 2019,https://www.clearaid.org,Estonia,https://www.clearaid.org/assets/files/white-paper.pdf
Charity,,cryptassist,14.06,"The Cryptassist application will include features such as a multi-coin block explorer, a deflation model, a fully licensed exchange, a debit card and an AR game CryptoGo.",CTA,31st Jul 2018,29th Sep 2018,https://www.cryptassist.io,Estonia,https://www.cryptassist.io/assets/downloads/whitepaper.pdf,,,,,,
Charity,,red lanterns,,"The RL Service is a platform for community support and development, whose goal is to increase the overall level of sexual literacy around the world. Anyone who has installed the RL mobile application and registered as a User will be able to find a proven Expert or training content here tailored to their own individual sexual preferences. Specialists with unique skills and knowledge in the field of sexology, psychology, sexual relations and human physiology will be able to make themselves known as Experts and help other people to receive answers to their individual questions.",REDLcoin,1st Mar 2018,15th Apr 2018,http://ico.red-lanterns.com,,,,,,,,
Communication,,maester protocol,,"Maester protocol is the first of its kind blockchain based protocol built to enable on-demand consulting. It allows users to quickly search for skilled professionals, talk to them instantly and pay automatically based on their consultation time at virtually zero cost. While it enables professionals (or ‘Maesters’) to build their reputation and lets them easily monetize their following without having to worry about payments, frauds or identity thefts, it also saves millions of man-hours of knowledge seekers who can improve their work efficiency by consulting verified Maesters, on-demand.",MAP,15th Aug 2019,30th Sep 2019,https://www.maesterprotocol.com,Estonia,https://maesterprotocol.com/MaesterProtocol_Whitepaper_V1.0.pdf
Communication,,taylor,1.012863,"This is the last week of sales of the token TAY, that gives you FREE access to both Taylor Academy and Taylor Assitant - for 1,000 TAY. It has never been cheaper to buy TAY, considering the price in dollars. For 3,000 TAY, you get lifetime access to Taylor Premium. That is a bigger trading limit in the Assistant and premium influencer courses in the Academy. The video demonstrating the use of the Assistant App has just been published. Taylor Assistant is an easy-to-use cryptocurrency trading app where users can enter into automated trading opportunities and profit several times a day.",TAY,21st Feb 2018,22nd Mar 2018,https://smarttaylor.io,,,,,,,,
Communication,,treon,1.137,Treon is a new “Utilities Token that securely and seamlessly allow consumers around the world to easily manage and pay for their telecom, energy, and water usage. With a consolidated dashboard consumers will be updated on their consumption on one-screen, and with a one-click process will be able to pay their bills instantly with Treon tokens (TXO), other crypto," or fiat currencies. Paying with TXOs will reward consumers with loyalty points that can be redeemed for their preferred consumption units.""",TXO,18th Jun 2018,31st Dec 2018,https://www.treon.io,Estonia,https://www.treon.io/data/Treon-WhitePaper-v4-17-Jul-18,
Communication,,uzyth ecosystem,,"UZyth Ecosystem will have a range of complementary and fully integrated solutions. Fueled by UZ Coin, it will offer its owners benefits to all ecosystem products like UZ Exchange, UZ Market, UZ Games, UZ Social and the ground-breaking UZ Talk. The ecosystem is expected to play a completely disruptive role to what the market currently offers. UZ coin is designed to give holders access to the products and services within the UZyth ecosystem. As users enter que platform, the demand for the coin will increase as users will need to pay for all the services available. The value of the UZ Coin will be driven by its use and the number of people using it. UZ Coin will be the native coin used in the UZyth ecosystem and will be used to facilitate all of the operations conducted on the network.",UZ,1st Jun 2019,31st Aug 2019,https://www.uzyth.com,Estonia,https://www.uzyth.com/assets/docs/uzwhite1.0.pdf
Communication,,wizebit,,"WizeBox was built by a global team of business leaders and technologists to be the first smart home hub and personal assistant on the blockchain. Founded in 2017 on the belief your data is yours and should work for you, we created WizeBox to encrypt its user’s information, ensuring that a third party isn’t able to exploit, mishandle, or leverage a person’s own data against him or her. Wizebox’s parent company and supporting blockchain solution, Wizebit, specializes in hardware, software, and AI and is powered by a robust developer community and ecosystem funded by WIZE Tokens.",WIZE,17th Aug 2018,27th Oct 2018,https://www.wizebit.com,Estonia,http://wizebit.com/WizeBit_Whitepaper1.1.pdf,,,,,,
Cryptocurrency,,alt planet,,Alt Planet provides a simple design that makes it easier for users to trade and a wide variety of markets that allow you to trade various coins. We provide an optimal trading system tailored to the user's eye level.,APL,23rd Jul 2018,19th Aug 2018,https://altplanet.io,Estonia,https://drive.google.com/file/d/1NqdlkCeqHxBEAKklrZnUjSQRi1OCgCFR/view,,,,,,
Cryptocurrency,,aworker,5,Aworker protocol makes it easy to create and manage applications based on verified data and reputation score. People can control their information in one place and capitalize it. Aworker blockchain framework works with public blockchains and has the power to customize it for different applications.,WORK,1st Oct 2018,1st Oct 2018,https://aworker.io,Estonia,https://aworker.io/docs/Aworker_Whitepaper.pdf,,,,,,
Cryptocurrency,,bit agro,2.841,"AGROCOIN is a crypto coin that will become the means and guarantor of payment between users. This is a token that will become a tool for the agro-industrial market, and with the help of which users of the agro-exchange platform will be able to conduct their transactions on the purchase and sale of goods in the agricultural sector. Token AGROCOIN supports smart contract technology and was created to develop trust and positive reputation of a credit platform on the Ethereum ecosystem. AGROCOIN aims to conduct the fastest, most transparent and secure transactions.",AGRO,5th Apr 2019,5th Jul 2019,https://bitagro.io,Estonia,https://bitagro.io/wp-content/uploads/2019/03/Agro-Exchange-WP1.2.pdf
Cryptocurrency,,bitcoinbing,,"In the budding world of cryptocurrency, understanding the cryptocurrency exchange is important to get started. As cryptocurrency is making its way into the markets, exchanges with a robust mechanism and additional benefits will enhance the usage of this technology. It would encourage more & more people to join a safer medium for trade which secures their benefit.",BING,1st Oct 2018,15th Nov 2018,https://www.bitcoinbing.io,Estonia,https://www.bitcoinbing.io/bitcoin%20bing.pdf,,,,,,
Cryptocurrency,,blockchain neural system,,BlockChain Neural System BNS lets organizations and regular users to create and train neural networks using our service for further creation of artificial intelligence for their tasks.,BNS,1st Nov 2017,30th Nov 2017,https://bnsys.io,,,,,,,,
Cryptocurrency,,btcex,,"The Cryptocurrency 3.0 Exchange service for everyone. BtcEX is a licensed cryptocurrency trading platform that enables easy access to a secure exchange offering high liquidity, multiple trading strategies, and unique token (BXC) utility that cannot be found on any other exchange. The mission is to build an inclusive ecosystem consisting of cryptocurrency transactions, leveraged trading, ICO listings and P2P lending.",BXC,8th Feb 2019,8th Apr 2019,https://bxlend.com,Estonia,https://bxlend.com/mt-content/uploads/2018/12/white-paper-3.1.pdf
Cryptocurrency,,cryptaldash,15.287911,CryptalDash is a robust crypto exchange and trading platform. Equipped with institutional grade matching engine and third party crypto exchanges order routing capabilities. All located under one Dashboard.,CRD,19th Apr 2018,19th Jun 2018,https://www.cryptaldash.com,,,,,,,,
Cryptocurrency,,cryptocasher,0.023341,"The platform allows buying or selling crypto for cash safely and quickly with a 3rd party escrow service. CryptoCasher undergoes a thorough verification on escrow services before adding them on its portal. The escrow service will be able to enjoy some additional income from the transaction fees. CryptoCash also eliminates the process of buying or selling cryptocurrency in personal meetings which could be risky for both buyers and sellers.",CRR,2nd Nov 2018,2nd Mar 2019,https://cryptocasher.io,Estonia,https://cryptocasher.io/assets/whitepapper/CryptoCasher-whitepapper.pdf
Cryptocurrency,,decimated,,"Fracture Labs are a videogame company, creating a persistent online multiplayer game, where players must use skill and intelligence to harvest resources, trade with other players, and survive in a hostile apocalyptic environment. DECIMATED is the first use-case scenario of this which they are developing in Unreal Engine 4 and SpatialOS to achieve this massive scale, and meaningful persistence. There are two factions of players: human citizens and cyborg cops, both of whom are played by real people. Fracture Labs are using blockchain technology to manage in-game items and currency.",DIO,6th Mar 2019,5th Apr 2019,https://www.decimated.net,Estonia,https://www.decimated.net/whitepaper-browser-version/
Cryptocurrency,,digital ticks,30,"A First ever Commodity - Crypto Exchange well designed by traders for traders. Digital Ticks Exchange (DTx) is just not another crypto to crypto exchange but is also a semi-algorithm platform provider in its own. DTx plans to cater to all types of crypto assets as well as commodity to crypto assets. DTx would be power packed by a lot of advanced features including all the basic features of an exchange required by a novice trader to a professional trader as well as for a high frequency trader. In terms of security DTx is taking extra precautionary measures to avoid any kind of hacks like DDoS attacks, phishing attempts and by also performing vulnerability assessments and penetration testing. DTx has installed robust technologies behind the scene that could handle heavy volatility of the crypto markets as well as commodity markets which can handle upto 1,000,000 orders per second.",DTx,15th Apr 2018,15th Jun 2018,https://www.digitalticks.com,,,,,,,,
Cryptocurrency,,dragonglass,1.0,"Dragonglass is the world’s first gamified crypto-mining experience. Mining Dragonglass cryptocurrency is as easy and fun as playing a mobile game. It provides user-friendly and affordable cryptocurrency mining solution to everyone. Besides being simple and engaging, Dragonglass is also powerful: by using a unique mining technology, it is thousands of times more efficient than traditional cryptocurrency mining. Dragonglass is a mineable cryptocurrency and utility token. It is an ERC-20 standard digital token based on the Ethereum blockchain. The main features of Dragonglass are its ease of use, affordability and mining efficiency.",DGS,16th Feb 2018,11th Mar 2019,https://dragonglass.com,Estonia,https://dragonglass.com/docs/DGS_BWP.pdf
Cryptocurrency,,ethlend,16.2,Fully decentralized peer to peer lending Smart Contract on Ethereum block-chain for lending Ether by using tokens as a collateral. Borrow Ether by placing Digital Tokens on Smart Contract for collateral. Use any ERC20 Token.,LEND,25th Nov 2017,30th Nov 2017,https://ethlend.io,,,,,,,,
Cryptocurrency,,ezcash,,"EZ Cash is a blockchain-based C2C Marketplace that enables individuals (customers) to transact (buy and sell) goods or services with each other through a secure and peer-to-peer blockchain network, without needing the help of intermediaries, dealers or third-parties. The new marketplace effectively deals with a lot of issues that the market is suffering from. By connecting consumers directly with other consumers for transactions, it removes the role of intermediaries, thus effectively reducing the cost of transactions and improving privacy. The underlying blockchain technology ensures the security, transparency and reliability of user transactions and data on the EZcash platform.",EZE,20th Dec 2018,20th Feb 2019,https://ezcash.io,Estonia,https://ezcash.io/wp-content/uploads/2018/09/EZ-CASH-WP.pdf,,,,,,
Cryptocurrency,,fabric token,1.035986,"The Fabric Token ecosystem will empower individuals and businesses with easy access to blockchain technology and smart contracts thus allowing virtually anyone to participate, in one way or another, in building a decentralized and trustworthy world.",FT,15th Feb 2018,1st Apr 2018,https://fabrictoken.io,,,,,,,,
Cryptocurrency,,finlocale,2.52,"Finlocale is a peer to peer crypto marketplace. In which, buyers and sellers connect, exchange bitcoins through secure escrow and private online chat. Its unlimited payment type capabilities bring buyers and sellers from around the globe with any possible world payment type, enable them do crypto currency exchange. It’s one of its kind profiting platforms for merchants, vendors, buyers & sellers.",FNL,1st Oct 2018,15th Dec 2018,https://www.finlocale.io,Estonia,https://www.finlocale.io/pdf/FinlocaleWP.pdf,,,,,,
Cryptocurrency,,gaus,,GAUS is the first blockchain platform in the world allowing anyone to buy new vehicles directly from manufacturers with up to a 30% discount. This was made possible by cutting off auto-dealers from the link between the manufacturer and the end buyer.,GAUS,18th Oct 2018,19th Nov 2018,https://gaus.trade,Estonia,https://gaus.trade/Gaus_White_Paper(eng).pdf,,,,,,
Cryptocurrency,,ingot coin,40,"INGOT Coin is the first fully integrated Wallet with a Digital Bank, Brokerage, Exchange, Certifier, and ICO Accelerator. All components are rolled into a single and complete ecosystem, which rewards token holders and consumers for using and contributing to it. INGOT Coin is a decentralized cryptocurrency which provides benefits and discounts within the ecosystem itself. IC will be based on a ERC20 technology.",IC Token,1st Jul 2018,10th Oct 2018,https://www.ingotcoin.io,Estonia,https://www.ingotcoin.io/documents/en/white-paper.pdf,,,,,,
Cryptocurrency,,innovaminex,4,"InnovaMinex is an innovative business model that uses blockchain technology to guarantee the traceability of precious metals. By applying a set of procedures, it is possible to certify the whole process, from its origin in the mines, to the refinery and the commercialization to the end consumer. This commercialization is done through our e-commerce, partner stores and our own ATMs. InnovaMinex will give buyers the opportunity to verify the origin of the metal that they acquire. Buyers will be able to obtain assurances that the extraction of metal is legal, that the environment has been protected, and that transactions can not be used for money laundering. All are registered and the whole community has access to them. Our ultimate goal is to get the best possible price for our clients and for our community, with emphasis being placed on the transparency and safety of all transactions conducted.",INХ,26th Nov 2018,26th Jan 2019,https://innovaminex.com/en/inx,Estonia,https://innovaminex.com/docs/whitepaper-en.pdf,,,,,,
Cryptocurrency,,involve,1.25853,"Involve is the first crypto platform for mobile apps which engages into relationship all parties of the market of mobile apps: users, developers and investors. Involve is the project inspired by the modern trends such as: growth of mobile market, robotization, crypto economy and mining. Our ecosystem will enable practically unlimited number of users to mine ICoin on a daily basis, i.e. creating a mining pull, which power will be the number of time currently spending in the apps on our platform. The total supply of ICoin will be limited to 500 billion, that is why mining will face continuously increasing difficulty. This measure will lead to the long-lasting appreciation of ICoin and the time spent in apps of our platform.",IToken,1st Jun 2018,3rd Sep 2018,https://icoinvolve.io,Estonia,https://icoinvolve.io/wp-content/uploads/2018/05/white-paper-en.pdf,,,,,,
Cryptocurrency,,ironx,26.319447,"We have merged the best in traditional trading from IronFX, with the best in crypto EmurgoHK, to create a world-class crypto exchange. The liquidity will be ensured by a multitude of benefits for IRX holders and the possibility to migrate the traditional accounts into the IronX platform. IronX Exchange will be established as a joint venture between one of the global leaders in online trading, the IronFX Group and EmurgoHK, one of the global leaders in blockchain technology, creator of the decentralised public Blockchain Cardano and the hugely successful ADA Coin.",IRX,1st Nov 2018,15th Jan 2019,https://ironx.io,Estonia,https://ironx.io/IronX_WP_Version_1.2.pdf,,,,,,
Cryptocurrency,,lynchpin token,9.5875,"A token that solves critical problems in the cryptocurrency industry. Making digital assets spendable to create a token that solves major problems in the Cryptocurrency industry. Firstly solve issues with tokenomics. A project has strong tokenomics which solve volatility, lack of intrinsic value, inflation and deflation and lack of utility.",LYN,15th Nov 2018,1st May 2019,https://www.lyntoken.com,Estonia,https://lyntoken.com/lyntoken-whitepaper.pdf
Cryptocurrency,,moolyacoin,25,"moolya is the World’s 1st LIVE Global Digital Startup Ecosystem which replicates the global offline startup ecosystems and provides its members such as ideators, startups, investors, companies, service providers and institutions with digital avatars. moolya was ideated by our founder out of his learnings as a startup entrepreneur in India and the travails and pangs he faced in the process. It is our effort on moolya to help its global users focus on their core business aspects and use the digital workflows and services on moolya, for activities such as raising investments and getting their operations serviced. moolyacoin is an ERC20 token of a patent pending innovative SaaS platform, which merges interaction network, marketplace and on-demand service platforms offering services using the Ethereum blockchain framework and moolya.global's platform.",MOOLYA,1st Sep 2018,15th Jan 2019,https://www.moolyacoin.io,Estonia,https://www.moolyacoin.io/whitepaper/,,,,,,
Cryptocurrency,,nexinter (ieo),,"Nexthash launches the world’s first IEO-backed by its EU regulated exchange Nexinter to enable private sale participation of Digital Security Offering (DSO) by any customers. By buying NIXT tokens, any holder will be able to purchase security tokens under the same conditions as professional investors and secure current and future benefits of being among the first to join.The goal of NIXT - Nexinter IEO is three-fold:1. ENGAGEMENT: to build a new digital engagement as early as possible with new categories of traders, with full focus on compliance and security. 2. INCLUSION: to build a leaner “Digital Security Offering” framework by starting to engage at an earlier stage with companies that have planned to launch a DSO (Digital Security Offering) and provide them the benefit of an end-to-end competitive and transparent offering.3. ADOPTION: to leverage upon such an engagement to build the most liquid, user friendly and competitive end-to-end Digital Security Offering Platform in the world, to drive a broader inclusion to the financial world NIXT token holders will receive the benefit to participate in Nexinter Private Placements of Digital Security Offerings as early as professional investors with exactly the same conditions.",NIXT,14th Oct 2019,15th Nov 2019,https://ieo.nexinter.com,Estonia,https://ieo.nexinter.com/assets/files/Nexinter_Whitepaper_Interactive.pdf
Cryptocurrency,,nordcoin mining,,"Cryptocurrencies, smart contracts and other blockchain technologies are experiencing a rapid surge in popularity. With a major share of the blockchain infrastructure today dependent on consensus protocols based on proof-of-work (PoW), an efficient and intelligent crypto-mining operation is well positioned to take advantage of the ongoing expansion. NordCoin Mining OÜ is based in the IT-friendly Estonia with operations foreseen across the Nordics. The Mobile Mining Container (MMC) technology developed by NordCoin is a self-sufficientself-contained, remote controlled crypto-mining solution designed to overcome the three most significant variables affecting the profitability of crypto-mining: effective hash rate, cost of energy, and cost of space. In total, 30 MMC's will be activated, with an estimated net profit of $45,000 worth of crypto per month per container.",NRDC,16th Jul 2018,16th Aug 2018,https://www.nordcoinmining.com,Estonia,https://www.nordcoinmining.com/files/whitepaper.pdf,,,,,,
Cryptocurrency,,paytomat,,"Paytomat is a blockchain-based payment processing system created to help merchants, consumers and crypto core teams to find each other and create real life traction for cryptocurrencies as emerging method of everyday payments. Built as a decentralized autonomous organization and decentralized franchise, Paytomat features two unique loyalty programs based on the PTM coin, incentivizing merchants to accept payments in crypto, and PTX token, incentivizing end customers to pay with crypto. For the purposes of the token sale we will use the PTI token based on EOS blockchain.",PTI,20th Nov 2018,20th Dec 2018,https://tokensale.paytomat.com,Estonia,https://bit.ly/PaytomatWP,,,,,,
Cryptocurrency,,pluscoin,4.8,"DS Plus is an Ethereum-based mobile platform (CPA system) for customer attraction and retention, which will become perfect tool for small and medium, online and offline businesses.",PlusCoin,10th Sep 2017,31st Dec 2017,https://pluscoin.io,,,,,,,,
Cryptocurrency,,pocket node,,"We firmly believe in supporting cryptocurrencies as they should be, i.e. inclusivity for all participants irrespective of financial standing or technical knowledge. This in mind, why should masternode creation be a complicated process requiring good level computer skills and endless YouTube streams? We think the crypto-ecosystem moves forward only after lowering the barriers to entry. Pocket Node lets you instantly start masternodes and provides the ability to support crypto networks easily. The power is in your pocket.",NODE token,9th Dec 2019,6th Jan 2020,https://www.pocketnode.net/#,Estonia,https://www.pocketnode.net/documents/NODE%20-%20The%20White%20Paper.pdf
Cryptocurrency,,roc2,1.8,"We delivered all promises from our first ICO, now you can be part of the biggest project expansion in crypto history. Our first ICO was a huge success! From ROC1, The Rasputin Party Mansion was born, the project was delivered ahead of schedule, has grown faster than we forecast and has already paid dividends to ROC1 token holders. Now we are ready to expand, ready to take this successful concept to a level NEVER before seen in the adult entertainment industry. We will build a new Party Mansion eclipsing anything ever seen in the adult entertainment industry. Over 10 times larger in size than the current studio with 50 thousand square feet of adult fun, with 150 cameras and over 100 models living, playing and entertaining all in our studio broadcast to the world live in High Definition 24 hour of everyday of every week. Our already impressive revenues stand to grow to levels that will make us one of the biggest players in the adult sector.",ROC2,1st Mar 2019,1st Dec 2019,https://ico.rasputinmansion.com,Estonia,https://ico.rasputinmansion.com/downloads/roc_wpV1.0.pdf
Cryptocurrency,,tor,,"Tor (TOR) Anonymous cryptocurrency based on Tor browser. Safe, Open source, Community run and maintained.",Tor/TOR,16th Jun 2019,15th Jul 2019,https://tortoken.io,Estonia,https://tortoken.io/whitepaper.pdf
