cat1,cat2,name,raised,desc,ticker,start,end,www
estonia,,zeon network,11.23,"Scaling transaction rates to 100,000 tps (sharding), investments in crypto with minimal risks, cross-chain trading and mass adoption. The cornerstone in ZEON's design is the idea of sharding - dividing the network into smaller shards. ZEON gives investors access to crypto/ICO projects with minimal risks. Build your crypto portfolio in minutes. Buy and sell any token. Return on investment at any time. Based on Ethereum smart-contact, DAO principal, no fees. ZEON insure risks of a scam by 80% by using Oracle Hyperion. The project receives a daily portion of funding. Contactless payment card: Multi-signature wallets, 256-bit AES, biometric & device verification, 3-D Secure protection",ZEON,8th Jun 2018,31st Dec 2019,https://zeon.network,Estonia,https://zeon.network/whitepaper.pdf
estonia,,zest,,"Zest proposes the first ‘decentralized syndicate’ which aims to provide access to the pre-ipo opportunities of Silicon Valley. Zest disrupts the traditional boundaries by using a cryptocurrency as a medium of exchange into a venture capital fund. By pooling capital together, the syndicate is able to access these funds as a single participant. When a portfolio company succeeds in performance, resulting in either a higher series of fundraising or an IPO, the parent fund will often shed profit to their limited partners. When this occurs, Zest is given back fiat currency which is traded back into cryptocurrency and sent to the exchange partner (LATOKEN). Zest will then initiate a mass purchase of market priced Zest tokens (Z) followed by a burn of all the tokens collected in this way. This means the total amount of tokens available is continuously diminishing and, theoretically, could actually disappear from the market entirely.",Z,10th Jun 2019,17th Dec 2019,https://zest.fund,Estonia,https://drive.google.com/file/d/1U1IkRHI5VCdc1SPonr1x9aOwC9wKUodt/view?usp=sharing
france,,loltoken by eiu.ac,3.0,"The team behind the LOL project already owns and runs international kindergartens, primary and second schools (www.wells.ac.th) , a business school (www.bsm.ac.th) for the past 20+ years, as well as a French Government recognized and internationally accredited university (www.eiu.ac) to their fascinating portfolio. LOLTOKEN has successfully completed its private sale with $ 3 Million in total funds raised so far from private investors LOL ecosystem will empower everyone to gain world class education using blockchain technology with our immense experience & launch of MOOC++ with its Decentralized DIGITAL LEARNING MATERIALS marketplace for testing & certifications from European International University integrated with Digital Fingerprint Personality Testing. The certifications on our blockchain ecosystem will be provided by European International University www.eiu.ac Our MVP can be viewed at www.learnonline.ac",LOL,16th Sep 2019,15th Dec 2019,https://loleiu.io,France,https://loleiu.io/docs/LOL_STO_WP.pdf
france,,sharemeall,,"eSwitch will be the cryptocurrency of a new system of exchange and sharing of goods and services in which humans and these universal values will be the center. ShareMeAll Marketplace and eSwitch Tokens are an alternative community project for the exchange and sharing not only of skills, but also of objects, all or part of their home, their car, ect. It will allow everyone to share and use all that can imagine, today possible to be exchanged or shared. In return, users of ShareMeAll will receive eSwitch that will allow them to take advantage of services, objects, accommodations, etc. offered by other members around the world.",eSwitch,15th Mar 2019,31st Dec 2019,https://sharemeall.io,France,https://sharemeall.io/wp-content/uploads/2018/12/White-Paper-Easy-Free-Sharemeall-eSwitch-EN.pdf
germany,,cryptocells,0.255284,"Cryptocells is crowdsourcing innovation through gamification to drive user engagement - with the goal of saving human lives. The tokenized, collectible, modifiable, tradeable and potentially real bio assets foster innovations in biotech and medical science. We enable our users to contribute to solutions to the biggest health challenges of our time. The challenges are either ongoing games such as protein folding or CRISPR-Cas9 gene editing, or short-term targeted crowd-driven contests by companies and organizations for their unsolved problems with a given monetary prize pool. More than 10 million people a year could die from antibiotic-resistant bacteria (“Superbugs”), warns a United Nations report. Bacteria like Acinetobacter baumannii, resistant to almost every antibiotic in the pharmacological arsenal, are on the rise. In a 2019 report called No Time to Wait, the United Nations warned that by 2050, multidrug resistant infections could kill upwards of 10 million people a year around the world. Almost all big pharma companies have stopped antibiotic research, because “they aren’t profitable enough”, and governments are widely unmotivated. So it's up to the crowd to come up with innovative solutions. To participate, users are required to own CC9 tokens, which can be differentiated into tokenized bio assets such as a Proteins, DNA, Bacteria, Viruses, or Organs. These Bio Assets can then be collected, breeded, developed into new shapes and forms, or traded on the marketplace.",CC9,3rd Oct 2019,31st Dec 2019,https://www.cryptocells.io,Germany,https://www.cryptocells.io/downloads/Cryptocells_Whitepaper.pdf
liechtenstein,,reme-coin,9.558576,"repay.me is convinced that profits from user data belong to customers themselves. repay.me’s community is grounded on the spirit of fair trade: most of repay.me’s advertising revenues are repaid as cashback to the community.",REME,1st Mar 2018,31st Dec 2019,https://www.remecoin.io,Liechtenstein,https://www.remecoin.io/whitepaper_en.pdf
malta,,capitual,,"With a ready state-of-the-art produced working live platform, Capitual is already bringing crypto-currencies to people in different sectors. With your help, we can popularize crypto-currencies' usage across the whole world! Capitual brings the evolution of crypto-currencies for the rest of us by allowing instant exchange between fiat and crypto-currencies.",CPB,1st Jun 2019,31st Dec 2019,https://capitual.io,Malta,https://capitual.io/whitepaper.pdf
malta,,saiterm,,"SAIEX Tokens. Facts, not words. This is the world of innovation, amazingly sophisticated technology and energy efficiency. A unique opportunity. Get all advantages and privileges offered by SAIEX Tokens. Energy efficiency and emission reduction are and will be a goal in the future. This market will have the greatest growth and development over the coming decades. The SPRING heating system presented is a practical example and a real demonstration of what we can do, and what we will do in the coming months and years. All data shows that our SPRING heating system offers the best cost ratio for heat in the world. SAIEX Tokens. Solid. Concrete. Based on the most advanced patented technology. Energetic efficiency is the priority target of the future, especially for home and office heating, which is used every day by everyone. SAIEX Tokens are the opportunity for everyone based on cutting-edge engineering and highest quality product capable of revolutionizing a sector such as energy efficiency. SAIEX Tokens are based on a real product, produced, patented and tested.",SAIEX,1st Dec 2018,31st Dec 2019,https://ico.saiterm.com,Malta,https://ico.saiterm.com/pdf/whitepaper.pdf
russia,,emiba,,"Emiba is a venture engineering start-up. The main goals are the completion of the technological device development – the Concentrator to synthesize new materials with extreme properties with low costs and creation of large-scale high profitable production of such materials for the needs of the world economy. The device uses ultra-high pressures and is applicable for the synthesis of a qualitative diamond crystal suitable for use in microelectronics.",EMB,1st Jun 2018,31st Dec 2019,https://emiba.global,Russia,https://emiba.global/wp-content/uploads/2018/09/White-Paper-Emiba-ENG-ver-1.2.pdf
singapore,,c estates,,"C Estates connects people around the world to seamlessly transact and conveniently buy and sell real estate properties. Whether to verify a document, confirm notarization, validate asset’s ownership, buy or sell a property or finding someone to manage properties, C Estates has got everything you need to do your business in one place.",XCET,31st Oct 2019,31st Dec 2019,https://www.cestates.io,Singapore,https://cestates.io/assets/download/cestates_whitepaper.pdf
singapore,,distichain,,"Distichain is an AI and Blockchain integrated secure B2B e-commerce ecosystem brings a network of buyers, sellers, banks, logistics providers, and insurance companies together to create end to end transactions seamlessly and securely",Disticoin,1st Dec 2019,31st Dec 2019,https://www.distichain.com,Singapore,https://distichain.com/wp-content/uploads/2019/09/Distichain-White-Paper-Sep-2019.pdf
singapore,,ezeebuy,,"EZeeBUY Experiences™ is the Next AI Platform Revolution EZeeBUY Experiences is the world’s first social media and lifestyle buying platform, driven by artificial intelligence, for brick and mortar retail stores in every country to deliver convenience and unique buying experiences for modern digital shoppers in the $27 trillion brick and mortar retail industry.",EZ8,8th Nov 2019,7th Dec 2019,https://ezeebuy.ai,Singapore,https://ezeebuy.ai/whitepaper/whitepaper.pdf
singapore,,natural eco carbon coin,,"URCC decentralizes the CER trading market and activates the campaign to reduce CER and reduce greenhouse gas emissions by a ton by one person through various means of payment, thus curbing extreme environmental damage and realizing the economic benefits of global companies.",NECC,13th Nov 2019,25th Dec 2019,http://www.urcc9.com/en/about/map.php,Singapore,https://drive.google.com/file/d/1xSdwKmSXXY30sHMduLGhRsjv_69oeyw1/view
