cat1,cat2,name,raised,desc,ticker,start,end,www,
Business services,,kleros,2.501733,"Kleros uses blockchain and crowdsourced specialists to adjudicate disputes in a fast, secure and affordable way. Kleros connects users who need to solve disputes with jurors who have the right skills to solve them. Crowdsourcing taps into a global pool of jurors. Blockchain technology guarantees evidence integrity, transparency in jury selection and incentives for honest rulings.",PNK Token,15th May 2018,15th Jul 2018,https://kleros.io,
Business services,,namek,,"Namek enables the users to collect tokens from ongoing ICOs by finding multiple Airdrops in the same platform. The platform is also a Bounty platform, enabling users to find freelancer missions paid with tokens and cryptocurrencies. And enabling team managers to handle their teams, payments, deadlines and tasks easily. The NMK token is a utility with a commercial purpose : From Airdrop / Bounty / freelancer listing to premium users accounts, all the services provided by Namek are payable with the NMK token.",NMK,3rd Dec 2018,27th Jan 2019,https://www.namek.io,https://www.namek.io/whitepaper
Business services,,peculium,9.917634,"PECULIUM is the first Crypto-Savings platform that combines traditional savings, blockchain technology, cryptocurrency, and artificial intelligence. PECULIUM allows you to invest and grow traditional savings in cryptocurrency based projects. AIEVE is PECULIUM’s own Artificial Intelligence engine powered by Automated Machine Learning (AML). AIEVE analyzes these massive data-streams in near-real time to predict the best investment opportunities in cryptocurrency markets and ICOs.",PCL,21st Dec 2017,24th Jan 2018,https://www.peculium.io,
Business services,,unityco,,"We introduce to the crypto community a new Altcoin in the digital marketing industry. It's an optimized tool for Franchisees looking to start their online business, for Active members wishing to generate online incomes, for any Entreprises looking to new customers and for all Advertisers who want to increase the Performance of her advertising campaigns. Moreover, the interaction between these 4 types of users represents the synergy of our business model and the digital opportunities it create",UNT,1st Mar 2018,31st Mar 2018,https://unityco.in,
Casino & Gambling,,matrix-coin,,"Matrix , is a crypto platform with the innovative and reliable technology of blockchain. The goal of this platform is to help crypto users enjoy low fees and fast transactions. One great feature of Matrix is that users can enjoy all its benefits while still anonymous. With this cryptocurrency service, funds will remain secure and safe. Matrix is created on x11 blockchain , combining POW mining and masternodes rewards . Matrix will launch own casino and exchange platforms.",MATRIX / MTX,1st Oct 2019,30th Oct 2019,https://matrix-coin.io,France,https://matrix-coin.io/wp-content/uploads/2019/06/matri.pdf
Communication,,astrome ico,,"Astrome is revolutionizing internet delivery through its innovative millimetre wave wireless communication technology. The company aims to launch a constellation of 198 ultra-High Throughput Satellites(ultra-HTS) in Low Earth Orbit called SpaceNet. The total network capacity of SpaceNet will be 24Tbps. This constellation will have an order of magnitude lower infrastructure cost per Gbps when compared to other constellations that are being launched. The satellites cover all the regions between 38 degree North and South latitudes. This include South-Asia, South-east Asia, Africa, Australia, Middle East, South America, North America (Partially) and major seas.",SPW,23rd Jul 2019,23rd Sep 2019,https://astrome.io,France,https://astrome.io/wp-content/uploads/2019/07/2019-07-08-Astrome-ICO-Whitepaper.pdf
Communication,,sandblock,,Sandblock is a French company created in Q1 2017. We are allowing brands to create their own crypto assets using the Satisfaction Token SAT. Brands can and easily create branded tokens pegged to the SAT and give them as rewards to their customers for loyalty but also acquisition. Sandblock has developed a mobile app available on iOS and Android (30k users) and has a pilot program ongoing with a subset of brands. Crypto Rewards make consumers more engaged because they can exchange them on a marketplace of branded tokens which create a natural referral mechanism. But they can also use them for donations to Charity and also for Consumption Credits with our latest partnership with ETHLend. The Ultimate value is the creation of a decentralized data base of anonymised data which allows brands to personalized their communications. Sandblock has already reached its soft cap during its public pre sale in March 2018. Discover founders: https://www.youtube.com/watch?v=5VDeVxyUIi4&t=12s,SAT Token,25th Apr 2018,30th Jun 2018,https://sandblock.io,
Cryptocurrency,,bartcoin,,"Youseeme and Bartwallet are an ecosystem of eWallets and loyalty rewards program, linking crypto with traditional communities of consumers. Bartwallet is the first eWallet combining payment and trading functionalities all-in-one. Users can share payments with friends and family, pay merchants, trade cryptocurrencies, assets and commodities, and keep transactions stored safely in their wallet portfolio.",BARC,19th Mar 2019,24th May 2019,https://www.bartwallet.pro,France,https://www.bartwallet.pro/wp-content/uploads/2019/02/White-paper.pdf
Cryptocurrency,,bico,,With your help we plan to write a comprehensive guide to show you how to create your successful ICO.,BICO,20th Oct 2017,20th Dec 2017,http://bico.me,
Cryptocurrency,,legolas exchange,18.856,"Legolas creates a new decentralized blockchain protocol that guarantees full transparency and prevents front-running and market manipulation. Legolas combines features of both centralized and decentralized architectures in order to exploit the best of both worlds: fiat support, strong authentication, simplicity, as well as transparency and fairness. Our extensive experience designing reliably secure systems and our strategic partnership with Ledger ensure state of the art safeguards for crypto assets.",LGO,1st Feb 2018,15th Feb 2018,https://legolas.exchange,
Cryptocurrency,,rhizome,,"Whatever your need to create a cryptocurrency, Rhizome.red is the easiest way to create your own cryptocurrency. The Rhizome.red network allows you to create a real cryptocurrency independent of other cryptocurrency without having knowledge in computer development. The Rhizome.red network is opensource, we want to democratize and improve our project by having a community that wants to share the moral and economic values of the blockchain.",RZM,15th Jul 2018,25th Jul 2018,https://www.rhizome.red,https://drive.google.com/file/d/1mmtPP5sAgiBpiyqSRlsRuECE8skfBxJH/view
Cryptocurrency,,sharemeall,,"eSwitch will be the cryptocurrency of a new system of exchange and sharing of goods and services in which humans and these universal values will be the center. ShareMeAll Marketplace and eSwitch Tokens are an alternative community project for the exchange and sharing not only of skills, but also of objects, all or part of their home, their car, ect. It will allow everyone to share and use all that can imagine, today possible to be exchanged or shared. In return, users of ShareMeAll will receive eSwitch that will allow them to take advantage of services, objects, accommodations, etc. offered by other members around the world.",eSwitch,15th Mar 2019,31st Dec 2019,https://sharemeall.io,France,https://sharemeall.io/wp-content/uploads/2018/12/White-Paper-Easy-Free-Sharemeall-eSwitch-EN.pdf
Education,,bcdiploma,1.670922,"We aim BCDiploma to become the global standard of degree certification. Our solution is a cost effective, easy-to-implement, tamper-proof turnkey service. BCDiploma aims to be the standard on Linkedin and all major job boards. BCDiploma shakes up the access to certified diploma. With our service, a single clic grants direct access to ethereum-based, smart-contract-validated data. BCDiploma develops a specific DApp for schools, enabling them to issue their degrees on Ethereum.",BCDT,18th Jan 2018,16th Feb 2018,https://www.bcdiploma.com,
Education,,loltoken by eiu.ac,3.0,"The team behind the LOL project already owns and runs international kindergartens, primary and second schools (www.wells.ac.th) , a business school (www.bsm.ac.th) for the past 20+ years, as well as a French Government recognized and internationally accredited university (www.eiu.ac) to their fascinating portfolio. LOLTOKEN has successfully completed its private sale with $ 3 Million in total funds raised so far from private investors LOL ecosystem will empower everyone to gain world class education using blockchain technology with our immense experience & launch of MOOC++ with its Decentralized DIGITAL LEARNING MATERIALS marketplace for testing & certifications from European International University integrated with Digital Fingerprint Personality Testing. The certifications on our blockchain ecosystem will be provided by European International University www.eiu.ac Our MVP can be viewed at www.learnonline.ac",LOL,16th Sep 2019,15th Dec 2019,https://loleiu.io,France,https://loleiu.io/docs/LOL_STO_WP.pdf
Education,,stoby,,"Stoby is the first tokenized student job platform. Stoby sells free time to busy people and gives students the opportunity to benefit from additional income. We are the first job platform directly targeting the student community, completely rethinking and simplifying the way students find jobs. With the ICO, we are bringing Blockchain technology on our P2P platform to ensure transparency, trust, and traceability. Paid in tokens (STB), students will earn more and be able to spend their earnings on campus and with partners. Ultimately, we are building a network of millions of students gathered around a strong community and a unique currency, the STB.",STB,1st Dec 2018,31st Jan 2019,https://stoby.io,https://stoby.io/static/whitepaper-en.af7ec98d.pdf
Entertainment,,anna,,"AirNodes use its knowledge in hardware, software and UXD for their customer to dive into IoT with peace of mind. Anna is a smart mirror designed, built and manufactured in our office located in the French Alps: Annecy, France. It is the result of long hours spent in designs, tests and prototypes made by AirNodes. AirNodes is a company specialized in IoT devices design. With agile method and a startup flexibility, we help professionals to design and build first-in-class IoT devices.",ANNA,10th Oct 2017,1st Dec 2017,https://www.miroir-anna.com,
Entertainment,,outing,1.6,"Outing is a free iOS & Android app, dedicated to outings and events. It lets you know what's happening around you in real time : exhibitions, street dancer, public concert, parties and much more. All thanks to you! Indeed, it's you who indicate and notify the events thanks to geolocation. Say welcome to the Waze of events""!""",OTG,8th Jan 2018,18th Feb 2018,http://outing-app.com,https://docs.wixstatic.com/ugd/3880ee_ae7d4618754a4f8a81cf5fc056d66931.pdf
