cat1,cat2,name,raised,desc,ticker,start,end,www,,
Artificial Intelligence,,magnetics,,"We’re making recruitment and job hunting a whole lot easier, and better. By ranking peoples’ scores against the Magnetics Employment Capital Index recruiters and employers can accurately measure the potential suitability of each candidate.",KLIX,10th Sep 2018,8th Dec 2018,https://magneticshr.com,UK,https://magneticshr.com/wp-content/uploads/2018/09/Whitepaper10.pdf
Artificial Intelligence,,medilives,0.5,"MediLiVes has brought an opportune moment for a major and much-needed disruption of the current healthcare system. With telemedicine infusion with technology, doctors and patients alike can manage care remotely, increasing efficiency and outcomes.",MLIV,1st Oct 2019,30th Nov 2019,https://medilives.io,UK,https://medilives.io/documents/english_mediLiVes_whitepaper_v1.0.pdf
Artificial Intelligence,,moneytoken,37.189195,"With MoneyToken, there’s no reason to sell your BTC when you need cash or stable currency. MoneyToken provides crypto-backed loans, stablecoin MTC and a decentralized exchange service.",IMT,7th Feb 2018,7th Jun 2018,https://moneytoken.com,UK,https://moneytoken.com/doc/MoneyTokenWP_ENG.pdf
Artificial Intelligence,,mpcx,0.24339,"MPCX is a Digital Crypto Wealth Management blockchain driven financial services platform for innovative crypto investors. The MPCX's unique products are tailored to our clients including Investable Crypto Indices and the Digital Smart Investment Mandate. At MPCX we apply a holistic approach. We will aggregate all crypto services into one place, will create in house blockchain solutions for digital wealth management, cryptocurrency exchange and trading, digital banking and then expand our expertise to traditional asset classless. We have decided to begin with Digital Crypto Wealth Management Platform to manage portfolios of crypto assets of innovative investors.",XDMC,28th Jun 2019,30th Sep 2019,http://mpcx.co,UK,https://bit.ly/2UTZox4
Artificial Intelligence,,smrt,,"Think of a vending machine that dispenses templates of smart contracts with a row for business formation, a row for intellectual property, a row for funding, a row for trading etc. Choose your template, insert your token, and get going on filling in the contract or engaging an expert to help you. The SMRT project is to create this vending machine and the user interface to turn the templates into executable contracts. We are focused on the clearly defined ecosystem of startups and small businesses, providing automatically enforced contracts that enable them to trade and function. We are aiming at making Blockchain Accessible to Startups and Small Businesses. We have an expert team and advisory including a Member of the European Parliament on board and also we already have project partners who are looking to sign up once the platform is ready.",SMRT,1st Oct 2018,1st Jan 2019,https://smartstartuptoken.tech,UK,https://smartstartuptoken.tech/smrt-whitepaper-v1.pdf
Artificial Intelligence,,tachain,,"Tachain provides comprehensive ad targeting system for advertisers while maintaining full security and effectiveness of a full scale transportation app. With our functionalities in play, we are in a position to steer toward our mission of providing a valid and secure blockchain based service full of fun and joy to our users.",TCHN,23rd Jul 2018,30th Jun 2019,https://tachain.io,UK,https://tachain.io/Whitepaper.pdf
Artificial Intelligence,,turbotradecoin,,"TurboTradeCoin is the Next Generation of Artificial Intelligence based Mirror Trading and Investment using a robust arbitrage algorithm to match and surpass the most profitable traders across the top 5 exchanges in BTC and ETH volume.",TTC Token,17th Feb 2018,5th Oct 2018,https://www.turbotradecoin.com,UK,https://turbotradecoin.com/assets/files/white-paper.pdf
Artificial Intelligence,,yanubuks,,"Yanubuks is a company that exists in order to solve the problems faced by the blockchain ICO startups and investors. Yanubuks is not an ICO rating company but we exist in order to secure the interest of the investors by creating an avenue for them to earn more through MASTERNODES of the token/any coins they purchased before and after it is listed in an exchange, we also accept/attract old projects that are interested in offering MASTERNODES to their tokens/coins holders. Our app shall be available on any mobile app when we launch.",XYUS,21st Feb 2019,30th Jun 2019,https://ico.yanubuks.io,UK,https://yanubuks.io//assets/files/white-paperyanubuks.pdf
Artificial Intelligence,,yoo-mi,,"Our pioneering Psych-Tech platform creates a neural network modeled on deep psychology and brain function with powerful predictive algorithms designed to enable the Yoo-Mi PHA Avatar to effectively motivate its user into positive behavioral change. Our blockchain technology secures the personal information from these interactions, while the UME token enables cost-saving purchases of wellness products and services within the Yoo-Mi PHA marketplace.",UME,30th Apr 2018,13th May 2018,https://ico.yoo-mi.com,UK,https://www.yoo-mi.com.s3.amazonaws.com/WP_wellness.pdf
Banking,,africunia,2.5,"AFRICUNIA is introducing an innovative banking model that allows the use of digital currency without hurdles, risks and technical barriers linked with owning, transferring, and trading in cryptocurrencies and tokens.",AFCASH,1st Jan 2018,31st May 2018,https://africunia.com,UK,https://africunia.com/wp-content/uploads/2018/02/AFCASH-Whitepaper.pdf
