cat1,cat2,name,raised,desc,ticker,start,end,www
volume/momentum,,XBL,1,2017-2018,XBL,"","",https://www.coinopsy.com/dead-coins/billionaire-token/,
failed ico,,DEECOIN,1,2017-2018,DEECOIN,"","",https://www.coinopsy.com/dead-coins/drop-answer/,
developers mia,,EBIT,1,2017-Current ,EBIT,"","",https://www.coinopsy.com/dead-coins/ebit/,
failed ico,,PST,1,2017-2017,PST,"","",https://www.coinopsy.com/dead-coins/planes-cloud/,
social/volume,,GAP,1,2014-2018,GAP,"","",https://www.coinopsy.com/dead-coins/gapcoin/,
abandonment,,DRAGON,1,2017-2017,DRAGON,"","",https://www.coinopsy.com/dead-coins/btcdragon/,
abandoned,,METAL,1,2014-2017/2018,METAL,"","",https://www.coinopsy.com/dead-coins/metalcoin/,
no updates,,SYNC,1,2014-2017,SYNC,"","",https://www.coinopsy.com/dead-coins/sync/,
abandoned project,,GAY,1,2016-Current,GAY,"","",https://www.coinopsy.com/dead-coins/gay-money/,
developer quit,,XBTS,1,2016-2018,XBTS,"","",https://www.coinopsy.com/dead-coins/beatcoin/,
abandoned project,,MND,1,2015-2018,MND,"","",https://www.coinopsy.com/dead-coins/mindcoin/,
website/abadoned,,SCORE,1,2013-2014 2017-2018,SCORE,"","",https://www.coinopsy.com/dead-coins/scorecoin/,
inactive,,YES,1,2016-2018,YES,"","",https://www.coinopsy.com/dead-coins/yescoin/,
abandoned coin,,XCR,1,2014-2016,XCR,"","",https://www.coinopsy.com/dead-coins/crypti/,
low ranking,,IFC,1,2014-Current,IFC,"","",https://www.coinopsy.com/dead-coins/infinitecoin/,
volume/abandoned,,XCS,1,2017-2018,XCS,"","",https://www.coinopsy.com/dead-coins/cybcsec/,
numerous issues,,RSGP,1,2017-2018,RSGP,"","",https://www.coinopsy.com/dead-coins/rsgpcoin/,
social/voulme,,MNM,1,2016-2018,MNM,"","",https://www.coinopsy.com/dead-coins/mineum/,
no activity,,WAY,1,2016-Current,WAY,"","",https://www.coinopsy.com/dead-coins/wayguide/,
hack/swap,,SHOP,1,2017-2018-Swap,SHOP,"","",https://www.coinopsy.com/dead-coins/shopin/,
scam/volume,,ECOB,1,2016-Current,ECOB,"","",https://www.coinopsy.com/dead-coins/ecobit/,
scam token,,MNY,1,2017-2017,MNY,"","",https://www.coinopsy.com/dead-coins/monkey/,
scam coin,,BYZ,1,2017-2018,BYZ,"","",https://www.coinopsy.com/dead-coins/biyanzu/,
abandoned project,,PRIMU,1,2017-2018,PRIMU,"","",https://www.coinopsy.com/dead-coins/primulon/,
abandoned coin,,XDP,1,2014-2016,XDP,"","",https://www.coinopsy.com/dead-coins/dogeparty/,
failed ico,,MOI,1,2017-2018,MOI,"","",https://www.coinopsy.com/dead-coins/moirai/,
no exchanges,,NEWB,1,2016-2018,NEWB,"","",https://www.coinopsy.com/dead-coins/newbium/,
scam coin,,XC,1,2014-2017,XC,"","",https://www.coinopsy.com/dead-coins/xcurrency/,
scam ring,,POSIV,1,2017-2017,POSIV,"","",https://www.coinopsy.com/dead-coins/posinvestment/,
abandoned/scam,,Fal,1,2017-2017,Fal,"","",https://www.coinopsy.com/dead-coins/falcoin/,
scam/volume,,BOON,1,2017-2018,BOON,"","",https://www.coinopsy.com/dead-coins/boon-tech/,
failed ico,,HER,1,2017-2018,HER,"","",https://www.coinopsy.com/dead-coins/hearthy/,
abandoned,,DRACO,1,2016-2017,DRACO,"","",https://www.coinopsy.com/dead-coins/dt-token/,
scam coin,,LNK,1,2017-2018,LNK,"","",https://www.coinopsy.com/dead-coins/link-platform/,
scam token,,UAHPAY,1,2017-2018,UAHPAY,"","",https://www.coinopsy.com/dead-coins/uahpay/,
abandoned/removed,,LUNEX,1,2018-2018,LUNEX,"","",https://www.coinopsy.com/dead-coins/lunex/,
failed ico,,LOTC,1,2017-2018,LOTC,"","",https://www.coinopsy.com/dead-coins/coinbet/,
pump and dump,,ECASH,1,2017-Current,ECASH,"","",https://www.coinopsy.com/dead-coins/ethereum-cash/,
website down,,FC2,1,2014-Current,FC2,"","",https://www.coinopsy.com/dead-coins/fuelcoin/,
no volume,,COXST,1,2016-2018,COXST,"","",https://www.coinopsy.com/dead-coins/coexistcoin/,
volume/joke,,NYAN,1,2014-2018,NYAN,"","",https://www.coinopsy.com/dead-coins/nyancoin/,
failed ico,,KMC,1,2017-2018,KMC,"","",https://www.coinopsy.com/dead-coins/kumo/,
website/volume,,DRXNE,1,2017-2018,DRXNE,"","",https://www.coinopsy.com/dead-coins/droxne/,
low volume,,GEMZ,1,2015-2017,GEMZ,"","",https://www.coinopsy.com/dead-coins/getgems/,
abandoned project,,XBTC21,1,2016-2018,XBTC21,"","",https://www.coinopsy.com/dead-coins/bitcoin-21/,
failed ico,,WDZ,1,2017-2017,WDZ,"","",https://www.coinopsy.com/dead-coins/wardz/,
abandoned project,,TYCHO,1,2017-2018,TYCHO,"","",https://www.coinopsy.com/dead-coins/tychocoin/,
failed pre ico,,GEN?,1,2017-2017,GEN?,"","",https://www.coinopsy.com/dead-coins/genotik/,
abandoned/removed,,MQR,1,2018-2018,MQR,"","",https://www.coinopsy.com/dead-coins/mirq-coin/,
abandoned/removed,,LPA,1,2017-2018,LPA,"","",https://www.coinopsy.com/dead-coins/leporem-amans/,
development/abandoned,,VCN,1,2015-2017,VCN,"","",https://www.coinopsy.com/dead-coins/vcoin/,
scam coin,,KASHH,1,2016-2017,KASHH,"","",https://www.coinopsy.com/dead-coins/kashhcoin/,
no exchanges,,XGR,1,2014-2018,XGR,"","",https://www.coinopsy.com/dead-coins/goldreserve/,
dead ico,,COREX,1,2017-2017,COREX,"","",https://www.coinopsy.com/dead-coins/corex/,
abandoned,,NTR,1,2014-2015,NTR,"","",https://www.coinopsy.com/dead-coins/neutrino/,
website down,,HDLB,1,2017-Current,HDLB,"","",https://www.coinopsy.com/dead-coins/hodl-bucks/,
site down,,GAIA,1,2014-Current,GAIA,"","",https://www.coinopsy.com/dead-coins/gaia/,
volume/website,,EBT,1,2017-2018,EBT,"","",https://www.coinopsy.com/dead-coins/ebittree-coin/,
failed/joke ico,,XPRO?,1,2017-2017,XPRO?,"","",https://www.coinopsy.com/dead-coins/xproject/,
failed ico,,VENTANA,1,2017-2017,VENTANA,"","",https://www.coinopsy.com/dead-coins/veredictum/,
abandoned project,,FUTC,1,2015-2018,FUTC,"","",https://www.coinopsy.com/dead-coins/futcoin/,
inactive token,,CADASTRAL,1,2016-2017,CADASTRAL,"","",https://www.coinopsy.com/dead-coins/bitland/,
abandoned project,,RUBIT,1,2015-2018,RUBIT,"","",https://www.coinopsy.com/dead-coins/rublebit/,
failed ico,,COPY,1,2017-2018,COPY,"","",https://www.coinopsy.com/dead-coins/cryptocopy/,
low volume,,ECN,1,2017-2018,ECN,"","",https://www.coinopsy.com/dead-coins/e-coin/,
abandoned/scam,,HYTV,1,2017-2018,HYTV,"","",https://www.coinopsy.com/dead-coins/hyper-tv/,
no exchanges,,WGC,1,2016-2017,WGC,"","",https://www.coinopsy.com/dead-coins/world-gold-coin/,
doa/scam/issues,,DAO,1,2016-2017,DAO,"","",https://www.coinopsy.com/dead-coins/the-dao/,
no development,,AMBER,1,2014-Current,AMBER,"","",https://www.coinopsy.com/dead-coins/ambercoin/,
scam/premine,,DAV,1,2017-2018,DAV,"","",https://www.coinopsy.com/dead-coins/davorcoin/,
failed projects,,UCI,1,2014-2015,UCI,"","",https://www.coinopsy.com/dead-coins/ucicoin/,
volume/momentum,,TAG,1,2013-2018,TAG,"","",https://www.coinopsy.com/dead-coins/tagcoin/,
ditched project,,ANTI,1,2014-2018,ANTI,"","",https://www.coinopsy.com/dead-coins/antibitcoin/,
abandoned/removed,,MTI,1,2018-2018,MTI,"","",https://www.coinopsy.com/dead-coins/moving-towards-infinity/,
volume/abandonment,,VLTC,1,2016-2018,VLTC,"","",https://www.coinopsy.com/dead-coins/vault-coin/,
abandoned,,JNS,1,2017-2018,JNS,"","",https://www.coinopsy.com/dead-coins/janus/,
abandoned project,,ZNE,1,2016-2018,ZNE,"","",https://www.coinopsy.com/dead-coins/zonecoin/,
scam/failed ico,,WHA,1,2017-2018,WHA,"","",https://www.coinopsy.com/dead-coins/wha-project/,
scam token,,BTC2X,1,2017-2018,BTC2X,"","",https://www.coinopsy.com/dead-coins/bitcoin2x/,
no development,,MUI,1,2017-2017,MUI,"","",https://www.coinopsy.com/dead-coins/miyuCoin/,
failed ico,,ZNT,1,2017-2017,ZNT,"","",https://www.coinopsy.com/dead-coins/openzen/,
failed ico,,CAC,1,2017-2018,CAC,"","",https://www.coinopsy.com/dead-coins/casagram/,
abandoned project,,CAB,1,2016-2018,CAB,"","",https://www.coinopsy.com/dead-coins/cabbage/,
abandoned/removed,,MUN,1,2017-2018,MUN,"","",https://www.coinopsy.com/dead-coins/muncoin/,
no volume,,GIM,1,2017-Current,GIM,"","",https://www.coinopsy.com/dead-coins/gimli/,
co-developer died,,NAUT,1,2014-2018,NAUT,"","",https://www.coinopsy.com/dead-coins/nautiluscoin/,
abandoned project,,MOTO,1,2014-Current ,MOTO,"","",https://www.coinopsy.com/dead-coins/motocoin/,
volume/website,,SAK,1,2014-2017,SAK,"","",https://www.coinopsy.com/dead-coins/sharkcoin/,
short lived,,JPC,1,2014-2015,JPC,"","",https://www.coinopsy.com/dead-coins/jackpotcoin/,
scam token,,LTG,1,2017-2018,LTG,"","",https://www.coinopsy.com/dead-coins/litecoin-gold/,
low volume,,CORG,1,2014-Current,CORG,"","",https://www.coinopsy.com/dead-coins/corgicoin/,
failed ico,,INC,1,2016-2016,INC,"","",https://www.coinopsy.com/dead-coins/inchain/,
no traction,,HLB,1,2016-2017,HLB,"","",https://www.coinopsy.com/dead-coins/lepaoquan/,
no volume,,LDCN,1,2016-2018,LDCN,"","",https://www.coinopsy.com/dead-coins/landcoin/,
swapped ico,,SAN,1,2017-Swap,SAN,"","",https://www.coinopsy.com/dead-coins/san-coin/,
no exchanges,,LTH,1,2016-2018,LTH,"","",https://www.coinopsy.com/dead-coins/lathaan/,
abandoned project,,TCR,1,2016-2018,TCR,"","",https://www.coinopsy.com/dead-coins/thecreed/,
scam coin,,XMRG,1,2017-2018,XMRG,"","",https://www.coinopsy.com/dead-coins/monero-gold/,
pump and dump,,DDF,1,2017-2018,DDF,"","",https://www.coinopsy.com/dead-coins/digitaldevelopersfund/,
project error?,,SAY,1,2017-2018,SAY,"","",https://www.coinopsy.com/dead-coins/spherepay/,
abandoned/scam,,KRS,1,2017-2017,KRS,"","",https://www.coinopsy.com/dead-coins/krypstal/,
inactive token,,NXX,1,2017-2017,NXX,"","",https://www.coinopsy.com/dead-coins/nexxus/,
abandoned/removed,,LTX,1,2018-2018,LTX,"","",https://www.coinopsy.com/dead-coins/litex/,
abandoned project,,LTCR,1,2015-2018,LTCR,"","",https://www.coinopsy.com/dead-coins/litecred/,
failed ico,,TDN,1,2017-2018,TDN,"","",https://www.coinopsy.com/dead-coins/truedonate/,
failed ico,,??,1,2017-2018,??,"","",https://www.coinopsy.com/dead-coins/zeneca/,
abandoned project,,SPORT,1,2016-2018,SPORT,"","",https://www.coinopsy.com/dead-coins/sportscoin/,
abandoned project,,BAC,1,2015-2018,BAC,"","",https://www.coinopsy.com/dead-coins/bitalphacoin/,
swap/abandoned,,BTCRP,1,2018-2018,BTCRP,"","",https://www.coinopsy.com/dead-coins/bitcurrency-pro/,
abandoned project,,OS76,1,2015-2018,OS76,"","",https://www.coinopsy.com/dead-coins/osmiumcoin/,
website/abandonment,,Pulse,1,2015-2018,Pulse,"","",https://www.coinopsy.com/dead-coins/pulse/,
abandoned/removed,,LUQ,1,2018-2018,LUQ,"","",https://www.coinopsy.com/dead-coins/lunique/,
abandoned project,,HMP,1,2014-Current,HMP,"","",https://www.coinopsy.com/dead-coins/hempcoin/,
pump and dump,,AXIOM,1,2015-2017,AXIOM,"","",https://www.coinopsy.com/dead-coins/axiom/,
joke/volume,,HODL,1,2016-2018,HODL,"","",https://www.coinopsy.com/dead-coins/hodlcoin/,
abandoned token,,IOU,1,2017-2017,IOU,"","",https://www.coinopsy.com/dead-coins/iou1/,
abandoned project,,FIT,1,2017-2018,FIT,"","",https://www.coinopsy.com/dead-coins/fitcoin/,
website down,,BLOCKPAY,1,2016-Current,BLOCKPAY,"","",https://www.coinopsy.com/dead-coins/blockpay/,
abandoned project,,TRICK,1,2016-2018,TRICK,"","",https://www.coinopsy.com/dead-coins/trickycoin/,
failed ico,,DF?,1,2017-2017,DF?,"","",https://www.coinopsy.com/dead-coins/dropfoods/,
pump and dump,,VIP,1,2016-2018,VIP,"","",https://www.coinopsy.com/dead-coins/vip-tokens/,
inactive token,,LEEK,1,2017-2018,LEEK,"","",https://www.coinopsy.com/dead-coins/leek-coin/,
volume/social,,GLC,1,2013-2018,GLC,"","",https://www.coinopsy.com/dead-coins/globalcoin/,
code errors,,SCN,1,2016-2017-Swap,SCN,"","",https://www.coinopsy.com/dead-coins/swiscoin/,
