cat1,cat2,name,raised,desc,ticker,start,end,www,,
Banking,,joys,0.27985,"Joys is a service of legal payments for goods and services in all cryptocurrency. Joys represents an open global blockchain platform that allows adding nearly any cryptocurrencies and tokens as a mean of payment. Many companies use blockchain for cryptomoney payments in many fields from interbanks transactions to personel p2p payments: CoinBase, BitPay, Coinify, PundiX, Bitwala, Wirex, Blockchain Merchant, LoyaltyX, LoyalCoin etc. The frequent problem of many projects is the violation of many countries law in cryptocurrency turnover. The second is the necessity to install the special equipment for POS or the absence of automatic registration for sales and payments. And the third one is limited field of application such decisions in retail. Joys solving this tasks applies technology of digital coupons and other means, it makes purchasing by cryptocurrency legal. Market analysis proves that Joys is a unique cryptocurrency project because of its wide application.",JOYS,21st Jun 2018,10th Apr 2018,https://joys.digital,Russia,https://download.joys.digital/docs/JOYS_White_Paper-EN.pdf
Banking,,minitcredit,,"DEVELOPMENT OF THE SITE PROTOTYPE in real time CREATE A COMPANY ON MICRO CREDITING All profits will be shared between all investors. INVESTMENT IN MICRO CREDITING The microcredit market is a safe investment. Rapid growth. Big profit. Profit 100-150% HOW IT WORKS When you buy a MINIT token, you are selling the company’s stock. MINITCREDIT, which give the right to dividends. Credit cards Issuance of physical credit cards is planned. As well as an affiliate program to distribute them.",minit,15th Sep 2019,15th Oct 2019,https://minitcredit.com/en,Russia,https://minitcredit.com/en/white-paper/
Banking,,sofin,1.302414,"SOFIN (Social Financial Network) — the international fiat P2P-lending online service based on blockchain. This marketplace platform, that brings creditors and borrowers together: Creditor — individuals, banks, microfinance organizations and funds; Borrower — individuals, entrepreneurs, and organizations. The foundation of our platform is the legal purity of the loan agreements. We will check the borrower through credit scoring and the full verification system (ergo contacting the borrower, the employer, etc.) and the request of credit histories from the credit bureaus. Depending on the responses received, each borrower will be given a certain ranking. When registering for the service, each client provides scanned copies of their identification documents (Passport, TIN, IIAN) and passes verification. We will also check the data that was provided to transfer the funds: for example, verify a credit card.",SOFIN,15th Jan 2018,15th Jul 2018,http://sofin.io,,
Banking,,stocks.bet,,"First Blockchain decentralized application to hedging risk on the Stock Exchange when the markets are closed. Application based on the deployed open source Ethereum smart contract for betting on the price of NASDAQ listed stocks. This contract control the funds, calculate the best performing stocks and prepare reward for the winning users to collect.",STBT,25th Mar 2018,30th Jun 2018,http://stocks.bet,Russia,http://stocks.bet/assets/pdf/whitepaper.pdf
Big Data,,heartbout,,"HeartBout is a social network with a decentralized, blockchain-based incentive system. Users participate in creation and promotion of content and receive rewards in the form of HBC cryptocurrency. HeartBout social network monetizes user activity in the form of publications, voting or commenting, thus supporting HBC emission by creating advertising opportunities. HBC tokens can be spent on promotion of a publication (advertisment). It will also be possible to withdraw your coins to an accredited exchange with subsequent exchange for other currencies.",,1st Apr 2018,30th Jun 2018,https://heartbout.com,,
Big Data,,letstrip,,"Mobile application with own cryptographic wallet, the first decentralized advertising exchange and a blockchain-based multilingual software service for integrating various content.",LetsTrip / LST,20th Apr 2019,28th May 2019,https://letstrip.io,Russia,https://letstrip.io/wp-content/uploads/2019/04/Whitepaper_LST.pdf
Big Data,,patentico,,"The goal of Patentico is to create an open, reliable and convenient platform for successful international commercialization of Intellectual Property. The blockchain ecosystem Patentico will store the objects Intellectual Property, and their authors may receive investments from all over the world thanks to the built-in platform crowdfunding. The Patentico platform runs on PTO tokens and their holders will receive part of the profit from the realization projects in the Patentico ecosystem.",PTO,1st Aug 2019,1st Sep 2019,https://patentico.io,Russia,https://patentico.io/pdf/whitepaper-eng.pdf
Business services,,adex,10,"AdEx is a blockchain-based ad exchange aiming at disrupting the existing online advertising landscape and address its significant problems: advertising fraud, privacy and consent to receiving sponsored messages, etc.",ADX,30th Jun 2017,30th Jun 2017,https://www.adex.network,,
Business services,,affchain,,AFFCHAIN introduces first blockchain-based affiliate protocol to eliminate the need of trust to potentially unfair middle-man and to help build partnership relations in the $10 b affiliate industry. All sides benefit from clear reward distribution.,AFF,16th Oct 2017,30th Oct 2017,https://affchain.io,,
Business services,,armpack,,"First decentralized eco-system created to protect against counterfeiting and to communications “B-to-C”, which will allow you: — to save to the manufacturers/brands up to $50 billion a year; — to protect millions of people from counterfeit goods; — to maintain feedback with customers and encourage purchases by using ARMcoin; — to companies to produce their own tokens on the ArmPack blockchain; — to use private or public blockchain for business processes of the companies, for side projects/applications.",ARM,31st Jan 2018,30th Apr 2018,https://armpack.io,Russia,https://armpack.io/assets/doc/wp_eng.pdf
Business services,,aurum,,"Online marketplace and auction of jewelry and watches with an opportunity of appraisal by the Aurum service centers specialists. Aurum is franchise, which services jewelry and watches all over the world A joint project between experienced blockchain developers and professionals in the jewelry and watch services.",AURUM,5th Nov 2018,31st Dec 2018,https://aurum.services,Russia,https://aurum.services/file/Whitapaper_Aurum_English.pdf
Business services,,beeqb,2.2,"We develop BeeQB - a universal platform for managing the business of trade in goods and services, based on the technology of blockchain and smart contracts. Our service will allow companies around the world, with minimal costs and expenses, to legally accept the crypto currency for payment for their goods and services. And all this in one click. The technology of blockchain will ensure 100% safety and will become a universal link in the trade between companies from around the world. The main currency of a free market economy will be a BEE.",BEE,29th Nov 2017,29th Dec 2017,http://beeqb.com/ico,,
Business services,,bounty angels,,"Our task is to create the platform that will automatically control activities of the Bounty Hunters and calculate their remuneration, automatically upload a report for the distribution of tokens and define efficiency and input of each Bounty Hunter into the campaign. Apart from development of advertising tools, the platform will create an easily accessible pool of qualified advisors, software developers, designers and other specialists necessary to implement a project We do not start a revolution; we do not change the world. We create a highly demanded market product; we will do something that helps blockchain community gain reputation and money and improve lives of many people. Simplicity. Quality. Fair reward. These are Bounty Angels key points. Main features of Bounty Angels Platform are: training guidelines, rating system for involved hunters, automatic search of activities, very strict selection process for projects, option of professional audit and building strategies for projects, bounty reward in tokens is higher than a reward on freelance marketplaces.",BANG,19th Nov 2018,19th Dec 2018,https://bountyangels.com,Russia,https://bountyangels.com/files/whitepaper_en.pdf
Business services,,callback plus,,"Decentralized telecommunication service with encryption, routing of communication channels, telephone anonymizer function and functional for business and individuals, connecting the most promising technologies and markets in the telecommunications sector. We are positive that this gives us the opportunity to become leaders in the industry, with a variety of solutions that are suitable for both private use and office business platforms. We have already finished the working version of the basic software, which is actively tested and goes into operational mode. The first indicators demonstrate a high degree of customer loyalty.",CBP,1st Mar 2018,31st Mar 2018,https://ico.callback.plus,Russia,https://ico.callback.plus/files/whitepaper/en.pdf
Business services,,cryptolink network,,"The Crypto LINK Network provides smart contracts with data, bank payments and access to APIs. We're Solving the Connectivity Problem, a Key Limiting Factor for Smart Contract Usability. As developers begin to implement their chosen smart contract, they encounter the connectivity problem; their smart contract is unable to connect with key external resources like off-chain data and APIs. This lack of external connectivity is due to the method by which consensus is reached around a blockchain's transaction data, and will, therefore, be a problem for every smart contract network.",CLN Token,6th Aug 2018,16th Oct 2018,https://cryptolink.services,Russia,https://drive.google.com/open?id=10K0Gz0IQRwA7_x9k0aruVWIFwmwxrvEC
Business services,,darfchain,,"[DARF] Chain is the robust state of the art technology integrated solution for business planning, resource management, accounting and analysis resources. It is implemented on the modern and the most promising blockchain software platform and utilizes the semantic constructor of Smart-contracts to allow projects and communities financing and development.",DARF,1st Nov 2017,23rd Dec 2017,http://www.darfchain.com,,
Business services,,docnota,,"Docnota is an intelligent platform that operates with legally significant documentation. It provides quick access to documents from a semantically distributed database. It allows you to create new databases based on ready-made templates and analyze data for errors and inconsistencies according to standards and legislation or rules. All information inside the system has a special semantic markup, which ensures its machine processing: editing, searching, storing, etc. The micro-service architecture and API allow you to develop new applications to work in the existing paradigm.",DCNT,1st Apr 2018,30th Apr 2018,https://docnota.io,,
Business services,,ekspa,0.05,"Ekspa is not just a web application, it is a multi-faceted platform that will allow, on the one hand, to connect customers and suppliers without intermediaries, providing a basic service, the use of the platform for free, that is, according to the Freemium model. On the other hand, it will allow advertisers and investors to quickly find the target audience. Thus, the main task - to search on the platform and establish contacts will be free, allowing you to attract as many users to the application. While any user based on the use of the premium package will be able not only to use the platform, but also to further shape web marketing operations in the application, for example, to run advertising in the selected industry.",EKSPA,1st Aug 2018,31st Aug 2018,https://ekspa.io,Russia,https://ekspa.io/doc/whitepaper-en.pdf
Business services,,ewa,1.26,"EWA enables to purchase and possess the newest conditioning system at 15% discount from the market value. EWA offers a financial instrument format, which enables users to finance construction of an innovative plant easily, anonymously and safely without any expenses for mediators, arrangement of transactions and excluding technical and other barriers.",EWA,9th Dec 2017,31st Dec 2017,http://ecowaterair.io/eng,Russia,https://drive.google.com/file/d/15QuLdT0WTH_bwPtysTX7KUPsNFABfaZV/view?usp=drive_open
Business services,,holiday,,"With the improvement of Blockchain technology and the increase in the projects that can be implemented in real life, we anticipate that crypto currencies will substitute credit cards and the banking transactions in the near future. Either the credit cards or the other banking transactions charge high commissions and transaction fees for both the customers and the businesses, as well as making both parties spend time due to transaction procedures. The purpose of our group is to be the pioneer in the real-life use of crypto-currencies through our online booking platform, www.tripbycoin.com, which is compatible with BlockChain infrastructure, by using neo blockchain assisted holiday token, and to offer a secure and commission-free booking process by removing the agencies, banks, and credit card intermediaries between the customers and the hotel operators. Another problem in the online booking sector is that the agencies between the customer and the operator work with a high-profit margin. Only the brokerage service causes the price to increase up to 15-40%. Using the platform and token infrastructure that we have developed, we aim to decrease the share of agencies in the sector to 0% and make the enterprises earn more and the customers stay for more affordable prices.",Holiday Coin,15th Dec 2018,15th Feb 2019,https://hldycoin.com,Russia,https://hldycoin.com/hldyicox/assets/img/wps/2018.06.13_holiday_coin_web_brochure.pdf
