cat1,cat2,name,raised,desc,ticker,start,end,www
Investment,,presale ventures,,"PreSale Ventures is a Virtual Decentralized Venture Fund and the next generation funding platform for the blockchain startups on the presale stage. PreSale Ventures’ ultimate platform was designed to simplify the process of choosing the Presale Events of the most powerful Blockchain startups by giving the early access to token generation events through exclusive presale terms. PreSale Ventures Brings Together the Most Promising and Exciting New Blockchain Startups with a Group of Passionate and Visionary Members. Get exclusive early–stage access to legitimate Blockchain funded projects, on a highly discounted seed stages, before their Token Generation Event. Enjoy up to 60% discounts on the future ICO tokens issued by the qualified Blockchain startups. The astounding opportunities previously reserved for highly networked and high net–worth individuals are made available to our Members. Tomorrow’s Blockchain Startups at Your Fingertips! The potential is limitless.",ENT Token,15th Nov 2018,15th Jan 2019,https://presale.ventures,Israel,https://imo.presale.ventures/white_paper
Media,,snip,8.0,"Giant media publishers control what we read, and maximize profits. Our time is wasted on long articles cluttered with ads, and it's almost impossible to avoid click-bait. Introducing Snip - News on the Blockchain. Snip is a decentralized network powered by content creators and optimized by AI. Read short and concise content curated around your personal interests. Never miss a story you care about again and filter out the noise.",SNP,27th Sep 2017,27th Oct 2017,https://www.snip.network,Israel,https://media.snip.today/Snip_Whitepaper_en.pdf
Platform,,bancor,153.0,"The Bancor protocol is a standard that allows anyone to easily create completely liquid “smart tokens” that calculate their own prices & enable a single party to convert any token to another, without requiring a second party to exchange with. Thereby enabling the long-tail of completely liquid cryptocurrencies. Smart tokens hold other tokens in reserve, and can be used as decentralized token baskets (like ETFs), token changers (like shapeshift), project & protocol tokens (like GNT & REP), community currencies (like Ithacash & reward miles), and a lot of other use cases. The BANCOR network token will hold a single reserve in Ether. Other smart tokens, by using BANCOR as (one of) their reserve(s), connect to the BANCOR network. The BANCOR network token forms a monetary structure where increased demand for any of the network’s smart tokens drives up the value of the common BANCOR token, benefiting all other smart tokens holding it in reserve.",BNT,12th Jun 2017,12th Jun 2017,https://www.bancor.network,Israel,https://www.bancor.network/static/bancor_protocol_whitepaper_en.pdf
Platform,,coindash,7.0,"CoinDash is a crypto based portfolio management platform for both new and experienced traders. The platform provide its user with adequate tools to manage and maximise their portfolios.The first layer of the platform is tools for managing and analysing users performances in relation to the market and other traders. The platform takes the user's public key (address) and traces back all the transactions he made attaching them with real time price quotes ending up showing clean output of his holding and trades with a feedback about his trading results.The second layer of the platform is Social trading features. Users can follow others to see their position, trades and holding and even use Copy trading and Copy ICO tools using smart contracts.The third and last layer is making CoinDash a whole marketplace for secondary markets.The CoinDash platform is now being tested by 50 beta testers from its community and is about to release a public beta before the token sale.",CDT,17th Jul 2017,17th Aug 2017,https://www.coindash.io,Israel,https://www.coindash.io/wp-content/uploads/2017/05/CoinDashwhitepaper-v0.3-051317.pdf
Platform,,colu local network,23.0,"Colu has been an active player in the blockchain space since 2012. Our digital wallet app was launched in early 2017 and is now operating in 4 cities in the UK and Israel with 100K users and more than 70K monthly transactions. We are now adding the ability for any community to create a localized currency and use it as a reward for local consumption. The CLN is a payment system that is powered by everyday consumption. The network allows communities to issue their own currency and use it to incentivise merchants and consumers for buying and selling locally with fiat. The CLN aims to utilize the power of cryptocurrencies to create a better, more transparent payment system and strengthen the sense of mutual responsibility in the community. This encourages local spending and keeps more money circulating in the community, thus multiplying the local economic activity. The CLN token is the first currency attached to real life consumption. The token will be issued on the Ethereum network as an ERC-20 token and will provide access to the CLN network and will enable communities to bootstrap. It will also represent an index value of the community currencies issued on the network and provide instant liquidity to new currencies.",CLN,14th Feb 2018,18th Feb 2018,https://cln.colu.com,Israel,https://cln.colu.com/pdf/colu_whitepaper.pdf
Platform,,dopamine,,"The dopamine network is a decentralized global platform for data providers and data processors to monetize their IP. Envisioning the future data industry as a global, cooperative and decentralized industry, the dopamine network is the pipeline for rewarding the various players in such an ecosystem, gradually introducing a new type of data processing economy.",DOPA,17th Jan 2018,31st Jan 2018,http://dopamine.ai,Israel,http://dopamine.ai/wp-content/uploads/2017/09/Dopamine-Whitepaper-v1.pdf
Platform,,e4row,0.4,"E4ROW's mission is to aggressively expand the universe of Ether users by bringing Ether-based apps to the global online/mobile gaming markets. The E4ROW contract that is at the core of these apps enables players to bet and win Ether in a secure and transparent manner. These fun games will introduce Ether to millions of new users, thus increasing the overall adoption, viability and value of Ether.",E4ROW,2nd May 2017,23rd May 2017,,Israel,http://doc.liveplayergames.com/docs/CCOD.pdf
Platform,,idtechnology,,"ID is a completely new system for identification in services, data gestion, but also include a complex cryptage technology for storing Data. ID is an open source protocol (everyone can create his own client) and provide a new source of revenue on the internet for developers and users, simply by selling their data.",Lika,15th May 2018,15th Jun 2018,https://www.likacoin.io,Israel,https://drive.google.com/file/d/1piaOmfi7wld5Od-3i0GyR1PuvX7f4hxr/view
Platform,,matchpool,5.8,"To make the world more synchronistic and connected within communities by creating a fair, incentivised based community platform that will enable anyone to open their own community inside the network. An internal reward mechanism will help facilitate connections in a positive way.",GUP,2nd Apr 2017,4th Apr 2017,https://matchpool.co,Israel,http://matchpool.co/wp-content/uploads/2016/12/Matchpool_Whitepaper_140117.pdf
Platform,,spheris,,"Spheris is grounded in the idea of decentralized application acquisition. An ecosystem where software developers have a direct gateway to reach new markets of consumers, with the ability to provide diverse ways of value exchange, securely and anonymously. Spheris aims to be the missing link between developers and consumers who are interested in purchasing or leasing software. Embracing decentralization will break the convention of having the need for third-party entities who collect fees on transactions. Removal of corporate entities, such as credit card companies and banks, becomes possible coincidentally with maintaining core interests of both developers and consumers.",SPRS,19th Sep 2017,19th Oct 2017,https://spheris.io,Israel,https://spheris.io/spheris_whitepaper.pdf
Platform,,synereo,4.7,"The Synereo model balances the individual and the collective will with a combination of attention-based currency that can be used to enforce individual will, AMPs and an attention-based measure of the collective will, Reo. AMPs are blockchain based tokens that can be used to amplify the reach of a specific piece of content, while Reo automatically manages the importance of the content according to the behavior and reputation of the users.",AMP,18th Sep 2016,18th Oct 2016,http://www.synereo.com,Israel,https://docs.google.com/document/d/1xmRvAjJEQ72-sR9luS34TG0BOpPn_6ztZjYBFCByKxo/edit
Platform,,voconetwork,3.524057,"VOCO platform is a blockchain-based referrals, rewards, and loyalty program platform connecting vendors to customers. On this social-driven platform, anyone can earn VOCO Tokens as rewards for a multitude of things, such as promoting a product, a service, or a vendor, or in the form of a discount while buying a specific product or service. Moreover, users can also earn rewards for promoting related chat contacts on one’s chat wall, a significant differentiating feature with a lot of potential. The basic and most powerful usage of the VOCO platform is web hosting with a built-in Chat. VOCO Platform can supply a subdomain (URL) with each an every registered account.",VOCT,2nd Sep 2018,1st Jan 2019,https://www.vocotoken.com,Israel,https://docs.google.com/document/d/118Zkw6UEeYYVlmEf0udAxh-A0D7lclDQZ-hvyr4sARA/edit#
Platform,,wemark,,"Wemark is the blockchain-based marketplace for digital content, starting with photos.",WMK,16th Jul 2018,27th Jul 2018,https://tge.wemark.com,Israel,https://www.wemark.com/whitepaper
Smart Contract,,bancacy,,"Bancacy is a innovative and decentralized digital asset class that is establishing new form of Money. The ecosystem utilize BNY/XBNY Cryptocurrencies for Asset Solidification, Investments and Passive Income in aspiration to deliver fully independent and immutable Digital Money powerd by the Blockchain. Bancacy (BNY) is solving Two primary problems in our current Cryptocurrencies ecosystem: Insufficient Trading Liquidity - traders often find themselves incapable of profit realization after investing in Cryptocurrency assets. Market Volatility - due to the immaturity of the Cryptocurrency ecosystem, extensive value fluctuations occurs in the newly tradable asset. Registered in Israel with legal opinion of Maltese law firm. Legal Opinion- https://drive.google.com/file/d/0Bz9vr7WT8L3QbWZsTlF3VXNrMy00dmVlQ3hHd0RENmp1aS1n/view?usp=drivesdk Incorporation certificate- https://drive.google.com/file/d/1AfFdFNHs6uA6pnyQ3vIUg4jdjUynQHYw/view?usp=drivesdk",BNY,7th Sep 2019,14th Sep 2019,https://www.bancacy.com,Israel,https://www.bancacy.com/Bancacy-Whitepaper.pdf
Sports,,gomineworld,,"The main purpose of GoMineWorld™ is that people will be able to earn a cryptocurrency by means of movement, which in the future can be exchanged for real money. We will start production of unique fitness bracelets. The person who will have such a bracelet will receive tokens, the number of which is proportional to the number of kilometers they have traveled. This will help all to understand the value of the cryptocurrency, the simplicity of its use and the importance of movement for a person.",GMW,7th Oct 2017,7th Nov 2017,,Israel,
Sports,,indigo racing,,"Indigo Racing Organization is building the first in the world entry-level electric racing car that will form series of competitions around the world as supporting racing series for Formula E. We want to become one of the major makers of electric open wheel single seater (Formula) cars that will be in great demand in the nearest future.",INDIGO,1st Nov 2017,1st Dec 2017,,Israel,https://drive.google.com/file/d/0B2M5GvMs6QeWYzMyS0dkZFBhTFE/view?usp=sharing
Tourism,,cool cousin,9.743582,"Launched in 2016, Cool Cousin is a VC-backed travel company, used by over 500K travelers worldwide. Crowned as an up-and-coming travel service by New York Times, Guardian, USA Today, National Geographic and TechCrunch, Cool Cousin enjoys monthly double-digit growth and is well positioned to become a major player in the $2.3 trillion travel industry.",CUZ,3rd Apr 2018,5th Jun 2018,https://www.coolcousin.com/ico,Israel,https://www.coolcousin.com/ico/coolcousin-whitepaper.pdf
