cat1,cat2,name,raised,desc,ticker,start,end,www,,
Artificial Intelligence,,deeptoken,,"DeepToken is the world’s first digital asset exchange dedicated to AI industry with an innovative ‘’Voting is Mining’’ mechanism. It aims to discover quality tokens in the AI industry. DPT is a token issued by DeepToken Exchange, it is the basis for organizing the platform’s ecosystem building and community autonomy.To participate in token sale you need to conduct KYC.",null,16th Sep 2018,28th Nov 2018,https://deeptoken.org,Singapore,https://www.deepbrainchain.org/assets/pdf/DeepTokenWhitepaper_en.pdf
Artificial Intelligence,,distichain,,"Distichain is an AI and Blockchain integrated secure B2B e-commerce ecosystem brings a network of buyers, sellers, banks, logistics providers, and insurance companies together to create end to end transactions seamlessly and securely",Disticoin,1st Dec 2019,31st Dec 2019,https://www.distichain.com,Singapore,https://distichain.com/wp-content/uploads/2019/09/Distichain-White-Paper-Sep-2019.pdf
Artificial Intelligence,,ekkbaz,,"EkkBaz, led by an ex-Microsoft, will be developing BAZ Protocol - a next-generation B2B collaboration for $8.5 Trillion FMCG businesses as part of its battle-tested EkkBaz Business mobile app, to be powered by blockchain, artificial intelligence, social and collaborative technologies to significantly simplify B2B interactions, reduce middlemen and empower the root level business users in the world. BAZ Protocol uses EKK, which will power transaction and give business users access to privileged features.",EKK,25th Jun 2018,9th Jul 2018,https://ekkbaz.com,,
Artificial Intelligence,,elamachain,,"ELAMACHAIN is an emotional AI platform integrating blockchain technology and AI services to meet the needs of individual users and businesses in connection with existing ecosystem. ELA Coin(ELAC) fuels that ecosystem built on AI designed to answer human emotions, while it provides maximized utility to users of ELAMACHAIN platform. ELAMACHAIN’s ecosystem and scalability covers the territory of the “real-world” untouched by precedent blockchain projects, ranging from application of AI services and practical – and convenient – usage of cryptocurrency in daily lives and businesses.",ELAC,6th Aug 2018,1st Oct 2018,https://www.elamachain.io,Singapore,https://www.elamachain.io/assets/files/ELAmachain_Whitepaper_en.pdf
Artificial Intelligence,,fetch.ai,6.0,"Fetch.AI aims to create a decentralized digital network that facilitates an infinite number of marketplaces and user interactions and acts as a conduit for a new world of economic activity. Fetch.AI is built using an extended version of distributed ledger technology (DLT), and incorporates Artificial Intelligence (AI) and Machine Learning (ML) technology, combined with advanced measures of a trust protocol, to create a platform where autonomous software agents, working on behalf of their stakeholder (human owners, organisations, corporations) perform tasks such as delivering data or providing services.",FET,25th Feb 2019,25th Feb 2019,https://fetch.ai,Singapore,https://fetch.ai/technical-introduction
Artificial Intelligence,,oasis city,,"Oasis City is the worlds first fully immersive VR platform that will offer the users a chance to participate in a globe-spanning blockchain-based ecosystem.",OSC,21st Jan 2019,20th Mar 2019,https://www.oasiscity.io,Singapore,https://oasiscity.co.kr/pdf/white_en.pdf
Artificial Intelligence,,parcelx,6.0,"Logistics is an industry of efficiency, scale, and most importantly: trust. A single cross-border parcel may be scanned dozens of times along its journey from origin to destination. These scans are the critical point of handover for transactions and payments, and enable consumers to track their package. Effective and economic coordination among individual nodes to reliably deliver parcels to their destination is the core competitive advantage for any delivery service. The Global Parcel Network (ParcelX) vision is to create a world where anyone can be a trusted member of the cross-border parcel delivery ecosystem through revolutionary blockchain technology.",GPX,1st Aug 2018,1st Nov 2018,http://parcelx.io,Singapore,http://parcelx.io/ParcelX%20Whitepaper-EN.pdf
Artificial Intelligence,,plaza systems,7.60872,"We are a systems integration company. Through the intelligent integration of established and emerging technologies, we are developing a “freedom lifestyle” product based on cryptocurrencies and the blockchain that is more convenient, more private, more liberating, more rewarding, less expensive, and just as secure as the lifestyle you enjoy now. We do all this via five user-friendly touchpoints: the PlazaCard™, Plaza Merchants, PlazaDesktop™ and PlazaMobile™ applications, and the PlazaConcierge™. Every seamless cryptocurrency transaction you initiate via one these touchpoints securely synchronises with your state-of-the-art PlazaWallet™.",PLAZA,4th Oct 2018,28th Feb 2019,http://www.plaza.systems,Singapore,https://docsend.com/view/xwq594p
Artificial Intelligence,,proximax,25,"ProximaX is an advanced extension of the Blockchain and Distributed Ledger Technology (DLT) with utility-rich services and protocols, powered by #NEM blockchain. ProximaX combines blockchain, storage, streaming and an advanced consensus algorithm to enable a rich, all-in-one platform for broader cross-industry application and decentralized app development.",XPX,15th Apr 2018,25th Apr 2018,https://proximax.io,Singapore,https://proximax.io/ProximaX-White-Paper-1.2-2018-03-21A.pdf
Artificial Intelligence,,ricona,,"Ricona Coin is a REVOLUTION in peer to peer decentralized transactions with ability to lend Or trade in multi Cryptocurrencies. Whether it's Bitcoin, Litecoin, Ethereum Rippls or Other Crypto Currency. Our Unique staking and lending platform makes you earn Daily Interest in your desired CryptoCurrency.",RCA,11th Feb 2018,15th Mar 2018,https://www.ricona.io,Singapore,https://www.ricona.io/Ricona-Whitepaper.pdf
