cat1,cat2,name,raised,desc,ticker,start,end,www,,
Banking,,harbour dao,,"Harbour is a community-governed, Ethereum-based DAO (Decentralized Autonomous Organization) for managing and holding token assets by harnessing the wisdom of the crowd. All decisions are taken by the users and any generated Ethereum is distributed back to the token holders in a quarterly basis.",HRB,1st Aug 2017,29th Aug 2017,https://harbour.tokenate.io,,
Banking,,iuno,3,"IUNO is banking as a service built on top of a multi-currency wallet that resides on a blockchain. It provides access to all kind of financial services to the users of the IUNO wallet: payments can be sent to other users instantaneously all over the world, funds can be held in the wallet or can be invested and earn interest, debit cards can draw funds from the wallet, and users can obtain loans.",IUNIT,17th Jul 2018,16th Nov 2018,https://iuno.io,Germany,https://s3.amazonaws.com/iuno/iuno-whitepaper.pdf
Banking,,karatgold coin (kbc),100,"We are the first and only world-trading company that has been passionate about bringing physical gold as a payment method, including CashGold, to market. This is the way to combine the money with true gold with a real value. With over 480,000 affiliates already, the company has a huge community of people who believe in this vision and live every single day this way.",KBC,15th Feb 2018,15th Apr 2018,https://karatgold.io,,
Big Data,,azultec,,"We want to offer you the easiest way to earn cryptocurrencies. In order to do that, we created the azultec Cube, a state-of-the-art mining computer. With the Cube, you can earn cryptocurrencies through mining, by being part of our decentralized cloud storage solution and by joining our cloud computing network. The best part: the Cube uses renewable energy and recuperates the generated heat – making the Cube environmental-friendly.",AZU,20th May 2019,20th Oct 2019,https://azultec.de,Germany,https://azultec.de/wp-content/uploads/EN_azultec-White-Paper.pdf
Big Data,,bigtangle,,"Only a solution with a parallelizable architecture and an implementation based on Big Data technology can achieve all of the aforementioned properties at the same time. Without sufficient scalability and cost-performance, a cryptocurrency network cannot achieve ubiquity and become standard. BigTangle is a cryptocurrency network extending directed acyclic graph architectures with Markov Chain Monte Carlo (MCMC) as a consensus algorithm and distributed Proof-of-Work. Through the use of industry standard big data technology in conjunction with the parallelizable architecture, BigTangle is a successor to conventional blockchains in the sense that it generalizes existing blockchain and smart contract architectures and makes them usable on a global scale. BigTangle focuses on economically important key use cases. Custom token issuances, market exchanges, mining and smart contracts are supported. BigTangle is very similar to family trees with MCMC as natural selection process.",BTT,15th Nov 2018,15th Mar 2019,https://bigtangle.net,Germany,https://bigtangle.net/bigtangle.pdf
Big Data,,cartographeum,,"Specially dApps will be integrated in GPS devices to connecting and verifying data into the blockchain. The GPS blockchain is automatically and dynamically managed by proof of location automatism and geo-finding for load distribution, fraud detection and network operations. Cartographeum blockchain guarantees 100% verified transmission of any GPS signals (blockchain proofed GPS).",CARTO,1st Mar 2018,1st Sep 2018,http://www.cartographeum.com,Germany,https://cartographeum.com/whitepaper
Big Data,,personal data democracy,12.733,Opiria is revolutionizing the way companies do market research by creating a central marketplace for companies to buy personal data directly from consumers without a veiled middleman and in a fully transparent and cryptographically secure way.,PDATA,1st May 2018,5th Jul 2018,https://www.opiria.io,,
Business services,,chrypto,,"Chryp.to is a social network aiming to bring crypto players closer together and to leverage mass adoption of blockchain applications. A plethora of features create an all in one platform for all needs of the decentralized world. Powered by Authoreon.io, Chryp.to also aims to be the largest showcase of ready to use blockchain applications from ALL blockchain companies. We believe that only as a team effort blockchain companies can prepare the ground for early mass adoption and shape an ecosystem, in which they can succeed.",CHRYPTO,15th Oct 2018,7th Apr 2019,https://www.chryp.to,Germany,https://www.chryp.to/downloads/Chrypto_Whitepaper.pdf
Business services,,copytrack,17.47074,"Digital content management faces two types of challenges – those faced by users and those faced by rights-holders. Users often misunderstand the usage of digital images online and the corresponding licensing options. On the other hand, rights-holders have few or no methods to prove ownership of original content and derivative work. Also, they often have inadequate tools to track the usage of their copyrighted images and identify violations. Both users and rights-holders are faced with the challenge of reducing the cost of payments, and these costs are invariably added to price of use-rights. In addition, both groups struggle with facilitating seamless and timely settlement of payments.",CPY,10th Dec 2017,10th Feb 2018,https://copytrack.io,,
Business services,,intrachain,,"Intrachain is the world's first process mining software with integrated blockchain. Compatible with all IT infrastructures, Intrachain centralises and streamlines your intercompany accounting, reducing your costs and increasing productivity.",ICT,3rd Dec 2018,30th Dec 2018,http://www.intrachain.io,Germany,https://static1.squarespace.com/static/5ac6a3c3cef3722cb1f252e5/t/5b0c22381ae6cf75059ed6b7/1527521925453/Intrachain_Whitepaper_V1.2.pdf
Business services,,mycro,1.5,"Post the job offer directly on our beautiful designed Mycro app and we make sure you will be quickly connected with a community member who can help you out! Explore the Mycro app and find a job which suits you perfectly. Apply now and get the job done. Simple as that. We unleash the power of local communities by implementing our protocol to connect people. Through this game changing platform we will open the doors to become the worldwide number one marketplace for realtime job matching.",MYO,11th Jun 2019,20th Jun 2019,https://www.mycrojobs.io,Germany,https://www.mycrojobs.io/download/Mycro-Whitepaper-English.pdf
Business services,,olxa,0.1412,"OLXA Coin is a cryptocurrency designed for life usage building the bridge connecting the Crypto Market to the real world through its advanced services to the public such as: 1) Letter of Crypto Credit for the 1st time through blockchain (Working from now). 2) Crypto eShop (Demo: https://www.olxacoin.com/eshop-demo/ and www.Mazimu.com) with no Tracking Cookies and No Order History. 3) i-Advertising Platform (Demo: www.AdMyCash.com) with profit sharing on shorten links. 4) Visa-Card for VIP Investors above 1 BTC (check the roadmap) 5) Crowd-Projects : where you can choose, Contribute and Profit. coming after the ICO. OLXA reveals a clear desire to embrace the cryptocurrency market with stability and credibility as a fundamental element of its growth and user focus strategies.",OLXA,1st Mar 2018,25th May 2018,https://www.olxacoin.com,,
Business services,,paysura,,"PAYSURA is providing the International PayReward Coin (IPC) as a worldwide uniform reward system that applies the advantages of the Blockchain Technology thereby revolutionizing the reward systems landscape. The IPC will be used to reward customers for buying products or services. IPC will be collectable through different channels and options such as online platforms, the crypto market in general as well as all partners offering reward in form of the IPC. All IPC can be used in a reward-pool to exchange them against reward products or services.",IPC,3rd Mar 2018,2nd Apr 2018,https://paysura.com,,
Business services,,raiden network,33.40726,"The Raiden Network is an off-chain scaling solution, enabling near-instant, low-fee and scalable payments. It’s complementary to the Ethereum blockchain and works with any ERC20 compatible token. The Raiden project is work in progress. Its goal is to research state channel technology, define protocols and develop reference implementations.",RDN,18th Oct 2017,1st Nov 2017,https://raiden.network,Germany,
Business services,,realisto,1.531146,"With your REALISTO tokens (REA), you get in on the ground floor of the future of real estate investment: a platform-as-a-service that enables real estate experts to raise capital for their projects via asset-backed tokens. This November, REALISTO launches its ICO to establish this platform and offer high-yield stakes in Berlin real estate.",REA,25th Nov 2017,25th Dec 2017,https://realisto.io,,
Business services,,request network,32.895,"A decentralized network built on top of Ethereum, which allows anyone, anywhere to request a payment. The request can be detected and paid in a secure way, without the need to involve a third party. The request is saved on an immutable, authentic ledger, which acts as a unique source of truth for accounting and auditing processes. Request integrates a trade law system and works across every legislation. Request works with every global currency. Request is designed to be flexible, to last hundreds of years, and to work with IoT, whilst being compatible with any future systems.",REQ,13th Oct 2017,17th Oct 2017,https://request.network,,
Business services,,unibright,12.604551,Unibright empowers business process specialists to enable a complete blockchain based business integration lifecycle without having to be a coding expert.,UBT,20th Apr 2018,20th May 2018,http://unibright.io,,
Charity,,beatrix,,"BEATRĪX is a green, affordable and sustainable energy project aiming to resolve the energy and telecommunication crisis and shortage across Africa. The proposed solution is to build decentralized energy towers using buoyancy technology that efficiently produces green electricity. The Energy tower is a patented Revolutionary technology that is going to be more efficient than Wind or Solar systems. The towers are distributed all over the continent through our Decentralized Energy and Telecommunications Distribution (DETD) eco-system. Our eco-system is powered by cooperation of German and Swiss companies. The generated energy is stored in the RIX token which is a fully ERC-20 compliant Ethereum utility token. RIX will be the first and the only energy based token that is purely green and self generated, making it independent of third party providers. The RīX has an initial charge of 5kWh and will be the only form of payment or consumption method, for the generated energy by the DETDs.",RiX,18th Oct 2018,18th Nov 2018,http://www.beatrixico.com,Germany,https://www.beatrix.social/docs/Beatrix__Wp.pdf
Communication,,cromhub,,"CROM is the first real-world application of blockchain technology for the performance advertising industry. CROM grants access to a complete new set of methods that will fundamentally change the way settlements are processed in the digital advertising value chain. Now that blockchain technology has reached a more mature state, CROM takes advantage of the solutions available and combines smart contracts with cryptocurrency based payment. CROM is tailored to the digital performance advertisement industry and solves problems that all current implementations cannot cope with.",CROM,1st Dec 2017,14th Dec 2017,https://www.cromhub.com,,
Communication,,litenett,2.4505,"Currently, the use of cryptocurrency is mainly used within the crypto community. But it is still alien to the mass consumer and does not play a role in their daily needs. The market is waiting for a simple and convenient solution that will optimally overcome the obstacles preventing the wide use of cryptocurrency. Multimedia platform Litenett will alleviate these obstacles and consider the interests of all users. Litenett.com is both a social network and a large media resource with its own payment system. The service rewards active user behaviour and allows the use of social communication channels to promote goods and services. Our mission is to make cryptocurrency interesting and accessible to every user and business community.",LNT,3rd Dec 2018,23rd Dec 2018,http://litenett.com,Germany,http://litenett.com/WP_Litenett_EN.pdf
Communication,,smartgenie.io,,"We are building a new generation of network and resources sharing platform based on blockchain. The applications are decentralized VPN, decentralized VOIP, decentralized CDN and at the end decentralized database storage. Clients can rewarded SMAG by sharing thier internet/traffic/resources from home or anywhere else, and others can use these and pay via SMAG to them. These decentralized application will help the next generation to keep privacy respected and fight with censorship from governments, as this technology is hard to being filtered, censored or blocked.",SMAG,15th Jan 2018,15th Apr 2018,https://smartgenie.io,,
Communication,,whohas,,"WhoHas is a social platform based on the Ethereum blockchain. Its main purpose is competitive image sharing. WhoHas offers different categories in which users can upload their shots. The images will then be viewed, judged and voted by the community. The winner in each category as well as the community members who voted in favor of the winning contribution will then be financially rewarded.",WHO,21st Feb 2018,23rd Mar 2018,https://whohas.io,,
Cryptocurrency,,apres,,"APRES is a Blockchain Based Decentralized Press Platform. Bridging the gap between time, event, report, access and response. With zero subscription fees we empower Users to publish, read, review, comment and Earn. A community owned press network, giving users the authority to publish, review, comment and make a difference. Whilst rewarding users with APS token, as bounty, contribution and support. A truly decentralized network to reckon with, providing peer to peer connectivity. Token Utility - A social currency Processing fast transaction at a low cost. Designed to reward, confer, encourage and enrich persons contributing to the network whether as bounty, wage, donation or pledge. Making sending and receiving money fun and rewarding.",APS,2nd Mar 2018,30th Jun 2018,https://www.apresnet.com,,
Cryptocurrency,,bitmag,,"BITMAG is an ecosystem that consists of: BTM Exchange, BTM Connector, and BTM Marketplace. Users will be able to keep hundreds of different digital currencies in just one wallet. Users can deposit different types of cryptocurrency or fiat currency into their account on BTM Exchange and create different alt coin wallet addresses allowing them to receive, store and keep track of their alt coin transactions. Users can send money to friends, partners, or pay for services using the Hub Exchange. This function will help users to manage transactions, recipient addresses, and to track their transactions via the Etherscan.io - explorer of the Ethereum blockchain.",BTM,1st Dec 2017,30th Dec 2017,https://bitmag.eu,,
Cryptocurrency,,crycash,,"CRYCASH is the first cryptocurrency that satisfies all needs of gamers and game developers with its Ecosystem of custom-tailored services: Plink, a dedicated mobile application where players can monetize their game time, communicate and collaborate; a marketplace for in-game assets and services; Cyber Sport platform for eSports betting and events; and an Advertising Platform for game developers. CRYCASH has already confirmed integration into the world-popular bestsellers from Crytek, with more partners to come.",,12th Dec 2017,31st Jan 2018,https://crycash.io,,
Cryptocurrency,,edgecoin,0.397916,"Edgecoin is the world´s first education and e-learning token built on the Ethereum Blockchain. Beyond that Edgecoin is addressing the multi-billion education and e-learning market with its unique B2B approach: Blockchain as a Service for the education sector! What is the future of education? Imagine the future of education 10 years from now on. The entire academic and professional career of every student and later employee is recorded on the blockchain in and by smart contracts. These smart contracts contain all of your skills, qualifications, certificates and also job records. Just one klick on your unique smart contract public address authorized by you can provide proof of your skill set for inquiring parties such as public authorities, institutions, employers and so on. No more notarized documents, translations or huge PDFs with all of your data.",EST,6th Jan 2018,6th Apr 2018,https://www.edgecoin.io,,
Cryptocurrency,,globo,,"The Globo Protocol is a special consensus algorithm and data structure making it possible to work with microtransactions faster, fairer, and more secure compared to other Blockchains. For instance, it surpasses Ethereum and Bitcoin blockchains in the efficiency. This becomes possible due to two special techniques: the Random note about the Random note and Virtual Voting.",GLBX,21st Jun 2018,4th Sep 2018,https://www.globo.in,Germany,https://www.globo.in/whitepaper/
Cryptocurrency,,hydrocoin,,"HydroCoin will be the first cryptocurrency for the blockchain community empowering the hydrogen industry. It enables the blockchain community to participate on hydrogen technologies. It will be an unique way to invest in companies, projects and new technologies for hydrogen production. It is the first cryptocurrency coin to build a new decentralized system of clean energy production. Hydrocoin is the first token that is more than a tradeble crypto-currency: it is also a certificate for clean renewable fuels, and a currency to purchase clean fuels at certified stations.",HYC,1st Apr 2018,30th Sep 2018,https://hydrocoin.org,Germany,https://hydrocoin.org/wp-content/uploads/Whitepaper.pdf
