cat1,cat2,name,raised,desc,ticker,start,end,www,,
Communication,,2100news ico,0.6329,"We are the first news platform of the decentralized economy: delivering business and market news, data and analysis to the world (crypto, blockchain, IoT, ICOs, new financial markets and decentralized economy in general). We serve as a depository for disclosure of authorized price sensitive information regarding token issuing companies. Our services run on mobiles, tablets and computers via online TV, radio, squawk box, newsletters and podcasts. We are raising funds to produce 2nd iteration of our news platform using blockchain technology. 2100NEWS is the leading crypto and token market news hub, offering real-time data and price sensitive information regarding token issuers, news on all crypto market issues and analyst coverage. As a bottom-up system, we enable news to be sourced and verified from the crowd, granting publication and rewarding up/down voting (curation) of published content. We are already in the top third of ICO listing websites and expect to reach 40 million monthly page views and 500,000 community members by the end of 2018.",NWS,14th Mar 2018,23rd May 2018,https://www.2100news.io,,
Cryptocurrency,,atrix,,"Atrix is a protection system for the Initial Crowdsale contributors. Its goal is to make projects more financialy transparent to its contributors, by offering a initial contribution buyback guarantee if the contributor is not satisfied with the projects progress later on.",ATRIX,25th Nov 2017,20th Dec 2017,https://atrix.io,,
Cryptocurrency,,futourist,2.334666,"Futourist is the first block-chain based review platform that rewards you for your content. You create reviews, share and get rewarded.",FTR,20th Feb 2018,20th Mar 2018,https://futourist.io,,
Cryptocurrency,,hedge,2.1,"Hedge Project is focused on developing the ideal platform to serve as a backbone for diversification through our flagship products, Crypto Traded Indices (CTIs), and hedging through different instruments. Our platform will enable crypto investors to manage the risk exposure they have on the market confidently. Furthermore, Hedge Project is in process of launching set of professionally designed indices for crypto market – first such indices to serve as a base for construction of cryptocurrencies baskets.",HDG,15th Sep 2017,15th Oct 2017,https://www.hedge-crypto.com,,
Cryptocurrency,,quantum,4.1227,The aim of the Quantum project is to bring institutional grade liquidity to cryptocurrency and digital asset markets.,QUA,15th Apr 2017,15th May 2017,https://www.quantumproject.org,,
Education,,gledos,,"GLEDOS (Global Education Solution) is a blockchain-based answer to a raising demand for a tailor-made and relevant on-demand education for the modern age. The platform provides a single-place-to-learn solution with education pathways, recommended by the leading AI algorithms. GLEDOS is a platform for content providers to publish their online lectures. GLEDOS’s main differentiating quality is derived from the interactive exchange of information between students and businesses, smart contracts, and built-in artificial intelligence engine to help navigate the students’ learning pathway.",GLX,6th Sep 2018,6th Oct 2018,https://gledos.io,Slovenia,https://gledos.io/docs/gledos-white-paper.pdf
Energy,,suncontract,2,"SunContract is an energy trading platform that utilizes blockchain technology to create a new business model for buying and selling electricity. If you believe that blockchain technology can solve many of today's problems and that we are the team to take it to the energy sector, you are welcome to contribute.",SNC,28th Jun 2017,1st Aug 2017,https://suncontract.org,,
Entertainment,,viberate,10.714285,"Viberate is a crowdsourced live music ecosystem and a blockchain-based marketplace, where musicians are matched with booking agencies and event organizers. We're listing profiles of over 150,000 artists, 2,000 booking agencies, 60,000 venues and 500,000 events.",VIB,5th Sep 2017,5th Sep 2017,https://www.viberate.io,,
Entertainment,,viewly,8.7,"A decentralized video platform for creators, by creators. Creators build their tribe of dedicated fans, and receive Patreon like support trough frictionless micropayments and subscriptions. Creators can also sign sponsorship deals that are in-line with their fanbase best interests—with the on-chain escrow and no middleman.",VIEW,20th Feb 2018,22nd Mar 2018,https://view.ly,,
Investment,,money rebel,2.3,"Platform is designed like a set of independent but connected products. Interconnecting accounts, the MR Wallet, the MR Portfolio, the MR Advisor, the news feed, and the MR Kriptel.de fund, a crypto arbitrage product − these are the platform’s basic features. Put the MR Banking, the MR Robo Advisor, the MR Virtual Assistant, and the MR ICO Pooling on top of that, and you get a complete financial platform for the digital age.",MRP,8th May 2018,15th May 2018,https://moneyrebel.io,,
Media,,cherr.io,,"Winners of FutureHack 2018 during WEF in Davos, Switzerland and also most inspirational project from Slovenia. CHERR.IO is a blockchain solution for charitable donations, aiming to open new horizons for the way charitable, humanitarian and socially responsible organizations operate. The platform will opt for optimizing operations, expand outreach, reinforce donors' trust and improve the donation process for charities. Our top focus is fraud prevention and transparency. Alongside this we are aiming to enable decision power for our donors and a reward system for our active participants. We aim to raise funds with cryptocurrencies and thus, enable our donors to experience low transaction fees. CHERR.IO will use a gamification process to engage with a multitude of interested parties willing to both donate and volunteer for others in need. The opportunity to help and reap rewards is now open to the masses - to everyone!",CHR,15th Jun 2018,30th Jun 2018,https://www.cherr.io,,
Platform,,aquest,3.2,"aQuest is a unique decentralised app that pays you for completing a certain task. Simple as that. aQuest offers its creators to create marketing campaigns that focus on rewarding its participants. Participants to a quest are required to finish a task in order to be eligible for a reward payment at the end of a quest. A task is a digitally verified action that a user is required to complete in order to successfully participate in a quest (Examples: Survey, Facebook Like).",AQU,25th Feb 2019,9th Apr 2019,https://www.aquest.io,Slovenia,https://www.aquest.io/wp-content/uploads/2018/12/aQuest-Whitepaper-1.0.pdf
Platform,,cofound.it,15.018573,"Cofound.it is a distributed global platform that connects exceptional startups, experts and investors worldwide. It will first be built by the blockchain community for the blockchain community .",CFI,7th Jun 2017,7th Jun 2017,https://cofound.it/en,,
Platform,,iconomi,10,"ICONOMI’s mission is to provide an opportunity for investors looking for high profits, not possible in the old economy. It will do so through a simple and trustworthy entry point, providing them with an excellent experience, which is crucial for keeping them investing in the new economy. ICONOMI is creating the missing link between the old and the new economy. Speaking the language of the old economy and acting by the principles of the new one, ICONOMI’s transparent management will be provided by an EU legislation compliant and regulated service operator. The whales of this world don’t want to go into hundred of different blockchain projects and cryptocurrencies, they often just want to invest into the broader picture: Blockchain – yes or no? ICONOMI will enable them to do just that.",ICN,25th Aug 2016,29th Sep 2016,https://www.iconomi.net,,
Platform,,luxcess group,,"Luxcess Group is a first investment group with zero commission. We are making a huge bridge between the Crypto and “Fiat” world. This investment company formed the Royal platform, which is based on blockchain technology. All investors will be able to deposit their tokens on this platform, which will operate on the principal of PROFIT SHARE. That means that you will only pay when the profits will be created. You will be able to fully control your capital. Luxcess Group will increase the LXC tokens price by investing in our projects only with our LXC token. Join us and together we will create a better tomorrow.",LXC,3rd Mar 2018,7th Apr 2018,http://www.luxcess-group.com,,
Platform,,media network token,,"Based on our existing alpha product: https://coinjoker.com, we have observed serious issues in the existing quality of content on the market. Therefore, we have decided to bring a new platform on the market that will help users create better content. We are introducing a new token called Media Network Token (MNT) that will enable writers to build content of superior quality and receive tokens for their contributions.",MNT,15th Dec 2017,15th Feb 2018,http://mnt.coinjoker.com,,
Platform,,origintrail,22.5,"OriginTrail enables seamless data sharing along any supply chain. The decentralized, blockchain-supported network protocol ensures trust, transparency, and security. It helps companies exchange relevant data seamlessly and in a secure way to build accountability, protect their brands and increase efficiencies.",TRAC,15th Jan 2018,17th Jan 2018,http://origin-trail.com/token-sale,,
Platform,,pharmagenome,0.09,"A Blockchain based crowdsourced platform for investment and development of an information platform that will alert people to their genetic diseases, guides them with preventive behaviors regarding the way of life and nutrition according to their genetic predispositions in order to escape serious illnesses and help patients select the effective drug and the optimum dose of the drug with respect to their genome. The project is based on Waves platform providing utilities that classical approaches do not utilize to the potential investors.",PGT,25th May 2018,8th Jun 2018,https://www.pharmagenome.io,Slovenia,https://www.pharmagenome.io/whitepaper.pdf
Platform,,popultrade,,"In PopulTrade you can create, join or invest in any kind of business. PT will bring the possibility to access investments to anyone who has an idea for a business. Owners of various companies will be able to invest by simply entering an investment request. Other people, not involved in commerce, who just have business ideas, will be able to get capital to fulfil them and turn them into real businesses through the PT groups.",PCP,11th Dec 2017,15th Jan 2018,http://popultrade.com,,
Platform,,thrill,,"Thrill is blockchain based platfrom providing travellers, communtory, hotels, bifes, restaurants and online content providors, a simple, yet effective solution for their business.",THX,15th Sep 2018,15th Oct 2018,http://www.thrill-platform.net,Slovenia,http://www.thrill-platform.net/index_htm_files/Thrill%20whitepaper%20V1.1.pdf
Platform,,tradershub,,"We are creating a platform that will provide a powerful single point of interaction with the cryptocurrency markets. By blending sophisticated engineering with an elegant user experience and crowdsourced intelligence, we empower traders with everything they need to trade effectively within a trustworthy and safe trading environment. The platform will allow us to aggregate people and trading services together in dynamic ways in order to deliver a next-generation trading platform that will hopefully become the go-to solution for diversified portfolio management and all trading-related activities.",THT,5th Mar 2018,26th Mar 2018,https://tradershub.io,,
Real estate,,xaurum gamma,,"Xaurum Gamma is a commonwealth of the first crypto smart-street. It is composed of six luxury villas on the island Krk in Croatia, a prime tourist real-estate. The goal of Xaurum projects is to preserve and increase value. The investments must therefore be long-term, relatively safe, yield the most profit and be augmentable by speculation",XGM,1st Aug 2017,29th Sep 2017,https://xaurum.org/gamma/index.html,,
Smart Contract,,0xcert,10.31371,"The vision of 0xcert is to provide an open protocol for standardized and certified non-fungible tokens to a wider tech audience. With 0xcert, you can build on top of the non-fungible token standard, employing a complete toolset, development framework, and a set of conventions for various use cases. This results in shorter development time, lower risk and cuts cost associated with developing blockchain solutions. A wide range of decentralized applications and business models can be supported, giving companies the power to fully utilize the potential of blockchain technology.",ZXC,4th Jul 2018,18th Jul 2018,https://0xcert.org,,
Smart Contract,,weekend millionaires club,,"A millionaire experience backed by our innovative business model, in which constant crypto token deflation is guaranteed through traditional business.",WMC,31st May 2018,15th Jun 2018,http://www.weekendmillionaires.club,,
Software,,blocksquare.io,0.3597,"With the introduction of blockchain, things are building up and a new market of fractional commercial real estate is set to emerge. At Blocksquare we are building the infrastructure and tools to propel this upcoming global market, opening the door to commercial property investments for anyone with an internet connection.",BST Token,18th Apr 2018,8th May 2018,https://blocksquare.io,,
