cat1,cat2,name,raised,desc,ticker,start,end,www
australia,,sociall,5.265509,"SCL is a cryptocurrency that will be used within Sociall, a secure and private decentralized social network with integrated marketplace and ad platform.",SCL,17th Aug 2017,15th Sep 2017,https://sociall.io,Australia,https://sociall.io/whitepaper.pdf
australia,,ventana,,"At Veredictum, we are committed to solving film piracy and video theft, with our objective to “Reduce film and video piracy by 80% within 10 years.” It’s an ambitious project, but the way in which we are approaching the problem is different. We are not approaching the problem with “Whack-a-Mole” style that you see at the fairgrounds. Instead, we are attacking the drivers that actually cause piracy and theft in the first place. Whilst piracy and theft is very complex issues, they can be distilled down into two core elements: not being able to get access to content, when you want it, how you want, at a price point that is fair and reasonable and also because there aren’t enough deterrents in place.",VENTANA,14th Aug 2017,11th Sep 2017,https://www.veredictum.io,Australia,https://daks2k3a4ib2z.cloudfront.net/593a3e0b6656a74fefc5f6f9/59774f24f5d79661a4f7a2c7_veredictum-whitepaper-intro-v0-9-4-20170725.pdf
israel,,solar dao,0.44334,"Reduce risks and costs while surpassing technical barriers of investing in PV solar plants across the globe. Own solar assets freely, safely, and anonymously.",SDAO,27th Jul 2017,6th Sep 2017,https://solardao.me,Israel,http://solardao.me/files/wpeng.pdf
russia,,ahoolee,,Ahoolee compares prices in online stores using a decentralized platform for collecting and indexing information from open sources with confirmation of authenticity based on the blockchain technology.,AHT,28th Aug 2017,11th Sep 2017,http://ahoolee.io,,
russia,,dentalfix,,The blockchain is becoming the new standard for trust and verification of data. We’re building towards a blockchain network for the global community of companies that take part in the continuum of healthcare. Blockchain technology addresses the trade-off between personalized care and operational costs by connecting the ecosystem to universal infrastructure. Shared infrastructure allows us to create global standards without compromising privacy and security.,DFBT,13th Aug 2017,13th Sep 2017,http://www.che-ss.com,Russia,https://drive.google.com/file/d/0B2-rqxQ4OfPEV3FkYjNON3lYX3M/view
russia,,gamecoin,8.855329,"Currently, most of games are distributed on terms “Free to play”. This is done in order to engage the audience in the game and to motivate in-game purchases and pay for full access, l.e.. - to bring profit to the manufacturer. Despite all the efforts of marketers and economists, no more than 10% can be monetized. The rest keep studying the game worlds and continue involving in battles.For free. We set out to develop a tool that will allow the company to get profit from free users, without any restrictive measures and intrusive advertising.",GMC,11th Sep 2017,29th Sep 2017,https://gamecoin.global,Russia,
russia,,icos,14.6,First token which allows blockchain community to vote for the best projects to be brought to life through their own ICOs. And the first token to give token holders access to all future presales of such ICOs with an average discount of 75%.,ICOS,15th Aug 2017,15th Sep 2017,https://icobox.io,,
russia,,izibits,,"izibits - is a set of services for daily usage in cryptonomy, based on chat-bot technology. izibits - is a multicurrency cryptowallet, VISA/MC card linked to any cryptoasset, p2p trading platform with escrow to exchange anything-to-anything, investment marketplace with ETFs and ICO-campaignes, mCommerce platform to build mini-shops. The system is made using messenger-as-browser conception and has a number of unique features.",IZI,8th Sep 2017,22nd Sep 2017,http://www.izibits.io,,
russia,,kickico,20,"KICKICO helps innovators, game developers, blockchain leaders, entrepreneurs, designers, and other creators find the resources and support they need to make their ideas a reality. With the help of cryptocurrency, the support of our community & KICKONOMY’s power thousands of ideas will come to life.",KC,29th Aug 2017,16th Sep 2017,https://www.kickico.com,,
russia,,nimfamoney,0.152515,The world’s first 100% decentralized cryptocurrency lending platform for token purchase on exchanges and ICOs for maximizing your personal profit.,NIMFA,29th Aug 2017,30th Sep 2017,https://nimfamoney.io,,
russia,,revain,12.513346,"A new generation feedback platform, mostly based on the blockchain technology that doesn’t allow to change or delete reviews and its authors get a reward for creating it!",R,21st Aug 2017,4th Sep 2017,https://revain.org,,
russia,,the island,0.007401,"We are making for you a game, which does not limit you in choosing the path. Your goal is to survive at any cost in the world that wants to kill you and is very inventive in realizing this desire. So who is stronger? Will you be able to bend the world.",LDM,28th Aug 2017,25th Sep 2017,https://privateers.life,Russia,https://privateers.life/docs/PrivateersWPeng.pdf
singapore,,atmatrix,,"Atmatrix aims to provide a consensus based distributed virtual AI-as-a-Service cloud. With the aid of blockchain economic system, Atmatrix coordinates global AI technologies to build a new world of artificial intelligence.",ATT,18th Aug 2017,18th Sep 2017,https://atmatrix.org,Singapore,https://atmatrix.org/resource/whitepaper-v0.2.1-draft-en.pdf
singapore,,coss,3.2,"COSS stands for Crypto One Stop Solution, and represents a platform which aims to encompass all features of a digital economical system based on cryptocurrency. COSS has been launched in the Beta Version on the 1st of April, 2017 with a Payment Gateway/POS for online and offline stores allowing Merchants to accept payments for their services in various cryptocurrencies, and a fully-operational Crypto Exchange. So far, these are the two most important features of COSS, that is currently integrating many the 3rd-party providers, who will offer their services through COSS.",COSS,8th Aug 2017,6th Sep 2017,https://coss.io,,
singapore,,indorse,10,Indorse is a decentralized professional network powered by blockchain technology where you own your data and get paid for your contribution.,IND,8th Aug 2017,8th Sep 2017,https://indorse.io,,
singapore,,kybernetwork,48.96,KyberNetwork is a new system which allows the exchange and conversion of digital assets. We provide rich payment APIs and a new contract wallet that allow anyone to seamlessly receive payments from any token. Users can also mitigate the risks of price fluctuations in the cryptocurrency world with our derivative trading.,KNC,31st Aug 2017,15th Sep 2017,https://kyber.network,,
singapore,,monkey capital,,"A leading Blockchain development company, a venture capital group and a Family Office combine forces to create a decentralised hedge fund that will invest in SpaceX contracts, digital assets and hostile takeovers, generating profits by engaging in creative destruction.",MNY,8th Aug 2017,9th Sep 2017,https://www.monkey.capital,Singapore,
singapore,,po.et,10,"Po.et is a shared, universal ledger designed to track ownership and attribution for the world's digital creative assets.",POE,8th Aug 2017,5th Sep 2017,https://po.et,,
singapore,,real,10.824148,"REAL (Real Estate Asset Ledger) is a new Ethereum Smart-Contracts governed ecosystem that applies Blockchain technologies to the enormous Real Estate investment industry, giving greater access to global investment in Real Estate, lowering barriers to entry, and increasing market liquidity.",REAL,31st Aug 2017,30th Sep 2017,http://www.real.markets,,
singapore,,t8coin,,"TiENPAY Limited is a global fintech firm that offers a digital mobile wallet, clearance and settlement technologies and platforms. A company founded by Singaporean serial entrepreneur and finance industry veteran Mr William Tien and active Fintech investor and former Huawei's senior executive Mr. Victor Chow, the company's operations include mobile digital wallet apps and a digital currency exchange",T8Coin,8th Sep 2017,22nd Sep 2017,http://www.t8coin.io,Singapore,http://t8coin.io/wp-content/uploads/2017/08/T8-COIN-Brochure-V8.pdf
singapore,,tettix,0.0016,"In Tettix, we combine Metamask, a well-known Chrome extension that can easily access to blockchain network through a user friendly interface, into our system so that you can hold your own wallet’s private key. Tettix is creating a REAL decentralized exchange. Our goal is to remove redundant constraints on digital currency transaction. In the short-term, we aim for providing a reliable and convenient ethereum-based trading system. In the long-term, we hope that Tettix can replace all existing centralized exchanges and give everyone a whole new trading experience.",null,30th Aug 2017,21st Sep 2017,https://tettix.io,Singapore,
slovenia,,viberate,10.714285,"Viberate is a crowdsourced live music ecosystem and a blockchain-based marketplace, where musicians are matched with booking agencies and event organizers. We're listing profiles of over 150,000 artists, 2,000 booking agencies, 60,000 venues and 500,000 events.",VIB,5th Sep 2017,5th Sep 2017,https://www.viberate.io,,
slovenia,,xaurum gamma,,"Xaurum Gamma is a commonwealth of the first crypto smart-street. It is composed of six luxury villas on the island Krk in Croatia, a prime tourist real-estate. The goal of Xaurum projects is to preserve and increase value. The investments must therefore be long-term, relatively safe, yield the most profit and be augmentable by speculation",XGM,1st Aug 2017,29th Sep 2017,https://xaurum.org/gamma/index.html,,
switzerland,,kencoin,,"Kencoin is an industry-specific cryptocurrency, targeting the adult entertainment sector. Their mission is to serve as the standard currency for anonymous, safe transactions in all sex and dating-related purchases. Users’ desire to preserve absolute privacy creates major hurdles for businesses in the adult sector. Many prospective customers visit websites that fulfill their fantasies, only to drop out of the signup/payment process at the moment the website asks for personal or financial details. Thus, owners of adult websites lose a significant amount of business every day, simply because their users lack a safe, anonymous way to pay for the content they want. Kencoin solves this problem in one stroke, with a completely anonymous cryptocurrency that leverages blockchain technology to provide users with anonymity, privacy and secured transactions, while delivering previously unreachable alpha to adult industry merchants.",KCN,22nd Aug 2017,22nd Sep 2017,https://kencoin.org,Switzerland,http://kencoin.org/wp-content/uploads/2017/07/whitepaper.pdf
switzerland,,litra,23.5,"Litra Blockchain using multi approaches to fill the gap between all Healthcare providers, will open the EHR to these institutions without an extra cost of adopting nor changing their EMR/EHR infrastructures. Litra Blockchain will reduce the cost and time US citizen, and physicians need to access healthcare products, and service by 30%-80%.",LTA,30th Aug 2017,30th Sep 2017,http://litra.site,Switzerland,http://litra.site/Litrawhitepaper.pdf
