cat1,cat2,name,raised,desc,ticker,start,end,www
UK,,tokensgate,,"TokensGate was born to solve to major problems in tokens investments. We wanted to make investment a non-technical thing for all the people who wants to join the revolution but because of lack of technical knowledge couldn't do that. We also wanted to save peoples time by offering professional asset management services with access to number of private-sales on the market. We specialise in early stage investments that are offering tokens even before pre-ico Our mission is to bring a liquidation and return closer to investors. With our unique liquidation strategy we choose companies that offer utility tokens with solid liquidation strategy. Our platform is extremely private, we offer our services only to verified investors.",TGC,1st May 2019,1st Jun 2019,https://tokensgate.com,UK,https://tokensgate.com/tgc_whitepaper_v12_small.pdf
UK,,tron game global,80.0,"TRON GAME GLOBAL PAY is a project that is currently laying the groundwork for Internet decentralization. The TRON GAME GLOBAL protocol is one of the world's largest block-based decentralized operating system.",GTP,13th Jun 2019,14th Jun 2019,https://trongameglobal.network,UK,https://drive.google.com/file/d/1GMshichkQEjbPtRuyy4wh7GgFlySio3m/view
UK,,wtx hub,,"WTX Hub creates an entire blockchain based eco-system for the Food & Beverage industry with a purely peer to peer Food & Beverage exchange that facilitates online exchange of goods and services from one party to another without having to go through a third party. Also the crypto currency, WTXH, shall facilitate transactions, act as a quantifiable means of exchange and accurately define the criterion of the required exchange of items. A key part of the WTX Hub is our game changing blockchain distribution and retail technology and our consumer focused App. The eco-system is completed by a comprehensive social and community functionality along with tailor-made blockchain provenance authenticity and smart contract technology. Access WTX Hub and see into the window to the future of the Food & Beverage industry",WTXH,7th Jan 2019,18th Jun 2019,https://www.wtxhub.com/its,UK,https://www.wtxhub.com/its/wp-content/uploads/2018/10/October-WTX-Hub-and-WTXH-Cryptocurrency-White-Paper.pdf
UK,,yanubuks,,"Yanubuks is a company that exists in order to solve the problems faced by the blockchain ICO startups and investors. Yanubuks is not an ICO rating company but we exist in order to secure the interest of the investors by creating an avenue for them to earn more through MASTERNODES of the token/any coins they purchased before and after it is listed in an exchange, we also accept/attract old projects that are interested in offering MASTERNODES to their tokens/coins holders. Our app shall be available on any mobile app when we launch.",XYUS,21st Feb 2019,30th Jun 2019,https://ico.yanubuks.io,UK,https://yanubuks.io//assets/files/white-paperyanubuks.pdf
USA,,ampleforth,5.0,"The smart commodity money with a unique elastic supply protocol. AMPL supply expands and contracts in response to it’s price deviating from a 1 USD target. Deviations result in a supply change of AMPLs once every 24 hours, increasing or decreasing the number of tokens in each holder’s wallet pro-rata. Ampleforth is the only asset in the world with this elastic supply property, and therefore has counter-cyclical trading pressure and is uncorrelated with other digital assets such as Bitcoin.",AMPL,27th Jun 2019,28th Jun 2019,https://www.ampleforth.org,USA,https://www.ampleforth.org/paper/
USA,,autonomy,,"The Autonomy token is an ERC-20 utility token which can be used for exchanging services on the Autonomy blockchain, such as: - Pay for transportation services provided by autonomous vehicles, for parking, recharging, insurance and other services - Receive ATNMY tokens for sharing traffic data with the smart-city infrastructure or other traffic participants (this is completely optional; data is aggregated & non-identifiable) - Purchase access to above traffic data to improve the road conditions & receive alerts The Autonomy token is not a security, an investment or a share in the company building Autonomy. It is a utility token, certified by a reputable law firm in Singapore as being compliant with the Singapore Law with regards to Utility Tokens. It DOES NOT pay dividends, interest and it does not offer any rights to ownership or decision making in the company building Autonomy. The token will be used and exchanged for services provided on the Autonomy blockchain network.",ATNMY,1st Jun 2019,10th Jun 2019,https://www.autonomychain.com,USA,https://www.autonomychain.com/AUTONOMY-Whitepaper-latest.pdf
USA,,bitbounce,11.330707,"BitBounce allows you to charge people you don't know a cryptocurrency fee to deliver an email to your inbox. For you, this means a curated inbox of 1) emails from people who you know and 2) emails you've been paid to receive. BitBounce creates inbox peace of mind.",Credo,19th Jun 2019,22nd Jun 2019,https://bitbounce.com,USA,https://bitbounce.io/whitepaper.pdf
USA,,current x change,,"Welcome to the democratic revolution in information propagation, promotion, and charting. Current X Change makes Mapps (Map-apps) that run on a Smart Media Token, starting with cXc Music, and expanding to a full media suite (cXc Media), cXc Ideas, cXc Games, cXc Solutions, and a municipality management app called cXc Pueblo. cXc Music (currentXchange.com) offers artists and listeners a new way to connect on a global and local level. When you post a song on cXc Music, anyone looking at your city on the app will see it.",PRP,21st Dec 2018,21st Jun 2019,https://currentxchange.com,USA,https://bit.ly/PRPpaper
USA,,greencoin,6.63201,"The first decentralized platform based on sustainable green systems to solve real problems in the world, connecting green systems manufacturers and local Installation companies or certified individuals directly with buyers.",GNC,15th Jan 2019,10th Jun 2019,https://greencointoken.com,USA,https://greencointoken.com/docs/ico-whitepaper-English.pdf
USA,,standard tokenization protocol,,"Standard Tokenization Protocol is an open-source standard defining how tokenized assets are issued and transferred while complying with all necessary regulations. Tokens built on top of the STP-Standard will use the protocol’s on-chain Validator to verify compliance with any jurisdictional or issuer-specific requirements. Standard Tokenization Protocol allows assets to be tokenized in a way that makes them fully compliant across jurisdictions and transferable across any blockchain platform.",STPT,11th Jun 2019,12th Jun 2019,https://stp.network/?utm_source=cryptorank,USA,https://stp.network/wp-content/uploads/2019/06/Standard-Tokenization-Protocol-Whitepaper-EN-v4-1.pdf
USA,,toyken,3.5,"Toyken, B.A. Toys STyLe - Blending non-conventional inventory strategies and conventional day-to-day sales techniques with innovative cryptocurrency integration for an immersive, total buying experience at B.A. Toys. B.A. Toys' inventory cycles are rotational for many products. B.A. Toys Forecast SIM is a working, successful model confirmed in our prior years of business in which we intentionally delay the retail distribution of appreciating discontinued toys & collectibles on annual cycles. B.A. Toys Forecast SIM is a unique creation in which inventory management, duration and storage costs increase overall long-term costs, but result in overall sales revenue increasing at substantial multiples, while customer acquisition costs plummet. This also sets the stage for Toyken. As we devote products to B.A. Toys Forecast SIM annually, we cover daily operational expenses through standard day-to-day sales as any retailer would. After analyzing sales data, we identify trends and demand that point to which items deserve the Toyken designation. We strive to constantly be selling both: today's currently popular toys, as well as, a delayed cycle of toys that were deemed collectible or high demand with the latter having a target release date of 3 to 5 YEARS earlier. Once we deem an item to require Toyken for purchase, it will never be for sale for US Dollars (or fiat), on our website, again. B.A. Toys' SIM products for 2019 and 2020 are already acquired and warehoused from previous years. This means many of the items currently on our website will only be available using Toyken upon our relaunch in Q'4 2019. We are also ADDING Toy Power and ToyTRAX features. Our THIRD-PARTY TOYS ONLY: B.A. Toys Marketplace goes live at our trademark-protected website, BAToys.com in 2020! All three of these features will have some features powered by Toyken! Toyken is a melding of our brand's philosophy, proven business methods, customer expectations and all that encapsulates a total buying experience at B.A. Toys. B.A. Toys is making Toyken a reality. JOIN Horizon Project: TOYKEN Learn More Below!",Toyken,1st Jun 2019,18th Jun 2019,https://www.badasstoysforbadassboys.com,USA,https://sep.yimg.com/ty/cdn/yhst-128932958816907/BAToysToykenWhitePaper.pdf
USA,,warrior token,,"Warrior Comics - a decentralized blockchain based platform in the comics & animation industry. It will be classified in two categories under “WC Originals” & user generated content. Viewers will get to read the epic stories of superheroes, supervillains & breathtaking wars. The creator can upload their digital creations on the portal. As Warrior Comics is based on the blockchain, so there will be control over the content piracy with transparency. The creators will also get royalty & rewards for their work. The ecosystem works on the internal digital currency- WRT (Warrior Token). As of now WRT will be used for such as leasing out the characters, downloading paid content, create & manage contests and managing the advertisement model. Warrior Comics team is constantly working on building a strong Animation Tube portal and AI enabled 2D, 3D animated characters. Warrior Comics will be the first-ever blockchain based business and advertising model in the animation entertainment industry.",WRT,15th May 2019,14th Jun 2019,https://warriortoken.com,USA,https://warriortoken.com/Content/whitepaper/Whitepaper-%20Warrior%20Token%20V%201.3.pdf
