cat1,cat2,name,raised,desc,ticker,start,end,www
germany,,pdata,0.23225,"Opiria is a decentralized marketplace that helps companies collecting and analyzing consumer data, enabling them to make better business decisions. Consumers are in full control of their data and get paid with PDATA tokens for sharing their data. PDATA Token is the currency that expresses the value of personal data and enables its trading by using smart contracts on the blockchain. Opiria is a real company since 2015 with a working product used by hundreds of customers including Fortune500 companies. Opiria is solving one of biggest problems companies worldwide are having. They need data from consumers to understand their needs and requirements in order to design better products and services and perfectly target marketing and sales activities. Today personal data is stolen from consumers by data brokers without their knowledge or consent and sold for big money. Our mission is to change that and give back control to the consumer while cutting out the middlemen!",PDATA,11th May 2019,15th Jun 2019,https://opiria.io,Germany,https://www.opiria.io/static/docs/Opiria-PDATA-Whitepaper.pdf
germany,,treeec money,20.950828,"TREEEC makes it possible to do business all over the world with countries in every stage of development. With our method of the smart Comitation Contracts we developed a convincing tool for our partners to make regional, national and international businesses without the need of bank loans and export insurances and without the danger of bad dept losses. TREEEC MONEY (TRM) is alternative value backed sovereign money on an own advanced blockchain basis. Smart Contracts can be integrated. TRM has real value and can be exchanged into value based shares or conventional money at any time.",TRM,12th Jul 2018,29th Jun 2019,https://treeec.money/en/home,Germany,https://treeec.money/TREEEC_MONEY_Whitepaper_EN_2.0.pdf
germany,,vecap,4.721297,"Vecap is an ambitious and very simple project that ensures the security of a smart home network thanks to innovative blockchain technologies and smart contracts. Every action carried out on the Vecap platform will be recorded in an immutable and virtually invulnerable database – in order to crack it, the hacker would need to get administrator access to 51% of individual devices, which becomes absolutely impossible as the project spreads around the world. Vecap combines all smart homes into a single decentralized network and protects their data from intruders. The platform uses an innovative security standard that is independent from the built-in security features. Thus, thanks to Vecap, hackers will no longer be able to penetrate the smart home data network and violate their privacy as they will no longer depend on a group of disparate storage devices on a company's vulnerable server. At the same time, Vecap will be able to make your data network not only safer, but also much faster and more efficient.",VC,6th Jun 2019,7th Jun 2019,http://vecap.io,Germany,https://vecap.io/pdf/whitepaper/VeCap_Whitepaper.pdf
israel,,blockium,0.0598,"Blockium is a financial gamification platform using smart P2P technology to offer trading competitions on stocks, crypto, FX, and indices from the top global exchanges. The application creates an innovative opportunity for traders to execute financial skills with friends and strangers, and make large daily profits. This technology’s mechanism is bringing a large profit potential for traders, while making financial trading attractive for everyone.",BOK,24th Jun 2019,27th Jun 2019,https://www.blockium.io/Home/Welcome,Israel,https://www.docdroid.net/sAMYojj/blockium-whitepaper.pdf#page=4
malta,,binax,6.4,"Binax is one of the most popular digital asset trading platforms around the world. The core team of Binax consists of well-known blockchain specialists from countries around the world such as India, Australia, UK, China, Korea. We believe the core principles of Bitcoin, the blockchain, the distributed ledger, and smart contracts can reshape the ways in which people trust each other. This transformation will eliminate barriers to transactions, increase the efficiency of transactions across society, and eventually have a significant impact on the global economy. Because of this, we have foregone handsome salaries elsewhere and devoted ourselves to the blockchain technology revolution. By doing this, we hope to achieve something that may change the world. At the very beginning of its existence, Binax gained millions of US dollars worth of angel investments from VenturesLab, co-founded by the globally. Binax improves every inconvenience from previous cryptocurrency trade markets, to serve You only. Binax gets the lowest transaction fee among every cryptocurrency Trader in the domestic market.",BIN,15th Mar 2019,29th Jun 2019,https://ico.binax.io,Malta,
malta,,bitwin 2.0,,"From sports betting to live casino gaming, blockchain will undeniably have a huge impact on online gambling business. Cryptocurrency casino and sportsbook soon expands its range of products to decentralized versions, contributing to the next-level entertainment and previously uncharted functionalities. The blockchain update of the platform is called Bitwin 2.0 and will be used with Bitwin Token (BWT).",BWT,18th Apr 2019,22nd Jun 2019,https://token.bitwin.com/index.html,Malta,https://token.bitwin.com/files/Bitwin-Whitepaper.pdf
malta,,xcrypt,,"xCrypt is the first crypto ecosystem with a high added value in its Exchange Platform ready for Digital Assets and FIAT, Securities, STO and ERC721. We created this end to end system which includes a Debit Card and a Social Media Trading system which is an advanced investment solution, which enables trading on one account managed by a skill full and experienced trader using his own funds and joint funds invested by other traders in his SMT account. This ecosystem is made to be at the same level as the world’s big players, and even surpass them, for we are already suitable in this field’s future. . We believe that, in the near future, many changes in the cryptocurrencies field will occur, as well as in the trading field and in how this world is conceived. This is the reason why, after carefully developing its concept, since its host country allows it, xCrypt decided that its priorities are those of listing security tokens, having an appropriate and strategic marketplace for the ERC721",XCT,24th May 2019,30th Jun 2019,https://www.xcrypt.club,Malta,https://www.xcrypt.club/xCrypt-Whitepaper.pdf
russia,,econeuark,,"Project First Eco-cluster The ECONEUARK Platform (EcoEarthCoin Token) Our project has released the EcoEarthCoin (ECOEC) token with secured suburban real estate. The project includes a blockchain platform called ECONEUARK. We are working to create modern eco-friendly real estate over the world using investments from the sale of ECOEC tokens. All project partners on the ECONEUARK platform will be able to buy real estate, goods and services for ECOEC tokens. The buyer of the token is guaranteed not to lose his investments, because he can always buy land and other suburban real estate of the First Eco-cluster project for ECOEC tokens.",ECOEC,1st Apr 2019,30th Jun 2019,https://ecoearthcoin.com,Russia,https://ecoearthcoin.com/wp-content/uploads/2019/06/whitepaper2019.pdf
russia,,guider,,"Guider helps to facilitate and speed up the search for a suitable guide for travelers, and helps guides to reach their potential! Our aim is to provide transparent service using blockchain technology and to ensure maximum compatibility between the guide and the traveler, from reviews and ratings, to personalized recommendations through neural analysis of accumulated and external Big Data.",GDR,1st Jun 2019,11th Jun 2019,https://token.guider.travel,Russia,https://token.guider.travel/WP_EN.pdf
singapore,,airwallet,0.9,"Within the AIR WALLET Platform users will gain access to a multipurpose digital wallet, a smart-post sharing platform that rewards users for marketing participation and a collective global marketplace that allows local businesses to showcase their products to the world.",AIR,21st Mar 2019,14th Jun 2019,http://airwalletofficial.com,Singapore,https://drive.google.com/file/d/1ZIkPpyjQpHPeceJEbkTwBJpMFasGLfW0/view
