cat1,cat2,name,raised,desc,ticker,start,end,www
russia,,nodvix,0.15004,"NODVIX is the world's first 24-hour video broadcasting platform built on the Ethereum blockchain. It is highly resistant to censorship, self-regulates content and provides an honest division of income to all participants.",NDVX,22nd Nov 2018,30th Jul 2019,http://nodvix.com,Russia,https://drive.google.com/file/d/1Y90UMsa0fKWAs7J2gG7gNnZFEqlfVJf4/view
russia,,viarium,1.32,"VIARIUM is a tool that will completely replace physical space. VIARIUM consists of a single virtual space that includes VR worlds and VR architecture of shopping centers, separate buildings, showrooms and other VR models created by the VIARIUM platform. The platform is intended for the widest audience. Participants and users of the project have a unique opportunity to create and develop their own sales outlets and entire virtual worlds. In addition to boosting sales, they get the opportunity for securing additional income.",VRX,15th Jul 2019,16th Jul 2019,https://en.viarium.io,Russia,https://en.viarium.io/en/files/VR_WP_ENG.pdf
singapore,,dars,,"We create marketing plans on the basis of Smart Contracts providing 100% visibility for your company.",DRS,25th Feb 2019,24th Jul 2019,https://dars.one/en,Singapore,https://dars.one/files/whitepapper_en.pdf
singapore,,flexstay,,"Most Powerful Hospitality Platform. Flexstay Hospitality Limited. (herein referred to as "FXS" and "Our") is a Singapore based Hospitality company that provides the best hotel deals from around the world.",FXS,10th Jun 2019,7th Jul 2019,https://www.flexstay.io,Singapore,https://flexstay.io/whitepaper.pdf
singapore,,kozjin,15.0,"Kozjin Token is a cryptocurrency that aims to provide everyday banking and payment services to the millions of consumers worldwide. The user friendly Kozjin mobile app allows merchants and customers to transact easily and gives users an easy way to convert and spend their cryptocurrencies at merchants' stores. Currently, Kozjin Token has gained a strong niche in the property industry by enabling a smooth and seamless transaction process to take place between property owners, developers and contractors.",KOZ,24th Jun 2019,28th Jul 2019,https://kozjin.io,Singapore,https://kozjin.io/wp-content/uploads/2019/04/EN-KOZ-WHITEPAPER_V3.0.pdf
singapore,,viacash,,"Viacash is Decentralized payment gateway platform based blockchain technology network for merchant,online shop, website to aims monetize and make easier for without any bank account needed and privacy with accept multi cryprocurrency. User can install/used plugin viacash on website for monetize conten,stuff,anything to costumer/user or as donated plugin with integrated to multi wallet. This available for a merchant, retail, website, a blog on the future. Viacash will develop payment system gateway based blockchain technology for a merchant, online shop, a website with secure and fast without bank or middleman for buy and sell any item online. Viacash comes with integration with merchants, the online store to accept payment using Viacash and other cryptocurrencies.",VIA,22nd Mar 2019,31st Jul 2019,https://viacash0x.com,Singapore,https://viacash0x.com/wp-content/uploads/2019/01/Viacash-wp-v1.pdf
switzerland,,bitcoin oil,,"Bitcoin Oil (BTCO) is a new cryptocurrency based on the original Bitcoin blockchain technology which will be launched in 2019. The implementation of the BTCO hard fork will create the technologically most advanced version of Bitcoin.",BTCO,20th Jun 2019,20th Jul 2019,https://bitcoinoil.com,Switzerland,https://bitcoinoil.com/Bitcoin_Oil_Light_Paper.pdf
switzerland,,medoctor,,"MEDoctor wants to provide its services to any patient worldwide. Everyone deserves proper healthcare, including in developing countries and in remote areas, where healthcare in not easily accessible. MEDoctor has developed an artificial intelligence for diagnosis (which is free for worldwide usage). Based on the company’s proprietary 27,560 case study, the MEDoctor AI includes 898 diseases and conditions covering over 99 % of visits primary care physicians. A patient may initiate a diagnosis (DDx), helping them to make the appropriate decision regarding their ailment. They can also obtain a diagnosis for another person. It is accessible 24/7/365 worldwide. One of the immediate choices offered to the patient is to speak with a physician via his / her smartphone. In MEDoctor’s network, online doctors, by video can advise the patient, without the patient needing wait several days for a consultation.",MTEL,1st Nov 2018,31st Jul 2019,https://www.medoctor.io,Switzerland,https://www.medoctor.io/medoctorwhitepaper.pdf
UK,,airsave travel,,"Most people dream of being able to experience the world from a different viewpoint, but while it is one thing to dream, it is quite another thing to put together the finances to make it possible. Now, by the means of Bitcoin and our partnership with Smart Trip Platform (a decentralised ecosystem which connects travellers and travel service providers), you can combine the power of blockchain technology with your social network, and use AirsaveTravel Coin (ASTC) to save and earn money toward your travel goals. Airsave Travel is currently a centralised app available on the App Store with its decentralised application (DApp), being built in 2019. It is the one click technology which requires no sign in, login or install. Airsave Travel utilizes blockchain technology to seamlessly attract, authenticate and reward all users within its ecosystem who want to save and earn money for their travels - together.",ASTC,1st May 2019,31st Jul 2019,http://www.airsavetravel.com,UK,https://www.airsavetravel.com/doc/Whitepaper_ASTC_Buy.pdf
UK,,artis aes evolution,,"The project that is the basis of this crowdfunding campaign is ambitious, important and robust. The purpose is to finance all-or-part of the new infrastructure, services and related actions. The challenge is to put in place truly winning infrastructure and services ->for widening the audience of users, enthusiasts and lovers of figurative art, -> for financing emerging art, -> for financing dissemination and meeting events, -> for financing the restoration and income generation of valuable artworks, -> for increasing security and the average level of authenticity of art, -> for offering more effective, efficient and cost-effective payment methods. The larger the amount collected, the greater the possibility for Artis Aes to be a leader in its own market, in a totally open and borderless environment.",AES,1st Jun 2019,1st Jul 2019,https://aes.artisaes.it,UK,https://aes.artisaes.it/index.php/white-paper
