cat1,cat2,name,raised,desc,ticker,start,end,www,,
Platform,,billion,,"Billion is a comprehensive and user-friendly set of tools designed for both active cryptocurrency users and for those who are only starting out in the crypto space. Billion will include all the elements necessary to satisfy the daily needs of a cryptocurrency user: a p2p exchange service with low conversion fees, an easy-to-use mobile wallet with support of multiple currencies, a marketplace accepting crypto payments, a guaranteed courier delivery service, a financial messenger, and an investment platform. The Billion app brings together such complex technologies as SPV architecture, Payment Code ID and Messenger based on Payment Code ID together with unique design of interface and integration of a large number of cryptocurrencies. The first module of the Billion ecosystem – Billion Wallet – is already available for iOS.",BLLN,1st Nov 2018,1st Feb 2019,https://billionapp.com,Hong Kong,
Cryptocurrency,,hybridblock,47.83,HybridBlock is the world’s most innovative trading and education platform for leveraging the disruptive technologies emerging from the blockchain space. It is an alternative for those who want to benefit from the explosive growth of cryptocurrencies without the high risk and complexity that accompanies digital asset trading. HybridBlock is simply the most efficient and effective way to participate.,HYB,23rd May 2018,6th Jun 2018,https://hybridblock.io,Hong Kong,
Cryptocurrency,,sword coin,20.66,"Sword Coin will implement a custom blockchain, allowing us to implement features specific to trading and fintech application platforms, and will be technologically tied to the award-winning Sword Capital brokerage software used in over 100 countries so that it will be available to the existing userbase of Sword Capital for use on our trading platforms. This assures a broad userbase that can make extensive usage of Sword Coin in their transaction right from the outset. Sword Capital will implement the technology to allow traders to easily and seamlessly use Sword Coin for conducting trading transactions using our existing trading platforms. In order to achieve this, the Sword Capital trading platforms will be integrated with the Sword Coin blockchain and the Sword Coin cryptocurrency exchange. Our Sword Coin integrated trading platform will be used to further develop and expand our business out of Hong Kong, where we have already established a company to focus on global business. Using sword coin for trading transactions through the Sword Capital platform will provide traders with advantages such as lower fees and other rewards. This will ensure widespread usage of Sword Coin and will also allow Sword Capital to perfect the blockchain technology for the Coin for use with trading platforms, as we have the full ecosystem for implementing and using the coin.",SWDC,1st Jun 2018,15th Aug 2018,https://ico.sword-coin.com,Hong Kong,
Cryptocurrency,,u run it,10,"It is time to change the game rules in the Gambling Universe. To break the established traditions we just need to give the control of the casino, to the players themselves. Meaning, absolutely all games, tables, poker rooms, slot machines, lotteries and so on are controlled by the gamers, they host games themselves and receive most of the profit. Meet URUNIT - The only gambling platform 100% managed by its community! Players control the house, host all the games and receive most of the profit.",URUN,1st Sep 2018,31st Dec 2018,https://www.urunit.io,Hong Kong,
Platform,,libellum,,"Libellum is the world’s most innovative supply chain verification platform for product certification, testing, and compliance. Libellum will make working with suppliers safe and secure - through its innovative platform. The Libellum platform will be comprised of 3 key features: 1. Our Web platform and Mobile application will list all verified and compliant suppliers. 2. Product Certifications made easy with our innovative L-ID system. 3. Each supplier will get a unique and encrypted digital ID system secured by blockchain technology. Online sellers will be able to prove product authenticity and compliance by integrating their verified products onto leading E-commerce platforms via our Libellum Plugin. By implementing Blockchain technology, Libellum will provide a leading platform that is safe for key components in the supply chain industry, including , Importers and Exporters , Customs Officials , Product Testing Laboratories , & more.",LIB,16th Nov 2018,15th Dec 2018,https://www.libellum.io,Hong Kong,
Platform,,midex,22,Midex. Digital asset exchange and financial platform. Among Midex top projects is the already working totally licensed cryptocurrency coin-exchange. So Midex now is a host platform for: 1. Midex Exchange 100% legal exchange open API round-the-clock trading transactions registry on the blockchain private keys are always accessible for clients exchange aggregator for simple arbitrage 2. Midex Banking debit cards own ATMs escrow service 3. Midex Trust fund. Asset management marketplace 4. Midex Credit P2P credit marketplace 5. Midex Business Blockchain development for businesses. Let's make it together! Join Token Sale!,MDX,15th Jan 2018,15th Apr 2018,https://ico.midex.com,Hong Kong,
Cryptocurrency,,simple token,22,"Simple Token is the bridge between cryptocurrencies and mainstream consumer apps. Any app can launch branded tokens on open scalable side-chains, powered by Simple Token, a protocol for consumer-app tokenization and an ERC-20 utility token.",ST,14th Nov 2017,1st Dec 2017,https://simpletoken.org,Hong Kong,
Education,,trends project,,Our platform is dedicated to providing calculated trading positions to maximise profit chances while educating our users on why they trade and how to optimize your trading pattern. Trends Project will create the world's largest community analysis platform to give everyone a maximized opportunity for profit.,TRND,15th Aug 2018,3rd Oct 2018,https://www.trendsproject.io,Hong Kong,
Communication,,authpaper,0.73004,"In the era of information technology, technology advancements have changed human lives by a lot. However, document delivery and huge data transfer, especially commercial and important ones, are still following years old methods, physical mailing. Physical mailing takes a lot of time and spends a lot of resources. Current digital delivery solutions are mostly centralized, privacy cannot be guaranteed. Authpaper Delivery combines blockchain, BT, cryptography and other current technologies to build a peer-to-peer digital data delivery platform. All data delivered is confidential except the specified recipients. Operations on the data are properly done and recorded among the peers so that the delivery histories are public verifiable yet unforgeable. Peers are rewarded by delivering the encrypted pieces of digital data and helping to run the platform with good will.",AUPC,14th Sep 2018,15th Dec 2018,https://authpaper.io,Hong Kong,
Cryptocurrency,,coinmetro,14.81533,"CoinMetro, a one-of-a-kind, licensed, and regulated financial platform that will fuel the future of blockchain innovation. Through a tokenized ecosystem CoinMetro provides a gateway for both novice and professional traders and investors to get involved in the crypto space with an ease of access not yet seen in the industry. Our goal, above all else, is to make sure that your overall CoinMetro experience is nothing short of exemplary.",XCM,21st Feb 2018,31st Mar 2018,https://coinmetro.com,Hong Kong,
