cat1,cat2,name,raised,desc,ticker,start,end,www
switzerland,,corion platform,3.123,"Capital Optimized Reward Incentive Online Network is a multifunctional Platform for businesses and individuals to join and build a worldwide decentralised network, based on mutual benefits, simplicity, security, cost-effectiveness, speed, and a stable means of payment.",CORION,18th Jul 2017,27th Aug 2017,https://www.corion.io,Switzerland,https://corion.io/doc/essentialwhitepaper_v1_pub.pdf
switzerland,,imperium,,"Imperium is a revolutionary state-of-the-art sports betting platform built on the foundation of the Ethereum Blockchain. It is the only sports betting platform in the world that takes zero fees from its users.",MPRM,20th Aug 2017,27th Aug 2017,https://theimperium.io,Switzerland,
switzerland,,mybit,2.7,"MyBit is the world’s most advanced IoT investment Ecosystem. Its two flagship products include a decentralised investment platform(MyBitDApp) and the world’s first decentralised IoT asset exchange (MYDAX).Powered by Ethereum.",MYB,17th Jul 2017,17th Aug 2017,https://mybit.io,Switzerland,https://files.mybit.io/files/MyBit_Whitepaper_v3.0.0.pdf
UK,,obsidian,1.566332,"The Obsidian Platform is a C# blockchain based on Stratis, with both Masternodes and Service Nodes. We have developed the Obsidian Secure Messenger (OSM) application, currently in public alpha testing.",ODN,12th Aug 2017,26th Aug 2017,https://obsidianplatform.com,UK,https://drive.google.com/file/d/0B5ffnLUWqKkMMG1YTXUtNjNvOGc/view
UK,,skyway,,"Sky Way is an elevated transport system, in which the movement is organized on rails stretched between the supports. The speed of the rolling stock can reach 500 km/h, and its movement is controlled automatically.",SWAY,10th Jul 2017,10th Aug 2017,https://github.com/colm,UK,https://skywayico.com/public_docs/whitepaper.pdf
UK,,ziber,,"A revolutionary solution that will completely change the mobile market. We don’t solve non-existent problems. We solve real problems!",null,27th Jul 2017,6th Aug 2017,https://ziber.io,UK,
USA,,8 circuit studios,,8 CIRCUIT STUDIOS has a passion for developing video games that tell compelling stories.,8BT,17th Jul 2017,18th Aug 2017,https://8circuitstudios.com,,
USA,,autoria,,"AUT (Autorium) is the world's best Automatically Self Mining ERC20 compatible token built on the Ethereum blockchain. By distributing permanent Mining Wells (instead of mining nodes) before Autorium is circulated, Autoria takes the guesswork out of mining. Automated Well Mining is a permanent solution. Autorium is also the currency used in all of Autoria’s applications. Through collaboration with merchants and the continued development automated solutions, Autoria aims to solve to the biggest hurdles impairing widespread cryptocurrency adoption.",AUT,14th Jul 2017,4th Aug 2017,https://autoria.io,USA,
USA,,battledrome,0.726,"BattleDrome is a platform/ecosystem for gaming which is built on top of a decentralized Battle Arena, allowing anyone to create a Warrior: an entity which exists on the Ethereum Network, which can be traded, trained, equipped, and entered into events to do battle with other Warriors for fun and profit!",FAME,1st Jul 2017,5th Aug 2017,http://www.battledrome.io,USA,
USA,,bitbounce,11.330707,"BitBounce allows you to charge people you don't know a cryptocurrency fee to deliver an email to your inbox. For you, this means a curated inbox of 1) emails from people who you know and 2) emails you've been paid to receive. BitBounce creates inbox peace of mind.",Credo,26th Jul 2017,25th Aug 2017,https://bitbounce.io,USA,https://bitbounce.io/whitepaper.pdf
USA,,coinjob,0.007639,"CoinJob, a distributed labor marketplace for computer-based work featuring the Jobi, an Ethereum-based digital token, announced terms for its upcoming Initial Coin Offering (ICO), scheduled for July 14th, 2017 at 00:00 UTC. The company hopes to raise up to 60,000ETH, which will fund continued development of the technology platform, worker and task-provider acquisition, and operational costs.",XCJ,14th Jul 2017,14th Aug 2017,https://www.coinjob.net,USA,https://www.coinjob.net/whitepaper
USA,,district0x,9,"Districts are marketplaces and communities that exist as decentralized autonomous organizations on the district0x Network. All internet citizens will be able to deploy districts to the network free of charge, forever. All districts possess the following core functionalities: Posting & listing, Search & filtering, Ranking & reputation, Payments & invoicing.",DNT,18th Jul 2017,1st Aug 2017,https://district0x.io,,
USA,,enledger,4.2E-4,"Distributed Ledgers provide a cutting-edge solution for data storage and access. Blockchain Apps are set to revolutionize the "internet of money".",EECoin,1st Aug 2017,31st Aug 2017,https://www.enledger.io,USA,https://www.enledger.io/Energy_Efficiency_Coin_Whitepaper_v1_0.pdf
USA,,investfeed,3.4,"Our product integrates with your brokerage account to track every trade. We give you immediate access to the performance and portfolio of every investor who connected their brokerage account. Make truly informed investment decisions and trade with confidence.",IFT,23rd Jul 2017,7th Aug 2017,https://www.investfeed.com,USA,https://www.investfeed.com/upload/investFeedInc.PreSales.FINAL.pdf
USA,,lampix,14.2,"We are building the first blockchain based ‘image mining’ network for augmented reality or any other computer vision system, such as the Lampix product. We are creating a new blockchain that will hold {image,description} data-sets of real world objects. This data is a vital prerequisite for augmenting reality systems ranging from smartphones, wearable glasses, or our own Lampix product.",PIX,9th Aug 2017,18th Aug 2017,https://www.lampix.co,,
USA,,neblio,1.483492,"A secure, distributed, platform built for enterprise applications and services. We design and develop open-source products and services to drive business value from the Neblio blockchain network.",NEBL,6th Aug 2017,20th Aug 2017,https://nebl.io,,
USA,,rex,4.3,"Welcome to REX, a revolutionary new global listing platform where it’s free to list and search for properties. A platform where you won’t be bombarded by ads. Where you’re in control of your own data. Where transactions take days, not months. A platform that pays you to participate.",REX,31st Jul 2017,25th Aug 2017,http://rexmls.com,USA,https://github.com/rexmls/whitepaper/blob/master/readme.md
USA,,tomahawkcoin,,"Waves Platform based Tomahawkcoin was minted with the intention to bridge the two worlds of trading virtual currency and the equity ownership in Tomahawk Exploration LLC. With a solid business plan and business model, designed to maintain and thereby increase the initial value of the ICO, we are distinct from Paycoin and other failed promises hidden behind virtual currencies in the past which had no business plan and highly priced from the gate, Tomahawkcoin will be priced at $0.05, or its USD equivalency in the currently wide and most popular used digital currency, such as Dogecoin, Ethereum, Bitcoin, Litecoin and Ripple.",TOM,30th Jul 2017,30th Aug 2017,http://www.tomahawkcoin.com,USA,
USA,,tomahawkcoin,,"Waves Platform based Tomahawkcoin was minted with the intention to bridge the two worlds of trading virtual currency and the equity ownership in Tomahawk Exploration LLC. With a solid business plan and business model, designed to maintain and thereby increase the initial value of the ICO, we are distinct from Paycoin and other failed promises hidden behind virtual currencies in the past which had no business plan and highly priced from the gate, Tomahawkcoin will be priced at $0.05, or its USD equivalency in the currently wide and most popular used digital currency, such as Dogecoin, Ethereum, Bitcoin, Litecoin and Ripple.,TOM,30th Jul 2017,30th Aug 2017,http://www.tomahawkcoin.com,USA,
USA,,w3coins,,"W3C is a cryptography-based digital coin and payment gateway introduced to the market in 2017 to serve as fully functional currency and alternative to cash and brick-and-mortar banking payment system. W3C is expected to reach a high international market share through an initial retail e-commerce delivery platform, coin trading and bulk remittance activity.",w3c,10th Jul 2017,25th Aug 2017,https://www.w3coin.io,USA,
