cat1,cat2,name,raised,desc,ticker,start,end,www
USA,,bitquence,1.680433,"Bitquence’s Mission is to make the daunting cryptocurrency market accessible to everybody, accelerating adoption of blockchain technology and democratizing ownership of cryptocurrencies.They make cryptocurrencies easier to purchase and transfer allowing the average individual to participate in the New Economy. They believe in the philosophical mission established by Satoshi Nakamoto. By creating a secure layer that is accessible to the average person, they put the power in the hands of the people – where it belongs.",BQX,28th Jun 2017,16th Jul 2017,https://www.bitquence.com,USA,https://www.bitquence.com/wp-content/uploads/2017/05/BitquenceWhitePaper.pdf
USA,,compcoin,,"Compcoin is a trusted financial investment system that operates using a valuable blockchain Digital Asset to run a decentralized financial trading computer. Using Compcoin provides the capacity for automatically generated cash flows using AI.",CMP,14th Jul 2017,31st Jul 2017,https://compcoin.com,USA,https://compcoin.com/wp-content/uploads/2017/06/Compcoin-Token-For-A.I.-Financial-Trading-060817v2-1.pdf
USA,,crucoins,,"Cru Coins are digital tokens in the planning stages of development. The tokens will be sold in order to facilitate funding the expenses in connection with a world tour of “Corporation“; the popular art exhibit featured in Yahoo Finance and The Daily Beast. Cru Coins are used to collateralize the value and sale of the Corporation exhibit through self actuating smart contracts.",CRU,1st Jun 2017,31st Jul 2017,http://crucoins.com,USA,http://crucoins.com/whitepaper/
USA,,crucoins,,"Cru Coins are digital tokens in the planning stages of development. The tokens will be sold in order to facilitate funding the expenses in connection with a world tour of “Corporation“; the popular art exhibit featured in Yahoo Finance and The Daily Beast. Cru Coins are used to collateralize the value and sale of the Corporation exhibit through self actuating smart contracts.",CRU,1st Jun 2017,31st Jul 2017,http://crucoins.com,USA,https://crucoins.com/whitepaper/
USA,,encrypgen,1.0,"Genomic data is extremely sensitive. Most people are not aware that your DNA contains information about your life expectancy, your proclivity to depression or schizophrenia, your complete ethnic ancestry, your expected intelligence, maybe even your political inclinations. Within a decade or two your genome will likely reveal even more.",DNA,1st Jun 2017,18th Jul 2017,https://www.encrypgen.com,USA,
USA,,geofunders,,"GeoFounders is a software collective that creates desktop, mobile and web decentralized applications (dApps) which run atop popular blockchain platforms. Using custom-made middleware, GeoFounder’s software can switch between different blockchain networks and, in some cases, operate on more than one network at the same time. This feature allows customers to not only operate GeoFounders software on their preferred network, but also ensures the longevity of the GeoFounders software catalogue and an increase in overall potential customers.",GUNS,25th Jun 2017,25th Jul 2017,http://www.geofounders.com/ico,USA,http://www.geofounders.com/GeoFoundersWhitePaper.pdf
USA,,geofunders,,"GeoFounders is a software collective that creates desktop, mobile and web decentralized applications (dApps) which run atop popular blockchain platforms. Using custom-made middleware, GeoFounder’s software can switch between different blockchain networks and, in some cases, operate on more than one network at the same time. This feature allows customers to not only operate GeoFounders software on their preferred network, but also ensures the longevity of the GeoFounders software catalogue and an increase in overall potential customers.",GUNS,25th Jun 2017,25th Jul 2017,http://www.geofounders.com/ico,USA,https://www.geofounders.com/GeoFoundersWhitePaper.pdf
USA,,giga watt,20,"Giga Watt provides turnkey mining services and custom packages tailored to clients’ needs: full range of mining services from equipment sales, maintenance. The goal is to offer the participants access to both an exciting new world of technology and the cryptocurrency mining business. From the time of the Gold Rush to this day, infrastructure costs consume the lion's share of potential profits. And cryptocurrency mining is no exception.",WTT,2nd Jun 2017,31st Jul 2017,https://giga-watt.com,USA,https://cryptonomos.com/wtt/white-paper.pdf
USA,,rustbits,0.5,"Rustbits are Counterparty tokens which will provide the game fuel and also act as a premium in game currency. There is a limited supply of RustBits which will be burned as new Rustchain cards are created for SpacePirate. The tokens will be sold on our website, unsold tokens will be burned at the end of sale.",RUSTBITS,26th Jun 2017,31st Jul 2017,https://spacepirate.io,USA,https://spacepirate.io/ico/rustbits-whitepaper.pdf
USA,,tezos,232,"Tezos is a decentralized blockchain that governs itself by establishing a true digital commonwealth and facilitates formal verification, a technique which mathematically proves the correctness of the code governing transactions and boosts the security of the most sensitive or financially weighted smart contracts.",XTZ,1st Jul 2017,13th Jul 2017,https://www.tezos.com,,
USA,,tierion,25,"Tierion is launching a universal platform for data verification that operates at massive scale. Businesses safeguard and notarize important documents such as property titles and contracts to ensure anyone can prove their veracity. Surprisingly, there isn’t a universal equivalent for safeguarding digital data. Companies in healthcare, insurance, and financial services are trusted with safeguarding huge volumes of critical data. Proving the authenticity of information within these industries is currently cumbersome, expensive, and in many cases impossible.",TNT,27th Jul 2017,28th Jul 2017,https://tierion.com,,
