cat1,cat2,name,raised,desc,ticker,start,end,www
estonia,,bailsman,,"Bailsman offers a quick and easy blockchain-based guarantee solution for clients who don’t have the required amount of money or simply prefer to spend it on something else. Bailsman provides a third party guarantee to the merchant for a small monthly fee that is paid by the client, instead of making the security deposit payment and tying up the cash. Merchants can rest assured, as there is no risk of not receiving the requested claim amount. Bailsman only provides guarantees that are 100% backed by licensed financial institutions or telecom companies, and will be paid out irregardless of the client’s financial situation. Growth opportunities for Bailsman are huge, as global security deposit funds across sectors are estimated to be more than $1.5 trillion. Bailsman has already started to develop a platform for the residential real estate industry (a market size over $300 billion) and is holding a token sale to improve the platform and accelerate expansion into new segments.",BAILS,1st Sep 2018,26th Oct 2018,https://ico.bailsman.co,Estonia,https://ico.bailsman.co/Whitepaper.pdf,,,,,,
estonia,,bitsmo,4,"BITSMO platform is connected with 30+ of the most popular exchanges to connect you to the best price in the crypto- market, in other words, we provide deep order books enabling BITSMO’s user to get the best selling or buying price in the crypto-market. BITSMO’s matching engine is capable of processing close to 10 MM transactions per second which is 10 times faster than any other exchangers making our platform the fastest in the market today.",BTSM,25th Jul 2018,14th Oct 2018,https://bitsmo.io,Estonia,https://bitsmo.io/assets/images/White%20Paper%20V1.4.pdf,,,,,,
estonia,,cryptonsgame,,"CryptonsGame is a first blockchain ecosystem to combine crypto-collectible platform and video games. It’s a vast, constantly evolving world with rich, expanding history and startling plotlines that guarantees players' engagement for years to come. CryptonsGame developed unique and innovative game mode that will allow players to use their self-created models as a heroes of upcoming video and mobile game.",QST,1st Sep 2018,31st Oct 2018,https://cryptonsgame.com,Estonia,https://cryptonsgame.com/wp-content/uploads/2018/04/wp-cryptons-en.pdf,,,,,,
estonia,,delicia,,"The Delicia team is creating a universal decentralized food network powered by Blockchain and artificial intelligence. This will revolutionize the way restauranteurs and food retailers maximize food utilization and reduce waste. Delicia will help in locating affordable quality food for consumers worldwide that is specific to their own geo-location and preferences. It offers real-time search for excess food at restaurants, grocery & packaged food stores and helps route them to buyers at discounted price. The system provides ongoing trust and reputation accrual for sellers and buyers. Efforts are underway to tokenize Delicia ecosystem with the Ethereum based blockchain technology with a multi-purpose utility token, DFT with the end result being elimination of the Global Food wastage crisis.",DFT (Delicia Food Token),1st Sep 2018,31st Oct 2018,https://delicia.io,Estonia,https://delicia.io/delicia_wp.pdf,,,,,,
estonia,,ingot coin,40,"INGOT Coin is the first fully integrated Wallet with a Digital Bank, Brokerage, Exchange, Certifier, and ICO Accelerator. All components are rolled into a single and complete ecosystem, which rewards token holders and consumers for using and contributing to it. INGOT Coin is a decentralized cryptocurrency which provides benefits and discounts within the ecosystem itself. IC will be based on a ERC20 technology.",IC Token,1st Jul 2018,10th Oct 2018,https://www.ingotcoin.io,Estonia,https://www.ingotcoin.io/documents/en/white-paper.pdf,,,,,,
estonia,,intro,,"INTRO is an Ecosystem for real estate market players. Already today, the system has more than 6800 objects from 1800 developers, which you can buy with a discount of up to 30%. We are ready to scale our business to the global market. Smart contracts allow investors to make a deal with the property developer without any intermediaries.",ITR,1st Jun 2018,11th Oct 2018,http://introa.io/en,Estonia,https://introa.io/files/%D0%98%D0%9D%D0%A2%D0%A0%D0%9E%20WP%20en.pdf,,,,,,
estonia,,levelapp,,"LevelApp is designed to remove barriers on the way of cryptocurrency adoption. In the Theory of Diffusion of Innovations, the project is a driver of the transition from Early adopters to the Early majority stage. LevelApp will allow for the instant exchange of crypto assets to Apple Pay Cash and consequent payment with NFC at any sales point equipped with the payment terminal.",LVL,30th Sep 2018,30th Oct 2018,https://levelapp.cx,Estonia,https://levelapp.cx/static/LevelApp_WhitePaper.pdf,,,,,,
estonia,,memority,,"Memority is the platform for a completely decentralized, ultra-secure storage of valuable data on the blockchain, which ensures the continued availability of several encrypted copies of data on unrelated storage locations around the world. Files are encrypted with a private key that only their owner has. Memority uses the same data protection technology as crypto wallets. Memority provides API for third-party developers. They can use its structure and decentralized storages for their own apps.",EMT,31st May 2018,1st Oct 2018,https://memority.io,Estonia,https://memority.io/docs/whitepaper_memority.pdf,,,,,,
estonia,,remoneta,,"ReMoneta Taking crypto to the mainstream ReMoneta is the only land-backed system in crypto, delivering real measureable and stable value today. ReMoneta is a strongly-capitalised ReFinTech company based in the EU combining real estate, finance and technology. At the centre of ReMoneta is our community. Together we have designed a frictionless hub - the safest and most stable integrated online currency system in the market. It is the only online currency and payment system with a fully stable price, zero transaction costs, large scaling and instant network verification, land backed and totally secure where community members and retailers earn money from community mining"" via their real world actions to promote positive global values and the community. The system allows micropayments - opening up a new industry as well as members being able to create code or even a business node on the network. ReMoneta solves the key problems in crypto today", creating a central hub between crypto and commerce," allowing crypto to go mainstream.""",RET,24th Jul 2018,31st Oct 2018,https://www.ReMoneta.com,Estonia,http://www.remoneta.com/assets/WhitePaper.pdf,,,,
estonia,,triggmine,0.48352,Triggmine is a decentralized platform for marketing automation. It is aimed to eliminate the main paint points for small and medium-sized businesses in eCommerce - lack of expertise and lack of resources. Triggmine creates a new generation of marketing with the self-adjustable intelligent system and payment for real user action. On the top of the platform there is an AI-powered personal assistant that helps businesses perform better with no manual intervention.,TRG,20th Sep 2018,20th Oct 2018,https://triggmine.io,Estonia,https://docs.triggmine.io/Whitepaper.pdf?_ga=2.188977835.1417945720.1522915639-1766826355.1522680262,,,,,,
