cat1,cat2,name,raised,desc,ticker,start,end,www
estonia,,tokenroll,6.0E-4,"TokenRoll solves the main issues of the both centralized online casino and decentralized online casino industry by building a decentralized protocol that every online gambler can access without having to interact with blockchain at all. The native token of the protocol, TKR, will help fund the project and the bankroll through the token sale. TKR tokens will be bought back automatically by each game’s bankroll through the internal exchange of the platform which will create steady demand. Supply of the TokenRoll token will be created the token generation sale event and through minting by gambling. There will be no more tokens issued. The demand will be created through the burn utility explained above.",TKR,30th Apr 2019,30th May 2019,https://tokenroll.io,Estonia,https://tokenroll.io/tokenroll-whitepaper.v4.pdf
france,,bartcoin,,"Youseeme and Bartwallet are an ecosystem of eWallets and loyalty rewards program, linking crypto with traditional communities of consumers. Bartwallet is the first eWallet combining payment and trading functionalities all-in-one. Users can share payments with friends and family, pay merchants, trade cryptocurrencies, assets and commodities, and keep transactions stored safely in their wallet portfolio.",BARC,19th Mar 2019,24th May 2019,https://www.bartwallet.pro,France,https://www.bartwallet.pro/wp-content/uploads/2019/02/White-paper.pdf
germany,,the joy,,"The Joy – is a marketplace for the consumers and providers of wellness and beauty treatments. Using the services of The Joy, one can book the arrival of the practitioner to any place (your home, your workplace or the hotel) as well as make an appointment in a beauty salon or spa. The Joy provides freelancers and salons with orders, while consumers, on the other hand, get high-quality beauty services at a time and place that is suitable for them. Advertisers can place targeted offline and online advertisements and companies can arrange promotional campaigns and get big data statistics within the platform.",JOY,20th Jan 2019,1st May 2019,https://thejoy.io,Germany,https://thejoy.io/files/wp_en.pdf
germany,,vanm,,"",null,1st Jan 2019,1st May 2019,https://www.vanm.io,Germany,https://www.vanm.io/fileadmin/user_upload/VANM_Whitepaper_EN.pdf
israel,,greeneum,,"Greeneum is an innovative, smart, decentralized marketplace platform reinventing the way that renewable energy exchange values and carbon footprint reduction is incentivized. We have been working with international brands and communities like IBM, National Utility of Cyprus, large solar producers, international NGO, etc. Our growing community exceeds 70.000 people.",GREEN,22nd Apr 2019,21st May 2019,https://www.greeneum.net/greeneum-home,Israel,https://www.greeneum.net/greeneum-whitepaper/
malta,,globiance,,"Globiance vision is to provide financial services for professional and personal customers.The Globiance platform covers exchange and trading of Crypto and Fiat currencies, payment solutions and worldwide money transfers. The goal is to make it so simple and attractive to use these services that customers will keep their money on the platform and use it for many everyday matters. Globiance would like to offer a platform to reward investors and traders via cashback, rebates and discounts.",GBEX,5th Mar 2019,22nd May 2019,https://globiance.com,Malta,https://globiance.com/wp-content/uploads/2019/02/Globiance-white-paper-presentation-doc.pdf
malta,,poseidon,2.421832,"Poseidon builds climate change solutions with widespread and immediate impact. Its current ICO and token sales support its 'reduce' platform, which uses blockchain to let anyone rebalance the climate impact of any product or service in real time at the checkout.",OCEAN,13th May 2019,17th May 2019,https://www.poseidon.eco,Malta,https://poseidon.eco/assets/documents/Poseidon-Climate-Rescue.pdf
malta,,vodi x,1.477031,"Vodi is an extraordinarily successful and award-winning all-in-one mobile platform boasting 5+ million users in over 200 countries and is tokenizing its ecosystem by launching Vodi X. Vodi X complements the already vibrant existing Vodi platform with the use of blockchain technology.",VDX,21st May 2019,22nd May 2019,https://vodix.io,Malta,https://vodix.io/pdf/VodiX_WhitePaper_1.1_EN.pdf?1557845291
russia,,gexan,2.05597,"A new level of blockchain lotteries, which are developed for participants: 1. Hybrid algorithm (POW + POS) allow to mine Gex lottery tickets by GPU or staking 2. The players be able to install Masternodes for daily ticket collection. 3. Our team developed and integrated lottery Smart Contract (5/36), which enable to use Gex coins immediately after entering the exchanges. 4. 85% of the amounts of tickets sold will be sent to the prize fund of smart contract.",GEX,10th May 2019,27th May 2019,https://gexan.io,Russia,https://gexan.io/assets/theme/Gexan_whitepaper_ENG.pdf
russia,,letstrip,,"Mobile application with own cryptographic wallet, the first decentralized advertising exchange and a blockchain-based multilingual software service for integrating various content.",LetsTrip / LST,20th Apr 2019,28th May 2019,https://letstrip.io,Russia,https://letstrip.io/wp-content/uploads/2019/04/Whitepaper_LST.pdf
russia,,pallium,,"Pallium is a decentralized platform for the fast learning, secure storage, and easy deployment of AI models. The platform also has its own blockchain called Myelin. Pallium’s functional unit is an intellectual agent. In abstract, agents are isolated entities with a decision-making system and the ability to interact with each other and the outside world within instructions. They also have their own “account” in the form of Spike tokens.",PLMT,1st Aug 2018,31st May 2019,https://pallium.network,Russia,https://pallium.network/docs/pallium_white_paper_EN.pdf
russia,,tremiss,0.001325,"BlockChain Tremiss is the first platform with authentic digital user sovereignty, transactions and phenomenal speed! The BlockChain Tremiss design team relied on many years of experience and innovation in other developers' cryptographic systems. With BlockChain Tremiss, your digital assets and messages will be completely safe! Tremiss protects privacy through an anonymous protocol and BlockChain, which stores tokens, not transactions. In addition, it quickly achieves the end result by not using traditional signature-based payment processing in favor of hash-based authentication. This is achieved through a unique consensus mechanism, with integrity guarantees provided through verifiable evidence. With the help of the unique product NodeTr mining is simple, safe, does not require connection to third-party services! BlockChain Tremiss is unique in that it can scale for the first time to provide users worldwide with a high-performance payment and messaging solution that confirms and retains their right to digital sovereignty.",STS,16th May 2019,29th May 2019,https://tremiss.org,Russia,https://tremiss.org/wp-content/uploads/2019/02/white-paper.pdf
russia,,when hungry,,"When Hungry is a global platform for ordering and delivering food, which combines the best restaurants in every city and in every country of operation. The platform, which unites the websites and the mobile solutions, is implemented on the basis of Internet and blockchain technologies. When Hungry is not a start-up, it's an existing project that successfully works in different markets in different conditions in 100+ large cities in several countries of the world, and is completely ready for further equally rapid scaling. The project is supported by heads of agricultural structures, medical institutions and universities. The platform will help to track the quality of food products that are delivered in restaurants and, accordingly, the quality of the finished food that customers order.",WHY,7th Apr 2019,7th May 2019,https://ico.when-hungry.menu,Russia,https://ico.when-hungry.menu/download_files/When%20Hungry%20WP%20RUS.pdf
