cat1,cat2,name,raised,desc,ticker,start,end,www
USA,,the forge network,,"Forge Coin is a hybrid Proof of Work and Proof of Stake token offering 5% annual interest for stakers. However, The Forge Network is much more than a token, it will be a complete cryptocurrency ecosystem, a marketplace, an easy to use desktop and mobile interface, and a valuable tool in emerging markets like the gaming economy, voice assistants, and connected-home technology, all through the use of FRG tokens.",FRG,24th Feb 2018,24th Mar 2018,https://theforgenetwork.com?utm_source=ico.tokens-economy.com,USA,
USA,,ping chain,,"A fundamental gap in technology has finally been solved on the Ethereum Blockchain as reliable scheduling of smart contracts has become a reality. DApp City announced the successful launch of Ping Chain (www.pingchain.co) to provide Smart Contract Execution as a Service. Ping Chain offers blockchain developers a variety of events that can be monitored and used as triggers for remote execution. The core event type - time intervals - is live today on the Ethereum main net and Ropsten test net. The time interval event type allows developers to execute their smart contracts code on a regular interval, such as every minute or every day.",PNG,1st Mar 2018,31st Mar 2018,https://www.pingchain.co/?utm_source=ico.tokens-economy.com,USA,
USA,,22x fund,,"The first tokenized opportunity to invest in a group of pre-vetted early stage startups. ~2% acceptance rate for companies chosen for the 500 Startups accelerator program. Get proceeds from the startups as they grow, exit or IPO or trade the 22X Fund token.",22X,9th Mar 2018,23rd Mar 2018,https://www.22xfund.com/?utm_source=ico.tokens-economy.com,USA,
