cat1,cat2,name,raised,desc,ticker,start,end,www
switzerland,,swiss alps mining,10.529563,"We are connecting the world of blockchain with the Swiss mountains. We offer environmentally friendly mining in unused buildings in the Swiss alps, reducing power consumption by up to 50% thanks to natural climate conditions and an ORC power recovery system.",SAM,1st Oct 2018,29th Oct 2018,https://swissalpsmining.io/en/home?utm_source=ico.tokens-economy.com,Switzerland,
USA,,citizen health,0.118887,"We’re capitalizing on the growing trends toward free-market medicine, the rise of Direct Patient Care, and the frustration people face from confusing medical bills & rising premiums. Utilizing the latest advances in blockchain technologies, wearables, and machine learning, we’re solving core problems to reinvent the way healthcare services are offered and purchased. Our foundational developments: 1. Humantiv, a collaborative operating system designed to optimize health & wellness by incentivizing people to pursue healthy lifestyles with the help of wearable technology. 2. Medoplex, an open & transparent marketplace where healthcare buyers & sellers transact directly in a free market economy without insurance intermediaries. 3. “Health as a Service,” personalized subscriptions for health & wellness based on members’ genetics, microbiomics, wearable data, and medical records.",MDX Token,15th Mar 2018,21st Oct 2018,https://citizenhealth.io?utm_source=ico.tokens-economy.com,USA,
USA,,miami crypto exchange,,"Miami Crypto Exchange (MCEX) is leading the charge to transform financial investments and instruments into compliant tokens uniquely providing a single trading platform for security tokens and cryptocurrencies with the ease of liquidity to US dollars and providing a gateway to Latin American markets and the world. MCEX is a fully-compliant-focused security token and cryptocurrency exchange platform equipped with a Florida Money Transmission license and FinCen registration allowing its proprietary and secure Mecury Cash wallet to provide immediate access to US-dollar liquidity.",MCEX,17th Apr 2018,17th Oct 2018,https://www.miami.exchange/?utm_source=ico.tokens-economy.com,USA,
