cat1,cat2,name,raised,desc,ticker,start,end,www
russia,,onetotwo,,"OTT-token gives a full (100%) guarantee of payments to its holder, with the expected 100% payback ranges from 1 month (in the most favorable variant) and up to 8 months (in the most unfavorable variant). If the investor decides to refuse to participate in the project, he will be able to apply for the sale of tokens, for this we have developed a "Funds Recovery Fund" (FRF) for 100% protection of the interests of its investors. Funds Recovery Fund is formed from the sale of tokens in the amount of 30% and from instant bets in the amount of 1%. Each investor has the right to apply for the sale of his token(s) at full cost. The token will be automatically redeemed by the Issuer with Funds Recovery Fund after 90 days from the date of application. The token is redeemed strictly at the cost of the purchase price, depending on the stage of purchase at the ICO and the received referral discount.",OTTP,20th Oct 2018,20th Jan 2019,https://1to2.pro/index.php/en/?utm_source=ico.tokens-economy.com,Russia,
switzerland,,dezos,,"We present you the DEZOS Ecosystem. DEZOS fight against crime like theft, fraud & conterfeiting. We bridges the gap between the traditional prosecution and asset protection and are the new world and home of trust.",DOS,1st Jan 2019,31st Jan 2019,https://dezos.io?utm_source=ico.tokens-economy.com,Switzerland,
USA,,zensports,0.1,"ZenSports is a peer-to-peer sports betting marketplace where anyone can create and accept sports bets with anyone else in the world, without the need for a centralized bookmaker. Bettors can fund their accounts, place bets, pay commissions, and cash out their winnings via cryptocurrencies (including ZenSports' own SPORT token). Through the utilization of smart contract technology via ICON’s blockchain protocol, as well as a defined token economy, ZenSports is able to offer a fully decentralized betting platform.",SPORT,1st Dec 2018,5th Jan 2019,http://www.gbn.services/2hq5?utm_source=ico.tokens-economy.com,USA,
germany,,snowdencoin,,"The Snowden Coin offers an annual return on investment and is a security asset token, issued by german stock-listed p2p developer TCU AG. It participates the token owner in 24% of all revenues of www.UltraUpload.io (Up/Download+integrated payment). ICO means are used to move the client databases into the blockchain and make the new censorship free file sharing infrastructure even government resistant. According to german security law, the sale is limited to 5 Mio. €/year. Only 24 Mio. coins are generated.",SNOW,23rd Nov 2018,22nd Jan 2019,https://www.snowden-coin.com?utm_source=ico.tokens-economy.com,Germany,
