cat1,cat2,name,raised,desc,ticker,start,end,www
Investment,,cyber capital invest,,"Today Crypto Currency is becoming mainstream. As a result, the profits to be made from trading Cryptocurrency have become very well known, through friends, colleagues and the media. Stories of people turning a small piece of capital into exponential growth, a large nest egg, by investing in and trading Cryptocurrency. Although Crypto is becoming mainstream there is still an enormous amount of the population who don’t fully understand how it works and how to use it. People who don’t know how to setup a Crypto wallet, buy currency, read the market signs, in order to know when to trade. The Cyber Capital Invest mission is to offer our users the most flexible and secure cryptocurrency investment fund with a highly profitable business model.",CCI,12th Nov 2018,3rd Dec 2018,http://www.cybercapitalinvest.io/?utm_source=ico.tokens-economy.com,Estonia,
Investment,,cindx,3.86884,"CINDX provides a platform that allows investor to choose a manager for his or her portfolio and securely trade cryptocurrencies, for a reasonable success fee. Using CINDX, investors can now access a range of verifiable, transparent statistics pertaining to individual managers in order to choose a suitable trading strategy. Investors don't have to transfer assets to the platform and charged only with success fee. Proficient managers get rewards and higher success fee rate. vendors provided with SDK to build trading and analytical products and marketplace to sell them without transferring code behind the product.",CINX,8th Oct 2018,26th Dec 2018,https://cindx.io/d?utm_source=ico.tokens-economy.com,Estonia,
Platform,,genesis,3.48,"All invested funds are channeled for purchasing real estate properties that become property of the foundation and form its assets, creating the basis for the future growth and increase of its market value.",GES,1st Apr 2018,30th Jun 2018,http://genesisfound.io?utm_source=ico.tokens-economy.com,Estonia,
